English Word	Emotion	Emotion-Intensity-Score	Marathi Word
attentionseeker	anger	0.250	लक्ष शोधणारा
mastery	anger	0.250	प्रभुत्व
socialist	anger	0.250	समाजवादी
falsehood	anger	0.250	खोटेपणा
complicate	anger	0.250	क्लिष्ट
lawyer	anger	0.250	वकील
untrue	anger	0.250	असत्य
nonsense	anger	0.250	मूर्खपणा
pouting	anger	0.250	pouting
witch	anger	0.242	चेटकीण
detract	anger	0.242	कमी करणे
obstacle	anger	0.242	अडथळा
halter	anger	0.242	थांबवणे
fenced	anger	0.242	कुंपण घातलेले
capslock	anger	0.242	कॅप्स लॉक
dontunderstand	anger	0.242	समजत नाही
vampire	anger	0.242	व्हॅम्पायर
ringer	anger	0.242	रिंगर
frowning	anger	0.239	भुसभुशीत
saber	anger	0.238	कृपाण
hunger	anger	0.235	भूक
shell	anger	0.234	शेल
wokemeup	anger	0.234	मला उठविले
recession	anger	0.234	मंदी
failing	anger	0.234	अपयश
dabbling	anger	0.234	डॅबलिंग
politics	anger	0.234	राजकारण
lava	anger	0.234	लावा
rascal	anger	0.234	बदमाश
imtryingtosleep	anger	0.234	झोपण्याचा प्रयत्न करत आहे
tariff	anger	0.234	आयात मालावरील जकात
undesirable	anger	0.231	अनिष्ट
darkness	anger	0.227	अंधार
versus	anger	0.227	विरुद्ध
copycat	anger	0.227	नक्कल करणारा
resign	anger	0.227	राजीनामा
soaked	anger	0.226	भिजलेले
unfulfilled	anger	0.225	अपूर्ण
abandoned	anger	0.222	सोडून दिले
unattainable	anger	0.221	अप्राप्य
owing	anger	0.221	कारण
bankruptcy	anger	0.221	दिवाळखोरी
misconception	anger	0.219	गैरसमज
tool	anger	0.219	साधन
warden	anger	0.219	वॉर्डन
compress	anger	0.219	कॉम्प्रेस
mosquito	anger	0.219	डास
whiny	anger	0.219	गप्प
somethingigetalot	anger	0.219	काहीतरी igetalot
confusion	anger	0.219	गोंधळ
unhelpful	anger	0.219	निरुपयोगी
twitching	anger	0.219	twitching
nosey	anger	0.213	नाक
overpriced	anger	0.212	जास्त किंमत
adder	anger	0.212	जोडणारा
harry	anger	0.212	हॅरी
shortage	anger	0.212	कमतरता
melodrama	anger	0.212	मेलोड्रामा
possession	anger	0.206	ताबा
desert	anger	0.206	वाळवंट
overplayed	anger	0.206	ओव्हरप्ले केलेले
unpaid	anger	0.203	न भरलेले
powerless	anger	0.203	शक्तीहीन
sentence	anger	0.203	वाक्य
inefficient	anger	0.203	अकार्यक्षम
arraignment	anger	0.203	आरोपपत्र
pout	anger	0.203	थैली
unlucky	anger	0.203	दुर्दैवी
rook	anger	0.203	rook
backbone	anger	0.203	पाठीचा कणा
uninvited	anger	0.203	निमंत्रित
court	anger	0.199	न्यायालय
endless	anger	0.198	अंतहीन
adverts	anger	0.197	जाहिराती
distracted	anger	0.197	विचलित
delay	anger	0.197	विलंब
misstatement	anger	0.197	चुकीचे विधान
misunderstanding	anger	0.195	गैरसमज
inadmissible	anger	0.191	अस्वीकार्य
excite	anger	0.191	उत्तेजित करणे
lightning	anger	0.189	वीज
preclude	anger	0.188	अटकाव करणे
mournful	anger	0.188	शोकाकुल
insecure	anger	0.188	असुरक्षित
incase	anger	0.188	केस
mutter	anger	0.182	गोंधळ
pare	anger	0.182	pare
rating	anger	0.182	रेटिंग
claimant	anger	0.182	दावेदार
insist	anger	0.182	आग्रह धरणे
mistress	anger	0.182	मालकिन
distracting	anger	0.182	विचलित करणारे
opium	anger	0.180	अफू
deserve	anger	0.176	पात्र
willful	anger	0.176	जाणूनबुजून
treat	anger	0.175	उपचार
insists	anger	0.175	आग्रह धरतो
excitation	anger	0.172	उत्तेजना
mighty	anger	0.172	पराक्रमी
liberate	anger	0.172	मुक्त करणे
indecisive	anger	0.172	अनिर्णय
hormonal	anger	0.172	हार्मोनल
peice	anger	0.172	peice
gibberish	anger	0.172	बकवास
misplace	anger	0.172	चुकीची जागा
fee	anger	0.172	फी
thanksalot	anger	0.172	धन्यवाद
fleece	anger	0.172	लोकर
yelp	anger	0.168	ओरडणे
mule	anger	0.167	खेचर
unequal	anger	0.167	असमान
hamstring	anger	0.167	हॅमस्ट्रिंग
bargaining	anger	0.167	सौदेबाजी
insufficiency	anger	0.167	अपुरेपणा
insignificant	anger	0.167	नगण्य
attentionseekers	anger	0.163	लक्षवेधी
coop	anger	0.156	कोप
rheumatism	anger	0.156	संधिवात
forearm	anger	0.156	आधीच सज्ज
indifference	anger	0.156	उदासीनता
underpaid	anger	0.152	कमी पगार
involvement	anger	0.152	सहभाग
justthebeginning	anger	0.152	फक्त सुरुवात
disinformation	anger	0.152	चुकीची माहिती
uncertain	anger	0.152	अनिश्चित
bee	anger	0.152	मधमाशी
attorney	anger	0.152	वकील
pretending	anger	0.152	ढोंग करणे
campaigning	anger	0.151	प्रचार
hopelessness	anger	0.149	नैराश्य
feeling	anger	0.147	भावना
legalized	anger	0.145	कायदेशीर
caution	anger	0.145	खबरदारी
sterling	anger	0.141	स्टर्लिंग
morals	anger	0.141	नैतिकता
subsidy	anger	0.141	अनुदान
obliging	anger	0.141	बंधनकारक
wimpy	anger	0.140	विंपी
bummer	anger	0.139	गोंधळ
saloon	anger	0.136	सलून
blemish	anger	0.136	डाग
misspell	anger	0.136	चुकीचे शब्दलेखन
repay	anger	0.136	परतफेड
surcharge	anger	0.136	अधिभार
geez	anger	0.136	गीझ
birch	anger	0.135	बर्च झाडापासून तयार केलेले
noob	anger	0.133	noob
honk	anger	0.133	हॉंक
orchestra	anger	0.132	ऑर्केस्ट्रा
wireless	anger	0.125	वायरलेस
competitive	anger	0.125	स्पर्धात्मक
standstill	anger	0.125	थांबणे
inattention	anger	0.121	दुर्लक्ष
reversal	anger	0.121	उलट
lace	anger	0.118	नाडी
elbow	anger	0.117	कोपर
instinctive	anger	0.112	सहज
chant	anger	0.111	जप
gnome	anger	0.109	जीनोम
lonely	anger	0.109	एकाकी
tolerate	anger	0.106	सहन करणे
management	anger	0.102	व्यवस्थापन
advocacy	anger	0.100	वकिली
moral	anger	0.094	नैतिक
roadworks	anger	0.091	रस्त्यांची कामे
honest	anger	0.087	प्रामाणिक
gent	anger	0.076	सौम्य
forgetful	anger	0.076	विसराळू
liquor	anger	0.075	दारू
money	anger	0.074	पैसे
hood	anger	0.071	हुड
curriculum	anger	0.063	अभ्यासक्रम
words	anger	0.062	शब्द
smell	anger	0.061	वास
playful	anger	0.061	खेळकर
opera	anger	0.061	ऑपेरा
elf	anger	0.061	एल्फ
nurture	anger	0.059	पालनपोषण
trumpet	anger	0.059	कर्णा
counsellor	anger	0.059	सल्लागार
asleeep	anger	0.059	झोपलेला
birthplace	anger	0.051	जन्मस्थान
ribbon	anger	0.047	रिबन
youth	anger	0.045	तरुण
vote	anger	0.045	मत
cash	anger	0.039	रोख
wannasleep	anger	0.031	झोपायचे आहे
waffle	anger	0.030	वायफळ बडबड
dame	anger	0.030	डेम
buffet	anger	0.029	बुफे
celebrity	anger	0.026	सेलिब्रिटी
sisterhood	anger	0.015	बहीणभाव
autocorrect	anger	0.015	ऑटोकरेक्ट
musical	anger	0.011	संगीत
tree	anger	0.000	झाड
anticipation	anticipation	0.859	अपेक्षा
excited	anticipation	0.859	उत्साहित
excitement	anticipation	0.820	उत्साह
anticipate	anticipation	0.820	अंदाज
eagerness	anticipation	0.812	उत्सुकता
exciting	anticipation	0.797	रोमांचक
expectant	anticipation	0.789	अपेक्षा
thrilling	anticipation	0.781	थरारक
hope	anticipation	0.773	आशा
quest	anticipation	0.766	शोध
countdown	anticipation	0.750	काउंटडाउन
start	anticipation	0.750	प्रारंभ
anticipatory	anticipation	0.750	आगाऊ
adventure	anticipation	0.750	साहस
expectance	anticipation	0.750	अपेक्षा
climax	anticipation	0.742	कळस
prophecy	anticipation	0.742	भविष्यवाणी
expect	anticipation	0.742	अपेक्षा
excite	anticipation	0.742	उत्तेजित करणे
arouse	anticipation	0.742	जागृत करणे
eager	anticipation	0.742	उत्सुक
ejaculation	anticipation	0.734	स्खलन
birth	anticipation	0.734	जन्म
announcement	anticipation	0.734	घोषणा
expectancy	anticipation	0.727	अपेक्षा
expecting	anticipation	0.727	अपेक्षा
imminent	anticipation	0.727	सुस्पष्ट
liberation	anticipation	0.727	मुक्ती
urgent	anticipation	0.727	तातडीचे
trepidation	anticipation	0.719	भीती
reunion	anticipation	0.719	पुनर्मिलन
prospection	anticipation	0.719	अपेक्षा
voyage	anticipation	0.719	जलप्रवास
prospect	anticipation	0.719	संभावना
aspire	anticipation	0.719	महत्वाकांक्षा
rapture	anticipation	0.711	आनंदी
suspense	anticipation	0.711	सस्पेन्स
journey	anticipation	0.711	प्रवास
kiss	anticipation	0.711	चुंबन
enthusiasm	anticipation	0.711	उत्साह
yearning	anticipation	0.711	तळमळ
ecstasy	anticipation	0.711	परमानंद
mystery	anticipation	0.711	रहस्य
prospective	anticipation	0.703	संभाव्य
frantic	anticipation	0.703	उन्मत्त
destination	anticipation	0.703	गंतव्यस्थान
excitation	anticipation	0.703	उत्तेजना
lottery	anticipation	0.703	लॉटरी
hopeful	anticipation	0.703	आशावादी
thrill	anticipation	0.703	रोमांच
progress	anticipation	0.703	प्रगती
urgency	anticipation	0.703	निकड
tantalizing	anticipation	0.703	त्रासदायक
liberate	anticipation	0.695	मुक्त करणे
hurry	anticipation	0.695	घाई
explore	anticipation	0.695	अन्वेषण
advance	anticipation	0.695	प्रगती
vacation	anticipation	0.695	सुट्टी
sex	anticipation	0.695	लिंग
achievement	anticipation	0.695	उपलब्धी
readiness	anticipation	0.695	तयारी
expectation	anticipation	0.695	अपेक्षा
prediction	anticipation	0.695	अंदाज
arrival	anticipation	0.695	आगमन
allure	anticipation	0.688	आकर्षण
ecstatic	anticipation	0.688	उत्साही
approaching	anticipation	0.688	जवळ येत आहे
honeymoon	anticipation	0.680	मधुचंद्र
roulette	anticipation	0.680	एक प्रकारचा जुगाराचा खेळ
uprising	anticipation	0.680	उठाव
holiday	anticipation	0.672	सुट्टी
crescendo	anticipation	0.672	क्रेसेंडो
celebrating	anticipation	0.672	साजरा करत आहे
wishful	anticipation	0.672	इच्छापूर्ण
waiting	anticipation	0.664	वाट पाहणे
invitation	anticipation	0.664	आमंत्रण
rescue	anticipation	0.664	बचाव
impending	anticipation	0.664	येऊ घातलेला
winning	anticipation	0.664	जिंकणे
craving	anticipation	0.664	लालसा
winnings	anticipation	0.664	विजय
triumph	anticipation	0.664	विजय
orgasm	anticipation	0.664	भावनोत्कटता
marriage	anticipation	0.656	लग्न
bridal	anticipation	0.656	वधू
victory	anticipation	0.656	विजय
courtship	anticipation	0.656	प्रेमसंबंध
gain	anticipation	0.656	मिळवणे
aspiring	anticipation	0.656	महत्वाकांक्षी
strive	anticipation	0.656	प्रयत्न करणे
reward	anticipation	0.656	प्रतिफळ भरून पावले
celebration	anticipation	0.656	उत्सव
jackpot	anticipation	0.656	जॅकपॉट
bridegroom	anticipation	0.656	वर
fortune	anticipation	0.656	दैव
tomorrow	anticipation	0.648	उद्या
rising	anticipation	0.648	वाढत आहे
inheritance	anticipation	0.648	वारसा
alertness	anticipation	0.648	सतर्कता
crowning	anticipation	0.648	मुकुट
aspiration	anticipation	0.648	आकांक्षा
delivery	anticipation	0.648	वितरण
opportunity	anticipation	0.648	संधी
intrigue	anticipation	0.648	कारस्थान
prescient	anticipation	0.648	पूर्वज्ञान
treasure	anticipation	0.648	खजिना
erotic	anticipation	0.641	कामुक
revolution	anticipation	0.641	क्रांती
launch	anticipation	0.641	प्रक्षेपण
reckoning	anticipation	0.641	हिशोब
prognosis	anticipation	0.641	रोगनिदान
happiness	anticipation	0.641	आनंद
celebrated	anticipation	0.641	साजरा केला
receiving	anticipation	0.641	प्राप्त करणे
possibility	anticipation	0.641	शक्यता
expedition	anticipation	0.641	मोहीम
bride	anticipation	0.641	वधू
engaged	anticipation	0.641	व्यस्त
anxious	anticipation	0.641	चिंताग्रस्त
hype	anticipation	0.641	प्रचार
spectacular	anticipation	0.641	नेत्रदीपक
award	anticipation	0.641	पुरस्कार
prepare	anticipation	0.633	तयार करणे
coming	anticipation	0.633	येणाऱ्या
graduation	anticipation	0.633	पदवी
destiny	anticipation	0.633	नशीब
miracle	anticipation	0.633	चमत्कार
beware	anticipation	0.633	सावध रहा
succeed	anticipation	0.633	यशस्वी
passionate	anticipation	0.633	उत्कट
birthday	anticipation	0.633	वाढदिवस
passion	anticipation	0.633	आवड
ominous	anticipation	0.633	अशुभ
captivate	anticipation	0.633	मोहित करणे
vision	anticipation	0.633	दृष्टी
delight	anticipation	0.633	आनंद
curious	anticipation	0.633	उत्सुक
firstborn	anticipation	0.633	ज्येष्ठ
await	anticipation	0.633	प्रतीक्षा करा
triumphant	anticipation	0.625	विजयी
escape	anticipation	0.625	सुटणे
optimism	anticipation	0.625	आशावाद
retirement	anticipation	0.625	सेवानिवृत्ती
foresee	anticipation	0.625	अंदाज
inspiration	anticipation	0.625	प्रेरणा
ripen	anticipation	0.625	पिकवणे
gift	anticipation	0.625	भेट
revival	anticipation	0.625	पुनरुज्जीवन
lust	anticipation	0.625	वासना
risky	anticipation	0.617	धोकादायक
foreboding	anticipation	0.617	पूर्वसूचना
bloom	anticipation	0.617	तजेला
verge	anticipation	0.617	कडा
embrace	anticipation	0.617	आलिंगन
destined	anticipation	0.617	नियत
surprisingly	anticipation	0.617	आश्चर्याची गोष्ट
ambition	anticipation	0.617	महत्वाकांक्षा
simmering	anticipation	0.617	उकळत आहे
enchanting	anticipation	0.617	मोहक
foresight	anticipation	0.617	दूरदृष्टी
lookout	anticipation	0.609	शोध
anxiety	anticipation	0.609	चिंता
forecast	anticipation	0.609	अंदाज
seductive	anticipation	0.609	मोहक
bonus	anticipation	0.609	बोनस
succeeding	anticipation	0.609	यशस्वी
matrimony	anticipation	0.609	विवाह
magical	anticipation	0.609	जादुई
alerts	anticipation	0.609	सूचना
winner	anticipation	0.602	विजेता
applicant	anticipation	0.602	अर्जदार
fulfillment	anticipation	0.602	पूर्तता
deserve	anticipation	0.602	पात्र
inspire	anticipation	0.602	प्रेरणा
foreseen	anticipation	0.602	अंदाज
intended	anticipation	0.602	हेतू
boomerang	anticipation	0.602	बूमरँग
picnic	anticipation	0.602	सहल
longing	anticipation	0.602	तळमळ
revenge	anticipation	0.602	बदला
success	anticipation	0.602	यश
diagnosis	anticipation	0.602	निदान
visionary	anticipation	0.602	दूरदर्शी
prophetic	anticipation	0.602	भविष्यसूचक
entertaining	anticipation	0.602	मनोरंजक
nervous	anticipation	0.602	चिंताग्रस्त
illuminate	anticipation	0.594	भ्रमनिरास
accelerate	anticipation	0.594	गती वाढवणे
advent	anticipation	0.594	आगमन
romance	anticipation	0.594	प्रणय
result	anticipation	0.594	परिणाम
arrive	anticipation	0.594	पोहोचणे
momentum	anticipation	0.594	चालना
buzz	anticipation	0.594	बझ
rekindle	anticipation	0.594	पुन्हा जागृत करणे
preparedness	anticipation	0.594	तयारी
acquiring	anticipation	0.594	प्राप्त करणे
luck	anticipation	0.594	नशीब
marry	anticipation	0.594	लग्न करा
predict	anticipation	0.589	अंदाज
money	anticipation	0.586	पैसे
auspices	anticipation	0.586	शुभेच्छुक
uplift	anticipation	0.586	उत्थान
fiesta	anticipation	0.586	उत्सव
enjoying	anticipation	0.586	आनंद घेत आहे
preparation	anticipation	0.586	तयारी
raffle	anticipation	0.586	राफल
investigation	anticipation	0.586	तपास
progression	anticipation	0.586	प्रगती
overdue	anticipation	0.586	अतिदेय
crave	anticipation	0.586	लालसा
impatient	anticipation	0.586	अधीर
enthusiast	anticipation	0.586	उत्साही
flirt	anticipation	0.586	इश्कबाज
seek	anticipation	0.586	शोधणे
sequel	anticipation	0.586	सिक्वेल
presumption	anticipation	0.586	गृहीतक
delightful	anticipation	0.586	आनंददायक
gambling	anticipation	0.586	जुगार
immerse	anticipation	0.586	बुडवणे
endeavor	anticipation	0.586	प्रयत्न
experiment	anticipation	0.580	प्रयोग
enjoy	anticipation	0.578	आनंद घ्या
completing	anticipation	0.578	पूर्ण करत आहे
clamor	anticipation	0.578	कोलाहल
angling	anticipation	0.578	angling
majestic	anticipation	0.578	भव्य
divination	anticipation	0.578	भविष्य सांगणे
transcendence	anticipation	0.578	अतिक्रमण
thriving	anticipation	0.578	भरभराट
excavation	anticipation	0.578	उत्खनन
thirst	anticipation	0.578	तहान
remedy	anticipation	0.578	उपाय
harvest	anticipation	0.578	कापणी
risk	anticipation	0.578	धोका
healing	anticipation	0.578	उपचार
heavenly	anticipation	0.578	स्वर्गीय
inviting	anticipation	0.578	आमंत्रित
precarious	anticipation	0.578	अनिश्चित
attainable	anticipation	0.578	प्राप्य
blessing	anticipation	0.578	आशीर्वाद
prosper	anticipation	0.578	समृद्धी
tease	anticipation	0.570	चिडवणे
plan	anticipation	0.570	योजना
sweetheart	anticipation	0.570	प्रिये
zest	anticipation	0.570	उत्साह
magnificence	anticipation	0.570	भव्यता
ultimate	anticipation	0.570	अंतिम
emancipation	anticipation	0.570	मुक्ती
restlessness	anticipation	0.570	अस्वस्थता
finally	anticipation	0.570	शेवटी
intimate	anticipation	0.570	अंतरंग
omen	anticipation	0.570	शकुन
matchmaker	anticipation	0.570	जुळणी करणारा
gambler	anticipation	0.570	जुगारी
prospectively	anticipation	0.570	संभाव्यपणे
dare	anticipation	0.570	धाडस
warned	anticipation	0.570	चेतावणी दिली
invite	anticipation	0.570	आमंत्रित करा
mysterious	anticipation	0.562	रहस्यमय
accolade	anticipation	0.562	प्रशंसा
lover	anticipation	0.562	प्रियकर
expose	anticipation	0.562	उघड करणे
enchant	anticipation	0.562	मंत्रमुग्ध करणे
attempt	anticipation	0.562	प्रयत्न
festival	anticipation	0.562	उत्सव
exalt	anticipation	0.562	उंच करणे
rejoice	anticipation	0.562	आनंद करा
independence	anticipation	0.562	स्वातंत्र्य
expected	anticipation	0.562	अपेक्षित
fanfare	anticipation	0.562	धूमधडाका
immortality	anticipation	0.562	अमरत्व
quicken	anticipation	0.562	जलद करणे
parade	anticipation	0.562	परेड
fun	anticipation	0.562	मजा
predilection	anticipation	0.562	पूर्वस्थिती
champion	anticipation	0.562	चॅम्पियन
forewarned	anticipation	0.562	पूर्वसूचना दिली
hypothesis	anticipation	0.562	गृहीतक
trophy	anticipation	0.562	ट्रॉफी
shopping	anticipation	0.555	खरेदी
salvation	anticipation	0.555	तारण
feeling	anticipation	0.555	भावना
speculative	anticipation	0.555	सट्टा
oracle	anticipation	0.555	ओरॅकल
heroism	anticipation	0.555	वीरता
boisterous	anticipation	0.555	उद्दाम
grasping	anticipation	0.555	पकडणे
uneasiness	anticipation	0.555	अस्वस्थता
curiosity	anticipation	0.555	कुतूहल
happy	anticipation	0.555	आनंदी
rejoicing	anticipation	0.555	आनंदी
fate	anticipation	0.555	नशीब
liberty	anticipation	0.555	स्वातंत्र्य
unfold	anticipation	0.555	उलगडणे
amour	anticipation	0.555	प्रेम
lovely	anticipation	0.555	सुंदर
splendor	anticipation	0.555	वैभव
grow	anticipation	0.555	वाढणे
glimmer	anticipation	0.547	झगमगाट
incite	anticipation	0.547	भडकावणे
abundance	anticipation	0.547	विपुलता
resultant	anticipation	0.547	परिणामी
probability	anticipation	0.547	संभाव्यता
recreational	anticipation	0.547	मनोरंजक
glory	anticipation	0.547	गौरव
agape	anticipation	0.547	agape
delighted	anticipation	0.547	आनंदित
changeable	anticipation	0.547	बदलण्यायोग्य
convergence	anticipation	0.547	अभिसरण
bountiful	anticipation	0.547	उदंड
warn	anticipation	0.547	चेतावणी
monetary	anticipation	0.547	आर्थिक
sorcery	anticipation	0.547	चेटूक
morrow	anticipation	0.547	उद्या
apprehensive	anticipation	0.547	घाबरणारा
hungry	anticipation	0.547	भुकेले
vote	anticipation	0.547	मत
suspicious	anticipation	0.547	संशयास्पद
pray	anticipation	0.547	प्रार्थना
leisure	anticipation	0.547	विश्रांती
hunting	anticipation	0.539	शिकार
sensual	anticipation	0.539	कामुक
tempest	anticipation	0.539	वादळ
auction	anticipation	0.539	लिलाव
ballot	anticipation	0.539	मतपत्रिका
grandchildren	anticipation	0.539	नातवंड
hankering	anticipation	0.539	आकांक्षा
entertainment	anticipation	0.539	मनोरंजन
merge	anticipation	0.539	विलीन
exceed	anticipation	0.539	जास्त
vindication	anticipation	0.539	पुष्टीकरण
blessings	anticipation	0.539	आशीर्वाद
inquiry	anticipation	0.539	चौकशी
bounty	anticipation	0.539	इनाम
worrying	anticipation	0.539	चिंताजनक
contingent	anticipation	0.539	आकस्मिक
glad	anticipation	0.536	आनंद
harbinger	anticipation	0.531	हार्बिंगर
magnificent	anticipation	0.531	भव्य
virginity	anticipation	0.531	कौमार्य
stealthy	anticipation	0.531	गुप्त
appeal	anticipation	0.531	आवाहन
forming	anticipation	0.531	तयार करणे
celestial	anticipation	0.531	आकाशीय
raving	anticipation	0.531	बडबड
deliverance	anticipation	0.531	सुटका
feat	anticipation	0.531	पराक्रम
cheer	anticipation	0.531	आनंद
responsive	anticipation	0.531	प्रतिसाद देणारा
hurried	anticipation	0.531	घाई
betrothed	anticipation	0.531	लग्न केले
overthrow	anticipation	0.531	पाडाव
spirits	anticipation	0.531	आत्मे
dread	anticipation	0.531	भीती
visitor	anticipation	0.531	पाहुणे
wait	anticipation	0.523	प्रतीक्षा करा
revive	anticipation	0.523	पुनरुज्जीवित करणे
watch	anticipation	0.523	घड्याळ
hunter	anticipation	0.523	शिकारी
radiance	anticipation	0.523	तेज
planning	anticipation	0.523	नियोजन
germination	anticipation	0.523	उगवण
competition	anticipation	0.523	स्पर्धा
preparatory	anticipation	0.523	पूर्वतयारी
prognostic	anticipation	0.523	रोगनिदानविषयक
beaming	anticipation	0.523	बीमिंग
cheery	anticipation	0.523	आनंदी
prevail	anticipation	0.523	विजय मिळवणे
importance	anticipation	0.523	महत्त्व
notification	anticipation	0.523	सूचना
explosive	anticipation	0.523	स्फोटक
pleasant	anticipation	0.523	आनंददायी
ultimately	anticipation	0.523	शेवटी
child	anticipation	0.523	मूल
haste	anticipation	0.523	घाई
prophet	anticipation	0.523	संदेष्टा
recreation	anticipation	0.516	मनोरंजन
present	anticipation	0.516	उपस्थित
time	anticipation	0.516	वेळ
sensuality	anticipation	0.516	कामुकता
owing	anticipation	0.516	कारण
loom	anticipation	0.516	यंत्रमाग
begun	anticipation	0.516	सुरुवात केली
salary	anticipation	0.516	पगार
celebrity	anticipation	0.516	सेलिब्रिटी
treat	anticipation	0.516	उपचार
chocolate	anticipation	0.516	चॉकलेट
caution	anticipation	0.516	खबरदारी
fermentation	anticipation	0.516	किण्वन
uncontrollable	anticipation	0.516	अनियंत्रित
precious	anticipation	0.516	मौल्यवान
compensate	anticipation	0.516	भरपाई
endanger	anticipation	0.516	धोक्यात आणणे
renovation	anticipation	0.516	नूतनीकरण
signify	anticipation	0.508	सूचित करा
vigilance	anticipation	0.508	दक्षता
prerequisite	anticipation	0.508	पूर्व शर्त
perfection	anticipation	0.508	पूर्णता
cultivate	anticipation	0.508	लागवड करणे
develop	anticipation	0.508	विकसित करणे
cue	anticipation	0.508	संकेत
exigent	anticipation	0.508	अत्यावश्यक
transitional	anticipation	0.508	संक्रमणकालीन
commemoration	anticipation	0.508	स्मारक
intermission	anticipation	0.508	मध्यांतर
elevation	anticipation	0.508	उत्थान
infant	anticipation	0.508	अर्भक
practise	anticipation	0.508	सराव
contemplation	anticipation	0.508	चिंतन
dreadful	anticipation	0.508	भितीदायक
wilderness	anticipation	0.508	वाळवंट
horizon	anticipation	0.508	क्षितीज
sneaking	anticipation	0.500	चोरटे
uphill	anticipation	0.500	चढावर
puppy	anticipation	0.500	पिल्लू
blindfold	anticipation	0.500	डोळ्यावर पट्टी
unbridled	anticipation	0.500	बेलगाम
horoscope	anticipation	0.500	पत्रिका
airport	anticipation	0.500	विमानतळ
reconciliation	anticipation	0.500	समेट
advocacy	anticipation	0.500	वकिली
litigate	anticipation	0.500	खटला भरणे
sunny	anticipation	0.500	सनी
intuitively	anticipation	0.500	अंतर्ज्ञानाने
hero	anticipation	0.500	नायक
ardent	anticipation	0.500	उत्कट
commemorate	anticipation	0.500	स्मरण करणे
romantic	anticipation	0.500	रोमँटिक
doomsday	anticipation	0.500	जगाचा शेवट
ready	anticipation	0.500	तयार
nascent	anticipation	0.500	नवजात
invocation	anticipation	0.500	आवाहन
depart	anticipation	0.500	निघणे
undisclosed	anticipation	0.500	अज्ञात
attendance	anticipation	0.500	उपस्थिती
peril	anticipation	0.500	धोका
income	anticipation	0.500	उत्पन्न
calculation	anticipation	0.500	गणना
zeal	anticipation	0.500	आवेश
eventuality	anticipation	0.500	घटना
favorable	anticipation	0.500	अनुकूल
utopian	anticipation	0.500	युटोपियन
swim	anticipation	0.500	पोहणे
proceeding	anticipation	0.492	पुढे जात आहे
eventual	anticipation	0.492	अखेरीस
heyday	anticipation	0.492	आनंदाचा दिवस
undertaking	anticipation	0.492	हमी
improvise	anticipation	0.492	सुधारणे
inauguration	anticipation	0.492	उद्घाटन
consequent	anticipation	0.492	परिणामी
perspective	anticipation	0.492	दृष्टीकोन
defense	anticipation	0.492	संरक्षण
repay	anticipation	0.492	परतफेड
gaping	anticipation	0.492	अंतर करणे
youth	anticipation	0.492	तरुण
parole	anticipation	0.492	पॅरोल
worry	anticipation	0.492	काळजी
bless	anticipation	0.492	आशीर्वाद
restorative	anticipation	0.492	पुनर्संचयित करणारा
court	anticipation	0.492	न्यायालय
highest	anticipation	0.491	सर्वोच्च
shortly	anticipation	0.484	लवकरच
auspicious	anticipation	0.484	शुभ
princely	anticipation	0.484	राजेशाही
correspondence	anticipation	0.484	पत्रव्यवहार
generosity	anticipation	0.484	औदार्य
sparkle	anticipation	0.484	चमकणे
voluptuous	anticipation	0.484	कामुक
happen	anticipation	0.484	घडणे
tremor	anticipation	0.484	हादरा
letter	anticipation	0.484	पत्र
vow	anticipation	0.484	नवस
sharpen	anticipation	0.484	तीक्ष्ण करणे
duel	anticipation	0.484	द्वंद्वयुद्ध
conjure	anticipation	0.484	जादू करणे
threaten	anticipation	0.484	धमकी देणे
god	anticipation	0.484	देव
engulf	anticipation	0.484	गुंतणे
unexplained	anticipation	0.484	अस्पष्ट
contagion	anticipation	0.484	संसर्ग
glorify	anticipation	0.477	गौरव करणे
submit	anticipation	0.477	प्रस्तुत करणे
enroll	anticipation	0.477	नोंदणी करा
unification	anticipation	0.477	एकीकरण
gravitate	anticipation	0.477	गुरुत्वाकर्षण
glide	anticipation	0.477	सरकणे
accompaniment	anticipation	0.477	सोबत
cherish	anticipation	0.477	ह्रदयात जतन
adore	anticipation	0.477	पूजा करणे
powerful	anticipation	0.477	शक्तिशाली
clue	anticipation	0.477	सुगावा
medal	anticipation	0.477	पदक
contemplate	anticipation	0.477	चिंतन
perilous	anticipation	0.477	धोकादायक
determinate	anticipation	0.477	निश्चित करणे
arbitration	anticipation	0.477	लवाद
recipient	anticipation	0.477	प्राप्तकर्ता
onset	anticipation	0.477	सुरुवात
predispose	anticipation	0.477	पूर्वस्थिती
score	anticipation	0.477	स्कोअर
torture	anticipation	0.477	छळ
glow	anticipation	0.477	चमक
praiseworthy	anticipation	0.473	कौतुकास्पद
football	anticipation	0.469	फुटबॉल
scare	anticipation	0.469	घाबरवणे
elite	anticipation	0.469	अभिजन
unknown	anticipation	0.469	अज्ञात
precursor	anticipation	0.469	अग्रदूत
pry	anticipation	0.469	pry
providing	anticipation	0.469	प्रदान करणे
sweets	anticipation	0.469	मिठाई
cautious	anticipation	0.469	सावध
opera	anticipation	0.469	ऑपेरा
motion	anticipation	0.469	गती
cash	anticipation	0.469	रोख
creeping	anticipation	0.469	रांगणे
invoke	anticipation	0.469	आवाहन
star	anticipation	0.469	तारा
shaky	anticipation	0.469	डळमळीत
