English Word	Emotion	Emotion-Intensity-Score	Russian Word
cream	anticipation	0.273	пломбир
immaturity	anticipation	0.273	незрелость
habitual	anticipation	0.266	привычный
morals	anticipation	0.266	мораль
neighborhood	anticipation	0.266	район
lull	anticipation	0.266	затишье
bye	anticipation	0.258	до свидания
weight	anticipation	0.258	масса
organ	anticipation	0.250	орган
clown	anticipation	0.250	клоун
forearm	anticipation	0.250	предплечье
commonplace	anticipation	0.242	обыденность
quote	anticipation	0.242	цитировать
rail	anticipation	0.234	рельс
dictatorship	anticipation	0.234	диктатура
treadmill	anticipation	0.234	беговая дорожка
board	anticipation	0.234	доска
tree	anticipation	0.227	дерево
sundial	anticipation	0.227	солнечные часы
paralysis	anticipation	0.211	паралич
cement	anticipation	0.203	цемент
worm	anticipation	0.203	червь
organization	anticipation	0.203	организация
lagging	anticipation	0.180	отставание
neutral	anticipation	0.148	нейтральный
cannibalism	disgust	0.953	каннибализм
mutilation	disgust	0.930	увечье
molestation	disgust	0.914	приставание
incest	disgust	0.914	инцест
rape	disgust	0.906	изнасилование
gonorrhea	disgust	0.906	гонорея
cannibal	disgust	0.898	каннибал
rot	disgust	0.891	гниль
corpse	disgust	0.883	труп
massacre	disgust	0.883	резня
excrement	disgust	0.883	экскременты
barf	disgust	0.875	рвота
slaughter	disgust	0.875	бойня
slaughterhouse	disgust	0.867	скотобойня
incestuous	disgust	0.859	кровосмесительный
sewerage	disgust	0.859	канализация
filth	disgust	0.859	грязь
bigot	disgust	0.859	фанатик
rancid	disgust	0.859	прогорклый
infestation	disgust	0.852	заражение
plague	disgust	0.852	чума
holocaust	disgust	0.852	холокост
bloodthirsty	disgust	0.852	кровожадный
rotting	disgust	0.844	гниение
fecal	disgust	0.844	фекальный
maggot	disgust	0.844	личинка
feces	disgust	0.844	фекалии
murder	disgust	0.839	убийство
asshole	disgust	0.836	Мудак
homicide	disgust	0.836	убийство
enslaved	disgust	0.836	порабощенный
infanticide	disgust	0.836	детоубийство
perverted	disgust	0.828	извращенный
excretion	disgust	0.828	экскреция
gore	disgust	0.828	кровь
slaughtering	disgust	0.828	забой
torture	disgust	0.828	пытка
contaminate	disgust	0.821	загрязнять
revolting	disgust	0.820	отвратительный
gory	disgust	0.820	кровавый
shit	disgust	0.820	дерьмо
terrorist	disgust	0.820	террорист
murderer	disgust	0.820	убийца
repugnant	disgust	0.820	отвратительный
manure	disgust	0.820	навоз
pervert	disgust	0.820	извращенец
diarrhoea	disgust	0.820	диарея
grotesque	disgust	0.820	гротеск
desecration	disgust	0.820	осквернение
faeces	disgust	0.812	кал
slavery	disgust	0.812	рабство
sewer	disgust	0.812	канализация
cadaver	disgust	0.812	труп
manslaughter	disgust	0.812	непредумышленное убийство
dismemberment	disgust	0.812	расчленение
vomit	disgust	0.812	рвота
perverse	disgust	0.805	порочный
repulsive	disgust	0.805	отталкивающий
hemorrhage	disgust	0.805	кровотечение
sewage	disgust	0.797	сточные воды
filthy	disgust	0.797	грязный
diseased	disgust	0.797	больной
depravity	disgust	0.797	разврат
carcass	disgust	0.795	туша
decompose	disgust	0.789	разложить
gruesome	disgust	0.789	ужасный
mutilated	disgust	0.789	изувеченный
puke	disgust	0.789	блевать
herpes	disgust	0.789	герпес
decayed	disgust	0.789	разложившийся
dung	disgust	0.789	навоз
vermin	disgust	0.789	паразит
murderous	disgust	0.789	убийственный
parasite	disgust	0.789	паразит
horrific	disgust	0.789	ужасный
carnage	disgust	0.781	резня
malaria	disgust	0.781	малярия
slime	disgust	0.781	слизь
flatulence	disgust	0.781	метеоризм
pestilence	disgust	0.781	мор
crap	disgust	0.781	дерьмо
monstrosity	disgust	0.781	чудовищность
loathsome	disgust	0.773	отвратительный
toxic	disgust	0.773	токсичный
morgue	disgust	0.773	морг
pus	disgust	0.773	гной
herpesvirus	disgust	0.773	вирус герпеса
leprosy	disgust	0.773	проказа
insidious	disgust	0.773	коварный
cruel	disgust	0.766	жестокий
regurgitation	disgust	0.766	срыгивание
anthrax	disgust	0.766	сибирская язва
xenophobia	disgust	0.766	ксенофобия
repugnance	disgust	0.766	отвращение
lynch	disgust	0.766	линчевать
revulsion	disgust	0.766	отвращение
whore	disgust	0.766	шлюха
dissection	disgust	0.759	рассечение
mucous	disgust	0.758	слизистый
canker	disgust	0.758	язва
slum	disgust	0.758	трущобы
infectious	disgust	0.758	заразный
evil	disgust	0.758	зло
phlegm	disgust	0.758	мокрота
cruelty	disgust	0.758	жестокость
perversion	disgust	0.758	извращение
sinister	disgust	0.750	зловещий
leeches	disgust	0.750	пиявки
corrupting	disgust	0.750	развращающий
decomposition	disgust	0.750	разложение
abomination	disgust	0.742	мерзость
stinking	disgust	0.742	вонючий
bile	disgust	0.742	желчь
demonic	disgust	0.742	демонический
deranged	disgust	0.742	ненормальный
abhorrence	disgust	0.742	отвращение
soiled	disgust	0.742	грязный
mucus	disgust	0.742	слизь
septic	disgust	0.742	септический
sickening	disgust	0.742	тошнотворный
demon	disgust	0.742	демон
cancer	disgust	0.734	рак
obese	disgust	0.734	толстый
degeneracy	disgust	0.734	вырождение
despicable	disgust	0.734	презренный
atrocity	disgust	0.734	зверство
foul	disgust	0.734	грязный
sicken	disgust	0.734	тошнить
crucifixion	disgust	0.734	распятие
terrorism	disgust	0.734	терроризм
repulsion	disgust	0.727	отвращение
morbidity	disgust	0.727	заболеваемость
dysentery	disgust	0.727	дизентерия
enema	disgust	0.727	клизма
bacterium	disgust	0.727	бактерия
dirty	disgust	0.727	грязный
adultery	disgust	0.727	прелюбодеяние
contamination	disgust	0.727	загрязнение
grisly	disgust	0.727	ужасный
diabolical	disgust	0.727	дьявольский
autopsy	disgust	0.719	вскрытие
barbaric	disgust	0.719	варварский
vulgar	disgust	0.719	вульгарный
entrails	disgust	0.719	внутренности
disgust	disgust	0.719	отвращение
lewd	disgust	0.719	непристойный
muck	disgust	0.719	грязь
bowels	disgust	0.719	кишки
garbage	disgust	0.719	мусор
deterioration	disgust	0.719	ухудшение
contagion	disgust	0.719	заражение
vicious	disgust	0.719	беспощадный
disfigured	disgust	0.719	обезображенный
pungent	disgust	0.719	острый
gross	disgust	0.719	валовой
bloodshed	disgust	0.714	кровопролитие
gag	disgust	0.711	кляп
pollute	disgust	0.711	загрязнять
nausea	disgust	0.711	тошнота
tyrant	disgust	0.711	тиран
wretched	disgust	0.711	несчастный
mortification	disgust	0.711	умерщвление
violent	disgust	0.711	жестокий
poisoned	disgust	0.711	отравлен
nauseate	disgust	0.703	тошнотворный
slimy	disgust	0.703	слизистый
grope	disgust	0.703	нащупывать
slut	disgust	0.703	шлюха
nasty	disgust	0.703	противный
disgusting	disgust	0.703	отвратительный
depraved	disgust	0.703	развратный
porn	disgust	0.703	порно
hateful	disgust	0.703	ненавистный
vulgarity	disgust	0.703	пошлость
noxious	disgust	0.703	вредный
grime	disgust	0.703	грязь
constipation	disgust	0.703	запор
secretion	disgust	0.703	секреция
poisoning	disgust	0.703	отравление
despotism	disgust	0.703	деспотизм
measles	disgust	0.696	корь
contagious	disgust	0.695	заразительный
obesity	disgust	0.695	ожирение
wart	disgust	0.695	бородавка
hate	disgust	0.695	ненавидеть
hellish	disgust	0.695	адский
scum	disgust	0.695	отбросы
suicidal	disgust	0.695	самоубийственный
wretch	disgust	0.695	негодяй
abuse	disgust	0.695	злоупотреблять
waste	disgust	0.695	напрасно тратить
intestinal	disgust	0.695	кишечный
heartworm	disgust	0.688	сердечный червь
ooze	disgust	0.688	сочиться
treason	disgust	0.688	измена
contaminated	disgust	0.688	загрязненный
smut	disgust	0.688	грязь
disease	disgust	0.688	болезнь
rabid	disgust	0.688	бешеный
deformed	disgust	0.680	деформированный
hell	disgust	0.680	ад
soulless	disgust	0.680	бездушный
cholera	disgust	0.680	холера
bestial	disgust	0.680	звериный
antichrist	disgust	0.680	антихрист
freakish	disgust	0.680	причудливый
germ	disgust	0.680	росток
detest	disgust	0.680	ненавижу
pollution	disgust	0.680	загрязнение
grimy	disgust	0.680	грязный
abhorrent	disgust	0.680	отвратительный
hatred	disgust	0.680	ненависть
abominate	disgust	0.680	ненавидеть
sickness	disgust	0.680	болезнь
hideous	disgust	0.672	отвратительный
dictatorship	disgust	0.672	диктатура
loathful	disgust	0.672	отвратительный
greasy	disgust	0.672	жирный
dilapidated	disgust	0.672	ветхий
inhuman	disgust	0.672	бесчеловечный
loathing	disgust	0.672	ненависть
obscene	disgust	0.672	непристойный
cess	disgust	0.670	прекращение
devil	disgust	0.664	дьявол
deformity	disgust	0.664	уродство
nauseous	disgust	0.664	тошнотворный
deadly	disgust	0.664	смертельный
swine	disgust	0.664	свинья
discrimination	disgust	0.664	дискриминация
abominable	disgust	0.664	отвратительный
masochism	disgust	0.664	мазохизм
heretic	disgust	0.664	еретик
latrines	disgust	0.656	уборные
corruption	disgust	0.656	коррупция
poisonous	disgust	0.656	ядовитый
horror	disgust	0.656	ужастик
nefarious	disgust	0.656	гнусный
bacteria	disgust	0.656	бактерии
horrible	disgust	0.656	какой ужас
trash	disgust	0.656	мусор
abortion	disgust	0.656	аборт
death	disgust	0.656	смерть
prejudiced	disgust	0.656	предвзятый
poison	disgust	0.656	яд
oppression	disgust	0.656	угнетение
goo	disgust	0.656	идти
victimized	disgust	0.656	жертва
mange	disgust	0.656	чесотка
sludge	disgust	0.648	ил
trashy	disgust	0.648	дрянной
vindictive	disgust	0.648	мстительный
horrid	disgust	0.648	ужасный
ugly	disgust	0.648	уродливый
immoral	disgust	0.648	аморальный
bitch	disgust	0.648	сука
outhouse	disgust	0.648	флигель
detestation	disgust	0.648	отвращение
horrifying	disgust	0.641	ужасающий
laxative	disgust	0.641	слабительное
unsightly	disgust	0.641	неприглядный
derogatory	disgust	0.641	уничижительный
slop	disgust	0.641	помои
malfeasance	disgust	0.641	должностное преступление
spew	disgust	0.641	извергать
pimple	disgust	0.641	прыщ
criminality	disgust	0.641	преступность
indecency	disgust	0.641	непристойность
cystic	disgust	0.641	кистозный
villainous	disgust	0.641	злодейский
queasy	disgust	0.633	тошнотворный
mildew	disgust	0.633	плесень
oppressive	disgust	0.633	угнетающий
prostitution	disgust	0.633	проституция
secrete	disgust	0.633	секретировать
ulcer	disgust	0.633	язва
rat	disgust	0.633	крыса
bigoted	disgust	0.633	фанатичный
perpetrator	disgust	0.633	преступник
doomsday	disgust	0.633	конец света
sinful	disgust	0.633	грешный
degrading	disgust	0.625	унижающий достоинство
ghastly	disgust	0.625	ужасный
suffering	disgust	0.625	страдания
obscenity	disgust	0.625	непристойность
devilish	disgust	0.625	дьявольский
disgraceful	disgust	0.625	постыдный
persecution	disgust	0.625	преследование
contemptible	disgust	0.625	презренный
cuckold	disgust	0.625	рогоносец
stools	disgust	0.625	табуретки
dastardly	disgust	0.625	подлый
sin	disgust	0.625	грех
gluttony	disgust	0.625	обжорство
bloated	disgust	0.625	раздутый
fungus	disgust	0.625	грибок
aghast	disgust	0.625	ошеломленный
diaper	disgust	0.617	подгузник
malicious	disgust	0.617	злонамеренный
polygamy	disgust	0.617	полигамия
dying	disgust	0.617	умирающий
termite	disgust	0.617	термит
fat	disgust	0.617	толстый
deceit	disgust	0.617	обман
atrocious	disgust	0.617	зверский
guillotine	disgust	0.617	гильотина
tetanus	disgust	0.617	столбняк
spoil	disgust	0.617	портиться
crusty	disgust	0.617	твердый
sickly	disgust	0.617	болезненный
louse	disgust	0.617	вошь
strangle	disgust	0.617	задушить
betrayal	disgust	0.617	предательство
loathe	disgust	0.617	ненавижу
wench	disgust	0.617	девка
infect	disgust	0.617	заразить
violently	disgust	0.609	яростно
brothel	disgust	0.609	бордель
drool	disgust	0.609	пускать слюни
bleeding	disgust	0.609	кровотечение
deform	disgust	0.609	деформировать
ghetto	disgust	0.609	гетто
sabotage	disgust	0.609	саботаж
venomous	disgust	0.609	ядовитый
abhor	disgust	0.609	ненавидеть
slander	disgust	0.609	клевета
hostile	disgust	0.609	враждебный
musty	disgust	0.602	затхлый
illicit	disgust	0.602	незаконный
ugliness	disgust	0.602	уродство
unwashed	disgust	0.602	немытый
swampy	disgust	0.602	болотистый
deprivation	disgust	0.602	лишение
poaching	disgust	0.602	браконьерство
hag	disgust	0.602	ведьма
infidel	disgust	0.602	неверный
imprisonment	disgust	0.602	тюремное заключение
traitor	disgust	0.602	предатель
lunacy	disgust	0.602	безумие
queasiness	disgust	0.594	тошнота
hostility	disgust	0.594	враждебность
repelling	disgust	0.594	отталкивающий
intoxicated	disgust	0.594	опьяненный
thug	disgust	0.594	головорез
catastrophe	disgust	0.594	катастрофа
lunatic	disgust	0.594	сумасшедший
misery	disgust	0.594	невзгоды
venom	disgust	0.594	яд
butcher	disgust	0.594	мясник
toilet	disgust	0.594	туалет
blister	disgust	0.594	волдырь
lurid	disgust	0.594	зловещий
slug	disgust	0.594	слизняк
gut	disgust	0.594	кишки
sinner	disgust	0.594	грешник
deceitful	disgust	0.594	лживый
epidemic	disgust	0.594	эпидемия
deteriorated	disgust	0.586	испортился
lavatory	disgust	0.586	туалет
unclean	disgust	0.586	нечистый
prostitute	disgust	0.586	Проститутка
incubus	disgust	0.586	инкуб
appalling	disgust	0.586	ужасный
dreadful	disgust	0.586	ужасный
pornography	disgust	0.586	порнография
harass	disgust	0.586	беспокоить
squeamish	disgust	0.578	брезгливый
expulsion	disgust	0.578	изгнание
unfaithful	disgust	0.578	неверный
offensive	disgust	0.578	оскорбительный
hypocrite	disgust	0.578	лицемер
humiliating	disgust	0.578	унизительный
larceny	disgust	0.578	воровство
ruinous	disgust	0.578	губительный
retard	disgust	0.578	тормозить
rash	disgust	0.578	сыпь
flea	disgust	0.578	блоха
debauchery	disgust	0.578	разврат
fiend	disgust	0.578	злодей
quagmire	disgust	0.578	трясина
conspirator	disgust	0.578	заговорщик
sick	disgust	0.578	больной
mangle	disgust	0.578	калечить
dogsick	disgust	0.570	собачья боль
egregious	disgust	0.570	вопиющий
flog	disgust	0.570	порка
despise	disgust	0.570	презирать
treacherous	disgust	0.570	предательский
oppress	disgust	0.570	угнетать
swamp	disgust	0.570	болото
messy	disgust	0.570	беспорядочный
spit	disgust	0.570	плевать
dank	disgust	0.570	сырой
bastard	disgust	0.570	сволочь
devastating	disgust	0.570	разрушительный
serpent	disgust	0.570	змей
loo	disgust	0.562	туалет
indecent	disgust	0.562	неприличный
insanity	disgust	0.562	безумие
stealing	disgust	0.562	воровство
terrible	disgust	0.562	ужасный
tyrannical	disgust	0.562	тиранический
humiliation	disgust	0.562	унижение
snake	disgust	0.562	змея
sloppy	disgust	0.562	небрежный
sinning	disgust	0.562	грешить
harmful	disgust	0.562	вредный
harlot	disgust	0.562	блудница
sordid	disgust	0.562	грязный
enemy	disgust	0.562	враг
alcoholism	disgust	0.562	алкоголизм
awful	disgust	0.562	ужасный
ruthless	disgust	0.562	безжалостный
scoundrel	disgust	0.562	негодяй
bloody	disgust	0.555	кровавый
flabby	disgust	0.555	дряблый
odious	disgust	0.555	одиозный
beastly	disgust	0.555	чудовищный
collusion	disgust	0.555	сговор
ridicule	disgust	0.555	насмешка
discriminating	disgust	0.555	различающий
unattractive	disgust	0.555	непривлекательный
insufferable	disgust	0.555	невыносимый
segregate	disgust	0.555	отделять
arsenic	disgust	0.555	мышьяк
threatening	disgust	0.555	угрожающий
atrophy	disgust	0.555	атрофия
varicella	disgust	0.555	ветряная оспа
slayer	disgust	0.555	убийца
distaste	disgust	0.555	отвращение
coward	disgust	0.555	трусливый
robbery	disgust	0.555	ограбление
wickedness	disgust	0.555	злоба
anathema	disgust	0.547	анафема
malevolent	disgust	0.547	злобный
sty	disgust	0.547	свинарник
pillage	disgust	0.547	грабеж
thief	disgust	0.547	вор
suffocating	disgust	0.547	удушающий
condemnation	disgust	0.547	осуждение
deleterious	disgust	0.547	вредный
slur	disgust	0.547	оскорбление
purgatory	disgust	0.547	чистилище
attacking	disgust	0.547	атакующий
burglar	disgust	0.547	грабитель
ogre	disgust	0.547	людоед
coercion	disgust	0.547	принуждение
vesicular	disgust	0.547	везикулярный
miserable	disgust	0.547	убогий
bitterly	disgust	0.547	горько
sneer	disgust	0.539	насмехаться
greedy	disgust	0.539	жадный
gob	disgust	0.539	глотать
repellant	disgust	0.539	репеллент
jealous	disgust	0.539	ревнивый
drunken	disgust	0.539	пьяный
shame	disgust	0.539	стыд
thrash	disgust	0.539	трэш
fatty	disgust	0.539	жирный
liar	disgust	0.539	лжец
imprisoned	disgust	0.539	заключенный в тюрьму
sloth	disgust	0.539	лень
repudiation	disgust	0.539	отказ
disgrace	disgust	0.539	позор
infidelity	disgust	0.539	неверность
pig	disgust	0.539	свинья
lethal	disgust	0.536	смертельный
burnt	disgust	0.531	сожженный
brawl	disgust	0.531	драка
withered	disgust	0.531	иссохший
blemish	disgust	0.531	порок
hydrocephalus	disgust	0.531	гидроцефалия
aberration	disgust	0.531	аберрация
smuggler	disgust	0.531	контрабандист
painful	disgust	0.531	болезненный
condescension	disgust	0.531	снисходительность
intolerant	disgust	0.531	нетерпимый
blasphemous	disgust	0.531	богохульный
lying	disgust	0.531	врущий
hanging	disgust	0.531	висит
travesty	disgust	0.531	пародия
ruined	disgust	0.531	разрушенный
intrusive	disgust	0.531	навязчивый
disintegrate	disgust	0.531	распадаться
destructive	disgust	0.531	разрушительный
neurotic	disgust	0.531	невротик
disparaging	disgust	0.523	пренебрежительный
blighted	disgust	0.523	испорченный
intolerance	disgust	0.523	нетерпимость
mistress	disgust	0.523	госпожа
avarice	disgust	0.523	жадность
disgraced	disgust	0.523	опальный
derogation	disgust	0.523	отступление
rubbish	disgust	0.523	мусор
accusation	disgust	0.523	обвинение
incarceration	disgust	0.523	заключение
tortious	disgust	0.516	деликтный
dishonor	disgust	0.516	бесчестие
stink	disgust	0.516	вонь
grim	disgust	0.516	мрачный
rob	disgust	0.516	грабить
defraud	disgust	0.516	обманывать
sump	disgust	0.516	отстойник
cringe	disgust	0.516	съеживаться
vulture	disgust	0.516	гриф
deplorable	disgust	0.516	прискорбный
mite	disgust	0.516	клещ
eradication	disgust	0.516	искоренение
degrade	disgust	0.516	деградировать
gutter	disgust	0.516	желоб
convict	disgust	0.516	признать виновным
remains	disgust	0.516	останки
betray	disgust	0.516	предавать
daemon	disgust	0.516	демон
sham	disgust	0.509	притворство
distasteful	disgust	0.508	неприятный
prisoner	disgust	0.508	заключенный
dreadfully	disgust	0.508	ужасно
worthless	disgust	0.508	бесполезный
crude	disgust	0.508	грубый
delirium	disgust	0.508	бред
incurable	disgust	0.508	неизлечимый
smelling	disgust	0.508	обоняние
idiocy	disgust	0.508	идиотизм
resentment	disgust	0.508	негодование
bombed	disgust	0.508	бомбили
blob	disgust	0.508	капля
cheat	disgust	0.508	изменять
schizophrenia	disgust	0.508	шизофрения
rejection	disgust	0.508	отказ
belittle	disgust	0.508	принижать
glut	disgust	0.508	перенасыщение
disaster	disgust	0.508	стихийное бедствие
distress	disgust	0.508	горе
pest	disgust	0.508	вредитель
endemic	disgust	0.508	эндемичный
theft	disgust	0.500	кража
banish	disgust	0.500	изгнать
mire	disgust	0.500	болото
flagrant	disgust	0.500	вопиющий
derision	disgust	0.500	насмешка
dirt	disgust	0.500	грязь
screaming	disgust	0.500	кричащий
offense	disgust	0.500	оскорбление
jealousy	disgust	0.500	ревность
bribery	disgust	0.500	взяточничество
polemic	disgust	0.500	полемический
blight	disgust	0.500	упадок
impeach	disgust	0.500	импичмент
bitterness	disgust	0.500	горечь
taboo	disgust	0.500	табу
duress	disgust	0.500	принуждение
goblin	disgust	0.500	гоблин
shackle	disgust	0.500	кандалы
idolatry	disgust	0.500	идолопоклонство
greed	disgust	0.500	жадность
impurity	disgust	0.500	примесь
tirade	disgust	0.500	тирада
idiot	disgust	0.492	идиот
boil	disgust	0.492	кипятить
unconscionable	disgust	0.492	недобросовестный
disreputable	disgust	0.492	бесчестный
robber	disgust	0.492	грабитель
malign	disgust	0.492	клеветать
wreck	disgust	0.492	крушение
recession	disgust	0.492	рецессия
gorge	disgust	0.492	ущелье
leer	disgust	0.492	хитрый взгляд
ill	disgust	0.492	больной
squirm	disgust	0.492	извиваться
raging	disgust	0.484	бушующий
servile	disgust	0.484	рабский
mess	disgust	0.484	беспорядок
nappy	disgust	0.484	подгузник
possessed	disgust	0.484	одержимый
unbearable	disgust	0.484	невыносимый
occult	disgust	0.484	оккультный
contraband	disgust	0.484	контрабанда
snarl	disgust	0.484	рычать
mutiny	disgust	0.484	мятеж
mad	disgust	0.484	без ума
affliction	disgust	0.484	несчастье
stain	disgust	0.484	пятно
animosity	disgust	0.484	враждебность
contempt	disgust	0.484	презрение
tramp	disgust	0.484	бродяга
nepotism	disgust	0.484	кумовство
disrespectful	disgust	0.484	неуважительный
defamation	disgust	0.484	клевета
inexcusable	disgust	0.484	непростительный
aversation	disgust	0.484	неприятие
wasteful	disgust	0.484	расточительный
offender	disgust	0.484	преступник
subjugation	disgust	0.484	подчинение
illegality	disgust	0.477	незаконность
dismal	disgust	0.477	мрачный
criminal	disgust	0.477	уголовное
unpleasant	disgust	0.477	неприятный
palsy	disgust	0.477	паралич
antagonistic	disgust	0.477	антагонистический
pathetic	disgust	0.477	жалкий
uncaring	disgust	0.477	безразличный
suppression	disgust	0.477	подавление
immorality	disgust	0.477	безнравственность
mockery	disgust	0.477	насмешка
outrage	disgust	0.469	возмущение
mocking	disgust	0.469	насмешливый
wallow	disgust	0.469	барахтаться
cough	disgust	0.469	кашель
arrogant	disgust	0.469	высокомерный
angry	disgust	0.469	злой
poverty	disgust	0.469	бедность
grating	disgust	0.469	решетка
livid	disgust	0.469	в ярости
aggravation	disgust	0.469	обострение
repellent	disgust	0.469	отталкивающий
perspiration	disgust	0.469	пот
banishment	disgust	0.469	изгнание
furious	disgust	0.469	яростный
shoddy	disgust	0.469	дрянной
banshee	disgust	0.469	банши
deceive	disgust	0.461	обманывать
fool	disgust	0.461	дурак
quack	disgust	0.461	шарлатан
distorted	disgust	0.461	искаженный
spider	disgust	0.461	паук
unjustifiable	disgust	0.461	неоправданный
deplore	disgust	0.461	сожалеть
spurious	disgust	0.461	ложный
perdition	disgust	0.461	погибель
muddy	disgust	0.461	грязный
fraudulent	disgust	0.461	мошеннический
scar	disgust	0.461	шрам
prick	disgust	0.461	уколоть
insulting	disgust	0.461	оскорбительный
plunder	disgust	0.461	грабить
recklessness	disgust	0.461	безрассудство
stigma	disgust	0.453	клеймо
disparage	disgust	0.453	пренебрежение
unthinkable	disgust	0.453	немыслимый
disingenuous	disgust	0.453	неискренний
bane	disgust	0.453	проклятие
dishonest	disgust	0.453	нечестный
aphid	disgust	0.453	тля
elimination	disgust	0.453	устранение
cur	disgust	0.453	собака
selfish	disgust	0.453	эгоистичный
eschew	disgust	0.453	сторониться
dire	disgust	0.453	ужасный
indignation	disgust	0.453	возмущение
antipathy	disgust	0.453	антипатия
alienate	disgust	0.453	отчуждать
mosquito	disgust	0.445	комар
piles	disgust	0.445	геморрой
pious	disgust	0.445	благочестивый
lie	disgust	0.445	ложь
opium	disgust	0.445	опиум
smell	disgust	0.445	запах
iniquity	disgust	0.445	беззаконие
caries	disgust	0.445	кариес
despair	disgust	0.445	отчаяние
recalcitrant	disgust	0.445	непокорный
egotistical	disgust	0.445	эгоистичный
wasted	disgust	0.445	потрачено
vacuous	disgust	0.445	пустой
bankruptcy	disgust	0.445	банкротство
garish	disgust	0.445	кричащий
obnoxious	disgust	0.438	противный
ashamed	disgust	0.438	стыдящийся
abject	disgust	0.438	презренный
sticky	disgust	0.438	липкий
scream	disgust	0.438	крик
hopelessness	disgust	0.438	безнадежность
homeless	disgust	0.438	бездомный
shun	disgust	0.438	избегайте
inmate	disgust	0.438	сокамерник
alien	disgust	0.438	инопланетянин
hog	disgust	0.438	свинья
aversion	disgust	0.438	отвращение
abnormal	disgust	0.438	аномальный
cursing	disgust	0.430	проклятие
undesirable	disgust	0.430	нежелательный
denounce	disgust	0.430	денонсировать
witch	disgust	0.430	ведьма
creature	disgust	0.430	существо
lusty	disgust	0.430	похотливый
illegal	disgust	0.430	незаконный
debris	disgust	0.430	обломки
callous	disgust	0.430	черствый
reflux	disgust	0.430	рефлюкс
adverse	disgust	0.430	неблагоприятный
shameless	disgust	0.430	бесстыдный
separatist	disgust	0.430	сепаратист
trickery	disgust	0.430	обман
falsity	disgust	0.430	ложь
pall	disgust	0.430	уныние
defiance	disgust	0.430	неповиновение
incredulous	disgust	0.430	недоверчивый
curse	disgust	0.430	проклинать
pompous	disgust	0.422	напыщенный
socialist	disgust	0.422	социалист
mistrust	disgust	0.422	недоверие
infantile	disgust	0.422	инфантильный
wasting	disgust	0.422	тратить
hairy	disgust	0.422	волосатый
nicotine	disgust	0.422	никотин
denunciation	disgust	0.422	донос
collapse	disgust	0.422	крах
untidy	disgust	0.422	неопрятный
ferocious	disgust	0.422	свирепый
ammonia	disgust	0.422	аммиак
carelessness	disgust	0.422	небрежность
impure	disgust	0.422	нечистый
contentious	disgust	0.422	спорный
bum	disgust	0.422	бездельничать
affront	disgust	0.422	оскорблять
offend	disgust	0.422	обидеть
tarnish	disgust	0.422	тускнеть
idiotic	disgust	0.422	идиотский
badness	disgust	0.422	злость
delinquent	disgust	0.422	правонарушитель
swarm	disgust	0.422	рой
hypertrophy	disgust	0.422	гипертрофия
gush	disgust	0.422	фонтанировать
tasteless	disgust	0.422	безвкусный
bovine	disgust	0.422	бычий
slush	disgust	0.422	слякоть
litigious	disgust	0.414	спорный
dishonesty	disgust	0.414	нечестность
vegetative	disgust	0.414	вегетативный
unfavorable	disgust	0.414	неблагоприятный
displacency	disgust	0.414	смещение
illegitimate	disgust	0.414	незаконнорожденный
sour	disgust	0.414	кислый
socialism	disgust	0.414	социализм
disobey	disgust	0.414	не подчиняться
drivel	disgust	0.414	вздор
vampire	disgust	0.414	вампир
neglected	disgust	0.414	заброшенный
murky	disgust	0.414	мутный
ignorant	disgust	0.406	невежественный
disgruntled	disgust	0.406	недовольный
discontinuity	disgust	0.406	прерывность
dislike	disgust	0.406	не нравится
unlawful	disgust	0.406	незаконный
wrongdoing	disgust	0.406	проступок
shoplifting	disgust	0.406	магазинная кража
recidivism	disgust	0.406	рецидивизм
outcast	disgust	0.406	изгой
bogus	disgust	0.406	подделка
displeasure	disgust	0.406	неудовольствие
repel	disgust	0.406	отталкивать
falsify	disgust	0.406	фальсифицировать
ungrateful	disgust	0.406	неблагодарный
unkind	disgust	0.406	недобрый
phony	disgust	0.406	фальшивый
prosecution	disgust	0.406	судебное преследование
woe	disgust	0.398	горе
averse	disgust	0.398	отвращение
loon	disgust	0.398	гагара
worsening	disgust	0.398	ухудшение
paucity	disgust	0.398	бедность
unnatural	disgust	0.398	неестественный
amphetamines	disgust	0.398	амфетамины
senseless	disgust	0.398	бессмысленный
rigor	disgust	0.398	строгость
subvert	disgust	0.398	ниспровергать
failure	disgust	0.398	отказ
lick	disgust	0.398	лизать
unruly	disgust	0.398	непослушный
woefully	disgust	0.398	прискорбно
stingy	disgust	0.398	скупой
crushing	disgust	0.398	сокрушительный
disdain	disgust	0.398	презрение
insult	disgust	0.393	оскорблять
averseness	disgust	0.391	неприязнь
disrelish	disgust	0.391	ненавидеть
punished	disgust	0.391	наказан
critter	disgust	0.391	тварь
damage	disgust	0.391	наносить ущерб
scorpion	disgust	0.391	скорпион
diatribe	disgust	0.391	обличительная речь
muff	disgust	0.391	муфта
farcical	disgust	0.391	фарс
antisocial	disgust	0.391	антиобщественный
hardened	disgust	0.391	закаленный
punishment	disgust	0.391	наказание
bad	disgust	0.391	Плохо
expel	disgust	0.391	изгнать
surly	disgust	0.383	угрюмый
lament	disgust	0.383	оплакивать
illiterate	disgust	0.383	неграмотный
divorce	disgust	0.383	развод
teeming	disgust	0.383	изобилующий
