English Word	Emotion	Emotion-Intensity-Score	Scots-Gaelic Word
undisclosed	anticipation	0.500	gun fhoillseachadh
attendance	anticipation	0.500	làthaireachd
peril	anticipation	0.500	cunnart
income	anticipation	0.500	teachd a-steach
calculation	anticipation	0.500	àireamhachadh
zeal	anticipation	0.500	eud
eventuality	anticipation	0.500	mu dheireadh thall
favorable	anticipation	0.500	fàbharach
utopian	anticipation	0.500	utopian
swim	anticipation	0.500	snàmh
proceeding	anticipation	0.492	a' dol air adhart
eventual	anticipation	0.492	mu dheireadh
heyday	anticipation	0.492	latha mòr
undertaking	anticipation	0.492	a' gabhail os làimh
improvise	anticipation	0.492	gun ullachadh
inauguration	anticipation	0.492	sealbhachadh
consequent	anticipation	0.492	mar thoradh
perspective	anticipation	0.492	sealladh
defense	anticipation	0.492	dìon
repay	anticipation	0.492	ath-dhìoladh
gaping	anticipation	0.492	beàrn
youth	anticipation	0.492	òigridh
parole	anticipation	0.492	parole
worry	anticipation	0.492	dragh
bless	anticipation	0.492	beannaich
restorative	anticipation	0.492	aisirich
court	anticipation	0.492	cùirt
highest	anticipation	0.491	as àirde
shortly	anticipation	0.484	goirid
auspicious	anticipation	0.484	adhartach
princely	anticipation	0.484	prionnsa
correspondence	anticipation	0.484	litrichean
generosity	anticipation	0.484	fialaidheachd
sparkle	anticipation	0.484	lìomhadh
voluptuous	anticipation	0.484	luaineach
happen	anticipation	0.484	tachairt
tremor	anticipation	0.484	crith
letter	anticipation	0.484	litir
vow	anticipation	0.484	bòid
sharpen	anticipation	0.484	geur
duel	anticipation	0.484	duel
conjure	anticipation	0.484	conjradh
threaten	anticipation	0.484	bagairt
god	anticipation	0.484	dhia
engulf	anticipation	0.484	engulf
unexplained	anticipation	0.484	gun mhìneachadh
contagion	anticipation	0.484	contagion
glorify	anticipation	0.477	glòraich
submit	anticipation	0.477	cuir a-steach
enroll	anticipation	0.477	clàraich
unification	anticipation	0.477	aonadh
gravitate	anticipation	0.477	gravitate
glide	anticipation	0.477	sleamhnachadh
accompaniment	anticipation	0.477	coisrigeadh
cherish	anticipation	0.477	meas
adore	anticipation	0.477	adhradh
powerful	anticipation	0.477	cumhachdach
clue	anticipation	0.477	cliu
medal	anticipation	0.477	bonn
contemplate	anticipation	0.477	beachdaich
perilous	anticipation	0.477	cunnartach
determinate	anticipation	0.477	cinntich
arbitration	anticipation	0.477	rèiteachaidh
recipient	anticipation	0.477	neach-faighinn
onset	anticipation	0.477	toiseachadh
predispose	anticipation	0.477	ro-innseadh
score	anticipation	0.477	sgòr
torture	anticipation	0.477	chràdh
glow	anticipation	0.477	glaodhaich
praiseworthy	anticipation	0.473	ionmholta
football	anticipation	0.469	ball-coise
scare	anticipation	0.469	eagal
elite	anticipation	0.469	mionlach
unknown	anticipation	0.469	neo-aithnichte
precursor	anticipation	0.469	ro-ruithear
pry	anticipation	0.469	prag
providing	anticipation	0.469	a' solarachadh
sweets	anticipation	0.469	siùcairean
cautious	anticipation	0.469	faicilleach
opera	anticipation	0.469	opera
motion	anticipation	0.469	gluasad
cash	anticipation	0.469	airgead
creeping	anticipation	0.469	snàgadh
invoke	anticipation	0.469	toirt ionnsaigh
star	anticipation	0.469	rionnag
shaky	anticipation	0.469	air chrith
production	anticipation	0.469	cinneasachadh
successful	anticipation	0.469	soirbheachail
immediately	anticipation	0.469	gun dàil
dawn	anticipation	0.469	madainn
starry	anticipation	0.469	rionnagach
unsurpassed	anticipation	0.469	gun choimeas
completion	anticipation	0.469	crìochnachadh
hire	anticipation	0.469	fastadh
fete	anticipation	0.469	feithe
commemorative	anticipation	0.461	cuimhneachail
shining	anticipation	0.461	a' deàrrsadh
testament	anticipation	0.461	tiomnadh
pay	anticipation	0.461	pàigheadh
alive	anticipation	0.461	beò
plight	anticipation	0.461	truaighe
preliminary	anticipation	0.461	ro-innseach
overture	anticipation	0.461	osnaich
sanctuary	anticipation	0.461	tearmann
regatta	anticipation	0.461	regata
draft	anticipation	0.461	dreach
synchronize	anticipation	0.461	sioncronaich
soundness	anticipation	0.461	fuaimneach
extricate	anticipation	0.461	extric
excel	anticipation	0.461	excel
punt	anticipation	0.461	punnd
untold	anticipation	0.461	gun innse
brilliant	anticipation	0.461	sgoinneil
cheerfulness	anticipation	0.461	sunndachd
jeopardy	anticipation	0.461	cunnart
friendly	anticipation	0.461	càirdeil
mail	anticipation	0.461	puist
unexpected	anticipation	0.453	ris nach robh dùil
basketball	anticipation	0.453	ball-basgaid
inaugural	anticipation	0.453	tòiseachaidh
supremacy	anticipation	0.453	uachdaranachd
rehabilitation	anticipation	0.453	ath-bheothachadh
intimately	anticipation	0.453	gu dlùth
career	anticipation	0.453	dreuchd
prevention	anticipation	0.453	casg
renovate	anticipation	0.453	ath-nuadhachadh
compliment	anticipation	0.453	moladh
prologue	anticipation	0.453	prologue
elegance	anticipation	0.453	eireachdas
complement	anticipation	0.453	coimhlionta
flinch	anticipation	0.453	flinch
infinity	anticipation	0.453	neo-chrìochnachd
perpetuity	anticipation	0.453	sìorruidheachd
sunset	anticipation	0.453	dol fodha na grèine
improve	anticipation	0.453	leasaich
fitting	anticipation	0.445	freagarrach
confidence	anticipation	0.445	misneachd
concealment	anticipation	0.445	falachadh
sweet	anticipation	0.445	milis
perfect	anticipation	0.445	foirfe
epidemic	anticipation	0.445	galar-sgaoilte
fain	anticipation	0.445	fann
volunteer	anticipation	0.445	saor-thoileach
share	anticipation	0.445	roinn
surround	anticipation	0.445	timcheall
conjecture	anticipation	0.445	beachd-bheachd
sun	anticipation	0.445	ghrian
veracity	anticipation	0.445	fìreantachd
serial	anticipation	0.438	sreathach
angel	anticipation	0.438	aingeal
aloha	anticipation	0.438	aloha
saint	anticipation	0.438	naomh
tickle	anticipation	0.438	diog
superstitious	anticipation	0.438	saobh-chràbhach
ferment	anticipation	0.438	aiseag
conservation	anticipation	0.438	glèidhteachas
devout	anticipation	0.438	diadhaidh
respect	anticipation	0.438	spèis
reconstruction	anticipation	0.438	ath-thogail
goodness	anticipation	0.438	maitheas
reconstruct	anticipation	0.438	ath-chruthachadh
faith	anticipation	0.438	creideamh
recombination	anticipation	0.438	ath-mheasadh
prepared	anticipation	0.438	ullaichte
rabid	anticipation	0.438	rabaid
plea	anticipation	0.438	tagradh
medical	anticipation	0.438	lèigheil
passenger	anticipation	0.438	neach-siubhail
charitable	anticipation	0.430	carthannach
tabulate	anticipation	0.430	tabula
peace	anticipation	0.430	sìth
install	anticipation	0.430	stàladh
serenity	anticipation	0.430	serenity
venerable	anticipation	0.430	urramach
spa	anticipation	0.430	spà
labyrinth	anticipation	0.430	labyrinth
luscious	anticipation	0.430	lusach
perpetuate	anticipation	0.430	buanachadh
strategist	anticipation	0.430	ro-innleachdaiche
unverified	anticipation	0.430	neo-dhearbhte
tribunal	anticipation	0.430	tribiunal
clap	anticipation	0.430	clap
peaceful	anticipation	0.422	sìtheil
patience	anticipation	0.422	foighidinn
unresolved	anticipation	0.422	gun fhuasgladh
worship	anticipation	0.422	aoradh
edification	anticipation	0.422	deasachadh
oasis	anticipation	0.422	oaisis
grin	anticipation	0.422	gàire
revere	anticipation	0.422	urram
candid	anticipation	0.422	fosgailte
vista	anticipation	0.422	sealladh
conspirator	anticipation	0.422	conspirator
adrift	anticipation	0.422	sruth
recognizable	anticipation	0.422	aithnichte
volatility	anticipation	0.422	luaineachd
forestall	anticipation	0.422	coille
laughter	anticipation	0.422	gàire
continue	anticipation	0.414	leantuinn
ongoing	anticipation	0.414	leantainneach
astrologer	anticipation	0.414	speuradair
mediate	anticipation	0.414	eadar-mheadhonair
punctual	anticipation	0.414	pongail
grant	anticipation	0.414	tabhartas
morn	anticipation	0.414	maduinn
pretty	anticipation	0.414	breagha
withstand	anticipation	0.414	seasamh
frisky	anticipation	0.414	friogais
thought	anticipation	0.414	smuainich
probation	anticipation	0.414	dearbhaidh
ordination	anticipation	0.414	òrduchadh
calls	anticipation	0.414	gairmean
detainee	anticipation	0.414	neach-grèim
craps	anticipation	0.414	sgàinidhean
weigh	anticipation	0.414	cuideam
proficiency	anticipation	0.414	comasachd
sing	anticipation	0.411	seinn
continuation	anticipation	0.406	leantuinn
university	anticipation	0.406	oilthigh
chicane	anticipation	0.406	chicane
nurture	anticipation	0.406	àrach
mother	anticipation	0.406	màthair
punished	anticipation	0.406	air a pheanasachadh
twinkle	anticipation	0.406	feadail
confession	anticipation	0.406	aideachadh
outdo	anticipation	0.406	a-muigh
prophylactic	anticipation	0.406	prophylactic
proud	anticipation	0.406	pròiseil
midwife	anticipation	0.406	bean-ghlùine
wizard	anticipation	0.406	draoidh
headlight	anticipation	0.406	ceann-solais
long	anticipation	0.406	fada
banquet	anticipation	0.406	fèist
comfort	anticipation	0.406	comhfhurtachd
navigable	anticipation	0.406	seòlaidh
subscribe	anticipation	0.406	fo-sgrìobhadh
opponent	anticipation	0.406	nàmhaid
debenture	anticipation	0.406	debenture
deal	anticipation	0.402	gnothach
symphony	anticipation	0.398	symphony
saintly	anticipation	0.398	naomh
judiciary	anticipation	0.398	breitheanais
lettered	anticipation	0.398	litrichean
vigil	anticipation	0.398	faire
reliance	anticipation	0.398	earbsa
distracting	anticipation	0.398	a' tarraing aire
mortification	anticipation	0.398	marbhadh
balm	anticipation	0.398	balm
simmer	anticipation	0.398	suathadh
top	anticipation	0.398	mhullaich
obliging	anticipation	0.398	dleasdanas
efficient	anticipation	0.398	èifeachdach
guillotine	anticipation	0.398	guillotine
representing	anticipation	0.398	riochdachadh
death	anticipation	0.398	bàs
assurance	anticipation	0.391	dearbhachd
familiarity	anticipation	0.391	eòlas
depraved	anticipation	0.391	truagh
condemnation	anticipation	0.391	dìteadh
undoubted	anticipation	0.391	gun teagamh
sanctify	anticipation	0.391	naomhaich
diplomacy	anticipation	0.391	dioplomaidh
antidote	anticipation	0.391	antidote
trust	anticipation	0.391	earbsa
linger	anticipation	0.391	fantainn
objective	anticipation	0.391	amas
chuckle	anticipation	0.391	uchd
poke	anticipation	0.391	poc
abeyance	anticipation	0.391	seachnaidh
maternal	anticipation	0.391	màthaireil
art	anticipation	0.391	ealain
unfulfilled	anticipation	0.391	neo-choileanta
inoculation	anticipation	0.384	inoculation
simplify	anticipation	0.383	simplidh
depend	anticipation	0.383	an urra
chant	anticipation	0.383	seinn
ram	anticipation	0.383	reithe
banger	anticipation	0.383	bragadair
playground	anticipation	0.383	raon-cluiche
labor	anticipation	0.383	saothair
scientist	anticipation	0.383	eòlaiche
good	anticipation	0.383	math
humanitarian	anticipation	0.383	daonnachdail
failing	anticipation	0.383	fàilligeadh
hap	anticipation	0.383	hap
dutiful	anticipation	0.383	dleasdanach
hymn	anticipation	0.383	laoidh
ship	anticipation	0.383	soitheach
discretion	anticipation	0.383	roghainn
undecided	anticipation	0.383	neo-chinnteach
gradual	anticipation	0.375	mean air mhean
navigator	anticipation	0.375	seòladair
track	anticipation	0.375	rian
cradle	anticipation	0.375	chreathail
sterling	anticipation	0.375	sterling
interim	anticipation	0.375	eadar-amail
clock	anticipation	0.375	uaireadair
mountain	anticipation	0.375	beinn
interminable	anticipation	0.375	eadar-amail
public	anticipation	0.375	poblach
recurrent	anticipation	0.375	ath-aithris
savor	anticipation	0.375	blasad
abide	anticipation	0.367	fanaibh
concealed	anticipation	0.367	folaichte
spear	anticipation	0.367	sleagh
lesson	anticipation	0.367	leasan
instructions	anticipation	0.367	stiùiridhean
sonar	anticipation	0.367	sonar
biennial	anticipation	0.367	dà-bhliadhnail
convince	anticipation	0.367	a chreidsinn
whim	anticipation	0.367	cuip
shiver	anticipation	0.367	crith
towering	anticipation	0.367	àrdanach
musical	anticipation	0.367	ceòlmhor
offset	anticipation	0.359	dheth
theory	anticipation	0.359	teòiridh
theology	anticipation	0.359	diadhachd
undying	anticipation	0.359	neo-bhàsmhor
timidity	anticipation	0.359	eagallachd
plump	anticipation	0.359	plump
atone	anticipation	0.359	aoin
audience	anticipation	0.357	luchd-èisteachd
dietary	anticipation	0.352	biadhaidh
consecration	anticipation	0.352	coisrigeadh
localize	anticipation	0.352	ionadail
paragon	anticipation	0.352	paragon
store	anticipation	0.352	stòr
farm	anticipation	0.352	tuathanas
daily	anticipation	0.352	gach latha
cramp	anticipation	0.352	cramp
nobility	anticipation	0.352	uaislean
closure	anticipation	0.352	dùnadh
edition	anticipation	0.352	deasachadh
kindred	anticipation	0.352	càirdeil
stripped	anticipation	0.344	stialladh
errand	anticipation	0.344	mearachd
archaeology	anticipation	0.344	arc-eòlas
mutable	anticipation	0.344	mutable
wireless	anticipation	0.344	wireless
meditate	anticipation	0.344	cnuasachadh
mobile	anticipation	0.344	gluasadach
germ	anticipation	0.336	germ
brotherly	anticipation	0.336	bràthaireil
lessen	anticipation	0.336	lughdaich
unbeaten	anticipation	0.336	gun bhualadh
pare	anticipation	0.336	par
buddy	anticipation	0.336	caraid
unaccountable	anticipation	0.336	gun chunntas
dove	anticipation	0.328	calman
patient	anticipation	0.328	euslainteach
secular	anticipation	0.328	saoghalta
digress	anticipation	0.328	cladhaich
chastity	anticipation	0.328	diomhanas
council	anticipation	0.328	comhairle
olfactory	anticipation	0.328	olfactory
ribbon	anticipation	0.328	ribean
possess	anticipation	0.328	sealbhachadh
disposed	anticipation	0.320	air an riarachadh
scrutinize	anticipation	0.320	sgrùdadh
immature	anticipation	0.320	neo-aibidh
mediator	anticipation	0.320	eadar-mheadhonair
regularity	anticipation	0.320	riaghailteachd
cove	anticipation	0.320	caolas
infanticide	anticipation	0.320	leanabaidh
paddle	anticipation	0.320	pleadhag
heft	anticipation	0.320	heft
fancy	anticipation	0.320	fìnealta
preservative	anticipation	0.320	gleidhidh
unpublished	anticipation	0.312	neo-fhoillsichte
church	anticipation	0.312	eaglais
bugle	anticipation	0.312	bugle
grim	anticipation	0.312	gruamach
denying	anticipation	0.312	a' diùltadh
analyst	anticipation	0.312	anailisiche
judicial	anticipation	0.305	breitheanais
priesthood	anticipation	0.305	sagartachd
broadside	anticipation	0.305	taobh leathann
mill	anticipation	0.305	muileann
dismay	anticipation	0.297	diombach
cap	anticipation	0.297	ceap
thermocouple	anticipation	0.297	thermocouple
tributary	anticipation	0.297	leas-abhainn
instructor	anticipation	0.297	oide
exhaustion	anticipation	0.297	sgìths
saliva	anticipation	0.297	seile
cataract	anticipation	0.289	cataract
network	anticipation	0.289	lìonra
visor	anticipation	0.289	visor
shackle	anticipation	0.289	geimhlean
wont	anticipation	0.289	cha bhi
addresses	anticipation	0.289	seòlaidhean
discreet	anticipation	0.289	faicilleach
noncompliance	anticipation	0.289	neo-ghèilleadh
bruise	anticipation	0.289	bruis
homeless	anticipation	0.289	gun dachaigh
astronomer	anticipation	0.281	speuradair
skewed	anticipation	0.281	sgith
neighbor	anticipation	0.281	nàbaidh
holiness	anticipation	0.273	naomhachd
devil	anticipation	0.273	diabhal
picket	anticipation	0.273	piocaid
sentence	anticipation	0.273	binn
latent	anticipation	0.273	falaichte
cream	anticipation	0.273	uachdar
immaturity	anticipation	0.273	neo-sheasmhachd
habitual	anticipation	0.266	a ghnàth
morals	anticipation	0.266	moraltachd
neighborhood	anticipation	0.266	nàbachd
lull	anticipation	0.266	tàladh
bye	anticipation	0.258	beannachd leat
weight	anticipation	0.258	cuideam
organ	anticipation	0.250	organ
clown	anticipation	0.250	clown
forearm	anticipation	0.250	forearm
commonplace	anticipation	0.242	cumanta
quote	anticipation	0.242	luaidh
rail	anticipation	0.234	rèile
dictatorship	anticipation	0.234	deachdaireachd
treadmill	anticipation	0.234	crann-treabhaidh
board	anticipation	0.234	bòrd
tree	anticipation	0.227	craobh
sundial	anticipation	0.227	glaodh-grèine
paralysis	anticipation	0.211	pairilis
cement	anticipation	0.203	saimeant
worm	anticipation	0.203	cnuimh
organization	anticipation	0.203	buidheann
lagging	anticipation	0.180	lagachadh
neutral	anticipation	0.148	neodrach
cannibalism	disgust	0.953	canabalachas
mutilation	disgust	0.930	milleadh
molestation	disgust	0.914	buaireadh
incest	disgust	0.914	incest
rape	disgust	0.906	èigneachadh
gonorrhea	disgust	0.906	gonorrhea
cannibal	disgust	0.898	canabal
rot	disgust	0.891	grodadh
corpse	disgust	0.883	corp
massacre	disgust	0.883	murt
excrement	disgust	0.883	slugadh
barf	disgust	0.875	barf
slaughter	disgust	0.875	marbhadh
slaughterhouse	disgust	0.867	taigh-spadaidh
incestuous	disgust	0.859	incestuous
sewerage	disgust	0.859	òtrachas
filth	disgust	0.859	salachar
bigot	disgust	0.859	bigot
rancid	disgust	0.859	ranc
infestation	disgust	0.852	plàigh
plague	disgust	0.852	plàigh
holocaust	disgust	0.852	holocaust
bloodthirsty	disgust	0.852	am pathadh
rotting	disgust	0.844	grodadh
fecal	disgust	0.844	fecal
maggot	disgust	0.844	maggot
feces	disgust	0.844	feces
murder	disgust	0.839	murt
asshole	disgust	0.836	asshole
homicide	disgust	0.836	fèin-mharbhadh
enslaved	disgust	0.836	tràilleil
infanticide	disgust	0.836	leanabaidh
perverted	disgust	0.828	shaobhadh
excretion	disgust	0.828	excretion
gore	disgust	0.828	goir
slaughtering	disgust	0.828	marbhadh
torture	disgust	0.828	chràdh
contaminate	disgust	0.821	truailleadh
revolting	disgust	0.820	ar-a-mach
gory	disgust	0.820	gorach
shit	disgust	0.820	shit
terrorist	disgust	0.820	ceannairceach
murderer	disgust	0.820	mortair
repugnant	disgust	0.820	diombach
manure	disgust	0.820	todhar
pervert	disgust	0.820	sparradh
diarrhoea	disgust	0.820	buinneach
grotesque	disgust	0.820	grotesque
desecration	disgust	0.820	sgrios
faeces	disgust	0.812	sàthadh
slavery	disgust	0.812	tràilleachd
sewer	disgust	0.812	sàibhear
cadaver	disgust	0.812	cadaver
manslaughter	disgust	0.812	fear-marbhadh
dismemberment	disgust	0.812	di-chuimhneachadh
vomit	disgust	0.812	cuir a-mach
perverse	disgust	0.805	claon
repulsive	disgust	0.805	repulsive
hemorrhage	disgust	0.805	hemorrhage
sewage	disgust	0.797	òtrachas
filthy	disgust	0.797	salach
diseased	disgust	0.797	tinn
depravity	disgust	0.797	truaillidheachd
carcass	disgust	0.795	closach
decompose	disgust	0.789	lobhadh
gruesome	disgust	0.789	gruamach
mutilated	disgust	0.789	air a mhilleadh
puke	disgust	0.789	puc
herpes	disgust	0.789	herpes
decayed	disgust	0.789	crìonadh
dung	disgust	0.789	feuraich
vermin	disgust	0.789	meanbh-bhiastagan
murderous	disgust	0.789	murrach
parasite	disgust	0.789	dìosganach
horrific	disgust	0.789	oillteil
carnage	disgust	0.781	feòil-itheach
malaria	disgust	0.781	malaria
slime	disgust	0.781	slime
flatulence	disgust	0.781	flatulence
pestilence	disgust	0.781	plàigh
crap	disgust	0.781	crap
monstrosity	disgust	0.781	uilebheist
loathsome	disgust	0.773	gràineil
toxic	disgust	0.773	puinnseanta
morgue	disgust	0.773	morgue
pus	disgust	0.773	pus
herpesvirus	disgust	0.773	herpesvirus
leprosy	disgust	0.773	luibhre
insidious	disgust	0.773	maslach
cruel	disgust	0.766	cruadalach
regurgitation	disgust	0.766	ath-bheothachadh
anthrax	disgust	0.766	antrax
xenophobia	disgust	0.766	seinephobia
repugnance	disgust	0.766	dìoghaltas
lynch	disgust	0.766	lus
revulsion	disgust	0.766	reultachadh
whore	disgust	0.766	striopach
dissection	disgust	0.759	sgaradh
mucous	disgust	0.758	mucous
canker	disgust	0.758	cancar
slum	disgust	0.758	slum
infectious	disgust	0.758	gabhaltach
evil	disgust	0.758	olc
phlegm	disgust	0.758	phlegm
cruelty	disgust	0.758	cruadal
perversion	disgust	0.758	buaireadh
sinister	disgust	0.750	sinistreil
leeches	disgust	0.750	leeches
corrupting	disgust	0.750	truaillidh
decomposition	disgust	0.750	lobhadh
abomination	disgust	0.742	gràineileachd
stinking	disgust	0.742	a' cnagadh
bile	disgust	0.742	bile
demonic	disgust	0.742	deamhan
deranged	disgust	0.742	deranged
abhorrence	disgust	0.742	gràinealachd
soiled	disgust	0.742	salach
mucus	disgust	0.742	mucus
septic	disgust	0.742	septic
sickening	disgust	0.742	tinn
demon	disgust	0.742	deamhan
cancer	disgust	0.734	aillse
obese	disgust	0.734	reamhar
degeneracy	disgust	0.734	diadhachd
despicable	disgust	0.734	suarach
atrocity	disgust	0.734	buaireadh
foul	disgust	0.734	meallta
sicken	disgust	0.734	tinn
crucifixion	disgust	0.734	ceusadh
terrorism	disgust	0.734	ceannairc
repulsion	disgust	0.727	ath-bhualadh
morbidity	disgust	0.727	morbachd
dysentery	disgust	0.727	dysentery
enema	disgust	0.727	nàmhaid
bacterium	disgust	0.727	bacterium
dirty	disgust	0.727	salach
adultery	disgust	0.727	adhaltranas
contamination	disgust	0.727	truailleadh
grisly	disgust	0.727	grannda
diabolical	disgust	0.727	diabolach
autopsy	disgust	0.719	autopsy
barbaric	disgust	0.719	barbarach
vulgar	disgust	0.719	luaineach
entrails	disgust	0.719	steach
disgust	disgust	0.719	tàmailt
lewd	disgust	0.719	lag
muck	disgust	0.719	muic
bowels	disgust	0.719	uchd
garbage	disgust	0.719	sgudal
deterioration	disgust	0.719	crìonadh
contagion	disgust	0.719	contagion
vicious	disgust	0.719	borb
disfigured	disgust	0.719	mì-dhealbhaichte
pungent	disgust	0.719	sgiobalta
gross	disgust	0.719	gruamach
bloodshed	disgust	0.714	dòrtadh fala
gag	disgust	0.711	goga
pollute	disgust	0.711	truaillidh
nausea	disgust	0.711	nausea
tyrant	disgust	0.711	tyrant
wretched	disgust	0.711	truagh
mortification	disgust	0.711	marbhadh
violent	disgust	0.711	fòirneartach
poisoned	disgust	0.711	air a phuinnseanachadh
nauseate	disgust	0.703	nauseate
slimy	disgust	0.703	sleamhainn
grope	disgust	0.703	grope
slut	disgust	0.703	slut
nasty	disgust	0.703	neonach
disgusting	disgust	0.703	sgreamhail
depraved	disgust	0.703	truagh
porn	disgust	0.703	porn
hateful	disgust	0.703	gràineil
vulgarity	disgust	0.703	luaineachd
noxious	disgust	0.703	nimheil
grime	disgust	0.703	gruaim
constipation	disgust	0.703	constipation
secretion	disgust	0.703	dìomhaireachd
poisoning	disgust	0.703	puinnseanachadh
despotism	disgust	0.703	eas-umhlachd
measles	disgust	0.696	a' ghriùthlach
contagious	disgust	0.695	gabhaltach
obesity	disgust	0.695	reamhrachd
wart	disgust	0.695	wart
hate	disgust	0.695	fuath
hellish	disgust	0.695	ifrinn
scum	disgust	0.695	sgail
suicidal	disgust	0.695	fèin-mharbhadh
wretch	disgust	0.695	truagh
abuse	disgust	0.695	mì-ghnàthachadh
waste	disgust	0.695	sgudal
intestinal	disgust	0.695	dìomhain
heartworm	disgust	0.688	cràdh-cridhe
ooze	disgust	0.688	uisg
treason	disgust	0.688	brathadh
contaminated	disgust	0.688	air a thruailleadh
smut	disgust	0.688	smut
disease	disgust	0.688	galair
rabid	disgust	0.688	rabaid
deformed	disgust	0.680	deformed
hell	disgust	0.680	ifrinn
soulless	disgust	0.680	gun anam
cholera	disgust	0.680	cholera
bestial	disgust	0.680	bàigheil
antichrist	disgust	0.680	frith-chrìosd
freakish	disgust	0.680	freakish
germ	disgust	0.680	germ
detest	disgust	0.680	gràin
pollution	disgust	0.680	truaillidheachd
grimy	disgust	0.680	gruamach
abhorrent	disgust	0.680	gràineil
hatred	disgust	0.680	fuath
abominate	disgust	0.680	gràineil
sickness	disgust	0.680	tinneas
hideous	disgust	0.672	seargta
dictatorship	disgust	0.672	deachdaireachd
loathful	disgust	0.672	gràineil
greasy	disgust	0.672	reasgach
dilapidated	disgust	0.672	briste
inhuman	disgust	0.672	mi-dhaonna
loathing	disgust	0.672	gràin
obscene	disgust	0.672	maslach
cess	disgust	0.670	sguir
devil	disgust	0.664	diabhal
deformity	disgust	0.664	deformity
nauseous	disgust	0.664	suarach
deadly	disgust	0.664	marbhtach
swine	disgust	0.664	muc
discrimination	disgust	0.664	leth-bhreith
abominable	disgust	0.664	gràineil
masochism	disgust	0.664	masochism
heretic	disgust	0.664	heretic
latrines	disgust	0.656	taighean-beaga
corruption	disgust	0.656	coirbeachd
poisonous	disgust	0.656	puinnseanta
horror	disgust	0.656	uamhas
nefarious	disgust	0.656	nimhneach
bacteria	disgust	0.656	bacteria
horrible	disgust	0.656	uamhasach
trash	disgust	0.656	sgudal
abortion	disgust	0.656	casg-breith
death	disgust	0.656	bàs
prejudiced	disgust	0.656	claon-bhreith
poison	disgust	0.656	puinnsean
oppression	disgust	0.656	leatrom
goo	disgust	0.656	gù
victimized	disgust	0.656	fhulang
mange	disgust	0.656	mange
sludge	disgust	0.648	sloda
trashy	disgust	0.648	sgudal
vindictive	disgust	0.648	dìoghaltas
horrid	disgust	0.648	eagallach
ugly	disgust	0.648	grànda
immoral	disgust	0.648	mì-mhoralta
bitch	disgust	0.648	galla
outhouse	disgust	0.648	taigh a-muigh
detestation	disgust	0.648	buaireadh
horrifying	disgust	0.641	uamhasach
laxative	disgust	0.641	laxative
unsightly	disgust	0.641	mì-shoilleir
derogatory	disgust	0.641	mi-mhisneachail
slop	disgust	0.641	slop
malfeasance	disgust	0.641	mì-ghnàthachadh
spew	disgust	0.641	spùt
pimple	disgust	0.641	pimple
criminality	disgust	0.641	eucoireach
indecency	disgust	0.641	neo-thruaillidheachd
cystic	disgust	0.641	cisteach
villainous	disgust	0.641	borb
queasy	disgust	0.633	sgith
mildew	disgust	0.633	bleoghan
oppressive	disgust	0.633	leatromach
prostitution	disgust	0.633	siùrsachd
secrete	disgust	0.633	dìomhair
ulcer	disgust	0.633	ulcer
rat	disgust	0.633	radan
bigoted	disgust	0.633	mòr
perpetrator	disgust	0.633	neach a rinn eucoir
doomsday	disgust	0.633	latha domh
sinful	disgust	0.633	peacach
degrading	disgust	0.625	truaillidh
ghastly	disgust	0.625	gu gruamach
suffering	disgust	0.625	fulangas
obscenity	disgust	0.625	drabastachd
devilish	disgust	0.625	diabhal
disgraceful	disgust	0.625	tàmailteach
persecution	disgust	0.625	geur-leanmhuinn
contemptible	disgust	0.625	tàireil
cuckold	disgust	0.625	cuthaig
stools	disgust	0.625	stòl
dastardly	disgust	0.625	gu suarach
sin	disgust	0.625	pheacadh
gluttony	disgust	0.625	gliocais
bloated	disgust	0.625	blath
fungus	disgust	0.625	fungas
aghast	disgust	0.625	dòrainn
diaper	disgust	0.617	diabhlaid
malicious	disgust	0.617	droch-rùnach
polygamy	disgust	0.617	polygamy
dying	disgust	0.617	a' bàsachadh
termite	disgust	0.617	teirmite
fat	disgust	0.617	geir
deceit	disgust	0.617	mealladh
atrocious	disgust	0.617	eagallach
guillotine	disgust	0.617	guillotine
tetanus	disgust	0.617	glas-dheud
spoil	disgust	0.617	milleadh
crusty	disgust	0.617	crùbach
sickly	disgust	0.617	gu tinn
louse	disgust	0.617	luis
strangle	disgust	0.617	tachdadh
betrayal	disgust	0.617	bhrath
loathe	disgust	0.617	gràin
wench	disgust	0.617	wench
infect	disgust	0.617	gabhaltach
violently	disgust	0.609	gu fòirneartach
brothel	disgust	0.609	brot
drool	disgust	0.609	drool
bleeding	disgust	0.609	sileadh
deform	disgust	0.609	deform
ghetto	disgust	0.609	ghetto
sabotage	disgust	0.609	sabotàis
venomous	disgust	0.609	puinnseanta
abhor	disgust	0.609	gràin
slander	disgust	0.609	gràineil
hostile	disgust	0.609	nàimhdeil
musty	disgust	0.602	feusagach
illicit	disgust	0.602	mì-laghail
ugliness	disgust	0.602	gràinealachd
unwashed	disgust	0.602	gun nighe
swampy	disgust	0.602	boglach
deprivation	disgust	0.602	easbhaidh
poaching	disgust	0.602	poidseadh
hag	disgust	0.602	cailleach
infidel	disgust	0.602	mi-chreideach
imprisonment	disgust	0.602	prìosain
traitor	disgust	0.602	neach-brathaidh
lunacy	disgust	0.602	gealtachd
queasiness	disgust	0.594	ciuineachd
