English Word	Emotion	Emotion-Intensity-Score	Sesotho Word
betrayal	disgust	0.617	ho eka
loathe	disgust	0.617	nyonya
wench	disgust	0.617	wench
infect	disgust	0.617	tšoaetsa
violently	disgust	0.609	ka mabifi
brothel	disgust	0.609	ntlo ea matekatse
drool	disgust	0.609	rothela
bleeding	disgust	0.609	ho tsoa madi
deform	disgust	0.609	holofatsa
ghetto	disgust	0.609	ghetto
sabotage	disgust	0.609	tshenyo
venomous	disgust	0.609	e chefo
abhor	disgust	0.609	nyonya
slander	disgust	0.609	ho etselletsa
hostile	disgust	0.609	bora
musty	disgust	0.602	musty
illicit	disgust	0.602	e seng molaong
ugliness	disgust	0.602	bobe
unwashed	disgust	0.602	sa hlatsuoa
swampy	disgust	0.602	mokhoabo
deprivation	disgust	0.602	tlhokeho
poaching	disgust	0.602	ho tsoma
hag	disgust	0.602	hag
infidel	disgust	0.602	motho ea sa lumeleng
imprisonment	disgust	0.602	ho koalloa chankaneng
traitor	disgust	0.602	lehlabaphio
lunacy	disgust	0.602	lehlanya
queasiness	disgust	0.594	queasiness
hostility	disgust	0.594	bora
repelling	disgust	0.594	repelling
intoxicated	disgust	0.594	tahiloe
thug	disgust	0.594	morusu
catastrophe	disgust	0.594	tlokotsi
lunatic	disgust	0.594	lehlanya
misery	disgust	0.594	mahlomola
venom	disgust	0.594	chefo
butcher	disgust	0.594	raselakha
toilet	disgust	0.594	ntloana
blister	disgust	0.594	lehlaseli
lurid	disgust	0.594	tshetlehile
slug	disgust	0.594	slug
gut	disgust	0.594	mala
sinner	disgust	0.594	moetsadibe
deceitful	disgust	0.594	thetso
epidemic	disgust	0.594	sewa
deteriorated	disgust	0.586	senyehile
lavatory	disgust	0.586	ntloana
unclean	disgust	0.586	e sa hloekang
prostitute	disgust	0.586	letekatse
incubus	disgust	0.586	incubus
appalling	disgust	0.586	e nyarosang
dreadful	disgust	0.586	e tshabehang
pornography	disgust	0.586	litšoantšo tsa bootsoa
harass	disgust	0.586	hlekefetsa
squeamish	disgust	0.578	squeamish
expulsion	disgust	0.578	ho tebeloa
unfaithful	disgust	0.578	ea sa tšepahaleng
offensive	disgust	0.578	khopisa
hypocrite	disgust	0.578	moikaketsi
humiliating	disgust	0.578	hlabisang lihlong
larceny	disgust	0.578	bosholu
ruinous	disgust	0.578	tshenyeho
retard	disgust	0.578	retard
rash	disgust	0.578	lekgopho
flea	disgust	0.578	letsetse
debauchery	disgust	0.578	bohlola
fiend	disgust	0.578	fiend
quagmire	disgust	0.578	quagmire
conspirator	disgust	0.578	moferefere
sick	disgust	0.578	kula
mangle	disgust	0.578	mangle
dogsick	disgust	0.570	dogsick
egregious	disgust	0.570	e kgolo
flog	disgust	0.570	otla
despise	disgust	0.570	nyelisa
treacherous	disgust	0.570	bolotsana
oppress	disgust	0.570	hatella
swamp	disgust	0.570	mokhoabo
messy	disgust	0.570	bohlasoa
spit	disgust	0.570	tshwela ka mathe
dank	disgust	0.570	dank
bastard	disgust	0.570	Bastat
devastating	disgust	0.570	senyang
serpent	disgust	0.570	noha
loo	disgust	0.562	loo
indecent	disgust	0.562	e hlokang tlhompho
insanity	disgust	0.562	bohlanya
stealing	disgust	0.562	ho utsoa
terrible	disgust	0.562	tshabeha
tyrannical	disgust	0.562	mohatelli
humiliation	disgust	0.562	tlontlollo
snake	disgust	0.562	noha
sloppy	disgust	0.562	bohlasoa
sinning	disgust	0.562	ho etsa sebe
harmful	disgust	0.562	kotsi
harlot	disgust	0.562	seotsoa
sordid	disgust	0.562	sordid
enemy	disgust	0.562	sera
alcoholism	disgust	0.562	bokhoba ba tahi
awful	disgust	0.562	tšabeha
ruthless	disgust	0.562	e hlokang mohau
scoundrel	disgust	0.562	molotsana
bloody	disgust	0.555	madi
flabby	disgust	0.555	flabby
odious	disgust	0.555	e nyonyehang
beastly	disgust	0.555	ka bobatana
collusion	disgust	0.555	kopanelo
ridicule	disgust	0.555	tshotlo
discriminating	disgust	0.555	kgetholla
unattractive	disgust	0.555	e sa kgahleheng
insufferable	disgust	0.555	e hlokang thuso
segregate	disgust	0.555	arola
arsenic	disgust	0.555	arsenic
threatening	disgust	0.555	tshosetsang
atrophy	disgust	0.555	lefu la ho fokola
varicella	disgust	0.555	varisela
slayer	disgust	0.555	mmolai
distaste	disgust	0.555	nyatsiso
coward	disgust	0.555	lekoala
robbery	disgust	0.555	tlatlapo
wickedness	disgust	0.555	bokgopo
anathema	disgust	0.547	anathema
malevolent	disgust	0.547	malevolent
sty	disgust	0.547	sty
pillage	disgust	0.547	tlatlapa
thief	disgust	0.547	leshodu
suffocating	disgust	0.547	ho bipetsane
condemnation	disgust	0.547	nyatso
deleterious	disgust	0.547	derious
slur	disgust	0.547	nyenyefatsa
purgatory	disgust	0.547	pelekatori
attacking	disgust	0.547	hlasela
burglar	disgust	0.547	lesholu
ogre	disgust	0.547	ogre
coercion	disgust	0.547	qobello
vesicular	disgust	0.547	vesicular
miserable	disgust	0.547	mahlomoleng
bitterly	disgust	0.547	babang
sneer	disgust	0.539	soma
greedy	disgust	0.539	meharo
gob	disgust	0.539	gob
repellant	disgust	0.539	repellants
jealous	disgust	0.539	mohono
drunken	disgust	0.539	tahiloe
shame	disgust	0.539	lihlong
thrash	disgust	0.539	thrash
fatty	disgust	0.539	mafura
liar	disgust	0.539	ya leshano
imprisoned	disgust	0.539	koaletsoe
sloth	disgust	0.539	sloth
repudiation	disgust	0.539	ho hana
disgrace	disgust	0.539	tlontlollo
infidelity	disgust	0.539	ho hloka botshepehi
pig	disgust	0.539	kolobe
lethal	disgust	0.536	bolaeang
burnt	disgust	0.531	chesoa
brawl	disgust	0.531	robotsa
withered	disgust	0.531	ponnetse
blemish	disgust	0.531	sekodi
hydrocephalus	disgust	0.531	lefu la hydrocephalus
aberration	disgust	0.531	aberration
smuggler	disgust	0.531	mokgopi
painful	disgust	0.531	bohloko
condescension	disgust	0.531	nyenyefatso
intolerant	disgust	0.531	e hlokang mamello
blasphemous	disgust	0.531	nyefolo
lying	disgust	0.531	leshano
hanging	disgust	0.531	leketla
travesty	disgust	0.531	bosholu
ruined	disgust	0.531	senyehile
intrusive	disgust	0.531	e kgenneng
disintegrate	disgust	0.531	qhalanya
destructive	disgust	0.531	senyang
neurotic	disgust	0.531	methapo ea kutlo
disparaging	disgust	0.523	nyenyefatsa
blighted	disgust	0.523	blighted
intolerance	disgust	0.523	ho hloka mamello
mistress	disgust	0.523	mofumahadi
avarice	disgust	0.523	arice
disgraced	disgust	0.523	hlabisitsoe
derogation	disgust	0.523	nyenyefatso
rubbish	disgust	0.523	matlakala
accusation	disgust	0.523	qoso
incarceration	disgust	0.523	ho koalla
tortious	disgust	0.516	tortious
dishonor	disgust	0.516	tlontlollo
stink	disgust	0.516	monko o mobe
grim	disgust	0.516	e nyarosang
rob	disgust	0.516	tlatlapa
defraud	disgust	0.516	thetso
sump	disgust	0.516	sump
cringe	disgust	0.516	qhekella
vulture	disgust	0.516	lenong
deplorable	disgust	0.516	nyatsehang
mite	disgust	0.516	mite
eradication	disgust	0.516	phediso
degrade	disgust	0.516	nyenyefatsa
gutter	disgust	0.516	sekoti
convict	disgust	0.516	moahlodi
remains	disgust	0.516	masalla
betray	disgust	0.516	eka
daemon	disgust	0.516	daemon
sham	disgust	0.509	sham
distasteful	disgust	0.508	manyala
prisoner	disgust	0.508	motshwaruwa
dreadfully	disgust	0.508	ka tsela e tshabehang
worthless	disgust	0.508	e hlokang thuso
crude	disgust	0.508	bohlasoa
delirium	disgust	0.508	delirium
incurable	disgust	0.508	e sa phekoleheng
smelling	disgust	0.508	monko
idiocy	disgust	0.508	bohlanya
resentment	disgust	0.508	khalefo
bombed	disgust	0.508	qhoqhoa
blob	disgust	0.508	hlaba
cheat	disgust	0.508	qhekella
schizophrenia	disgust	0.508	schizophrenia
rejection	disgust	0.508	ho hana
belittle	disgust	0.508	nyenyefatsa
glut	disgust	0.508	glut
disaster	disgust	0.508	tlokotsi
distress	disgust	0.508	mahlomola
pest	disgust	0.508	sesenyi
endemic	disgust	0.508	endemic
theft	disgust	0.500	boshodu
banish	disgust	0.500	leleka
mire	disgust	0.500	leretse
flagrant	disgust	0.500	flagrant
derision	disgust	0.500	tshotlo
dirt	disgust	0.500	ditshila
screaming	disgust	0.500	ho hoeletsa
offense	disgust	0.500	khopiso
jealousy	disgust	0.500	poulelo
bribery	disgust	0.500	tjotjo
polemic	disgust	0.500	phokotseho
blight	disgust	0.500	blight
impeach	disgust	0.500	impeach
bitterness	disgust	0.500	babang
taboo	disgust	0.500	tabo
duress	disgust	0.500	kgatello
goblin	disgust	0.500	goblin
shackle	disgust	0.500	shackle
idolatry	disgust	0.500	borapeli ba litšoantšo
greed	disgust	0.500	meharo
impurity	disgust	0.500	litšila
tirade	disgust	0.500	tirade
idiot	disgust	0.492	sethoto
boil	disgust	0.492	bela
unconscionable	disgust	0.492	e hlokang kelello
disreputable	disgust	0.492	ya nyatsehang
robber	disgust	0.492	senokoane
malign	disgust	0.492	senya
wreck	disgust	0.492	senya
recession	disgust	0.492	ho putlama ha moruo
gorge	disgust	0.492	khoroana
leer	disgust	0.492	leer
ill	disgust	0.492	kula
squirm	disgust	0.492	squirm
raging	disgust	0.484	khalefo
servile	disgust	0.484	sebeletsa
mess	disgust	0.484	bohlasoa
nappy	disgust	0.484	leleiri
possessed	disgust	0.484	tshoaroa
unbearable	disgust	0.484	e sa mamelleheng
occult	disgust	0.484	boloi
contraband	disgust	0.484	contraband
snarl	disgust	0.484	qhetsola
mutiny	disgust	0.484	pherekano
mad	disgust	0.484	hlanya
affliction	disgust	0.484	mahlomola
stain	disgust	0.484	letheba
animosity	disgust	0.484	bora
contempt	disgust	0.484	nyeliso
tramp	disgust	0.484	tramp
nepotism	disgust	0.484	nepotism
disrespectful	disgust	0.484	e hlokang tlhompho
defamation	disgust	0.484	nyeliso
inexcusable	disgust	0.484	e hlokang boikemelo
aversation	disgust	0.484	phephetso
wasteful	disgust	0.484	tshenyeho
offender	disgust	0.484	mofosi
subjugation	disgust	0.484	ho kokobetsa
illegality	disgust	0.477	ho se molaong
dismal	disgust	0.477	nyatsehile
criminal	disgust	0.477	senokoane
unpleasant	disgust	0.477	sa thabiseng
palsy	disgust	0.477	lefu la sethoathoa
antagonistic	disgust	0.477	mohanyetsi
pathetic	disgust	0.477	pelo e bohloko
uncaring	disgust	0.477	sa tsotelleng
suppression	disgust	0.477	khatello
immorality	disgust	0.477	boitšoaro bo bobe
mockery	disgust	0.477	tshotlo
outrage	disgust	0.469	khalefo
mocking	disgust	0.469	tshotlo
wallow	disgust	0.469	letsetsa
cough	disgust	0.469	khohlela
arrogant	disgust	0.469	boikakaso
angry	disgust	0.469	bohale
poverty	disgust	0.469	bofutsana
grating	disgust	0.469	grating
livid	disgust	0.469	hlasimolohile
aggravation	disgust	0.469	aggravation
repellent	disgust	0.469	e lelekang
perspiration	disgust	0.469	mofufutso
banishment	disgust	0.469	ho lelekoa
furious	disgust	0.469	bohale
shoddy	disgust	0.469	shoddy
banshee	disgust	0.469	banshee
deceive	disgust	0.461	thetsa
fool	disgust	0.461	sethoto
quack	disgust	0.461	quack
distorted	disgust	0.461	sothile
spider	disgust	0.461	sekho
unjustifiable	disgust	0.461	e sa lokang
deplore	disgust	0.461	hlompholla
spurious	disgust	0.461	tsietsi
perdition	disgust	0.461	tahleho
muddy	disgust	0.461	seretse
fraudulent	disgust	0.461	bomenemene
scar	disgust	0.461	leqeba
prick	disgust	0.461	hlaba
insulting	disgust	0.461	rohaka
plunder	disgust	0.461	tlatlapa
recklessness	disgust	0.461	bohlasoa
stigma	disgust	0.453	sekhobo
disparage	disgust	0.453	nyelisa
unthinkable	disgust	0.453	e sa utloahaleng
disingenuous	disgust	0.453	sa tsebeng
bane	disgust	0.453	bane
dishonest	disgust	0.453	ho se tšepahale
aphid	disgust	0.453	hoaba
elimination	disgust	0.453	phediso
cur	disgust	0.453	khiritsa
selfish	disgust	0.453	boikhabi
eschew	disgust	0.453	eschew
dire	disgust	0.453	thothomela
indignation	disgust	0.453	khalefo
antipathy	disgust	0.453	ho hanyetsa
alienate	disgust	0.453	aliennate
mosquito	disgust	0.445	monoang
piles	disgust	0.445	qubu
pious	disgust	0.445	moitshepi
lie	disgust	0.445	leshano
opium	disgust	0.445	opium
smell	disgust	0.445	monko
iniquity	disgust	0.445	bokgopo
caries	disgust	0.445	caries
despair	disgust	0.445	tsieleha
recalcitrant	disgust	0.445	recalcitrant
egotistical	disgust	0.445	boikgohomoso
wasted	disgust	0.445	senyehile
vacuous	disgust	0.445	se nang letho
bankruptcy	disgust	0.445	ho putlama
garish	disgust	0.445	qabola
obnoxious	disgust	0.438	e nyonyehang
ashamed	disgust	0.438	lihlong
abject	disgust	0.438	nyatsehang
sticky	disgust	0.438	khoreletsa
scream	disgust	0.438	hoeletsa
hopelessness	disgust	0.438	ho hloka tshepo
homeless	disgust	0.438	hlokang bolulo
shun	disgust	0.438	nyahame
inmate	disgust	0.438	motšoaruoa
alien	disgust	0.438	mojaki
hog	disgust	0.438	kolobe
aversion	disgust	0.438	tjantjello
abnormal	disgust	0.438	e sa tloaelehang
cursing	disgust	0.430	rohaka
undesirable	disgust	0.430	e sa rateheng
denounce	disgust	0.430	nyatsa
witch	disgust	0.430	moloi
creature	disgust	0.430	sebupuoa
lusty	disgust	0.430	takatso e matla
illegal	disgust	0.430	e seng molaong
debris	disgust	0.430	litšila
callous	disgust	0.430	botsoa
reflux	disgust	0.430	reflux
adverse	disgust	0.430	e mpe
shameless	disgust	0.430	e hlokang dihlong
separatist	disgust	0.430	motho ya arolang
trickery	disgust	0.430	qhekella
falsity	disgust	0.430	leshano
pall	disgust	0.430	qepha
defiance	disgust	0.430	defiance
incredulous	disgust	0.430	e sa kholoeng
curse	disgust	0.430	rohaka
pompous	disgust	0.422	boikgohomoso
socialist	disgust	0.422	rasososhiale
mistrust	disgust	0.422	ho se tshepe
infantile	disgust	0.422	lesea
wasting	disgust	0.422	ho senya
hairy	disgust	0.422	moriri
nicotine	disgust	0.422	nikotine
denunciation	disgust	0.422	nyatso
collapse	disgust	0.422	putlama
untidy	disgust	0.422	bohlasoa
ferocious	disgust	0.422	bohale
ammonia	disgust	0.422	ammonia
carelessness	disgust	0.422	bohlasoa
impure	disgust	0.422	sa hloeka
contentious	disgust	0.422	qabang
bum	disgust	0.422	bum
affront	disgust	0.422	nyefola
offend	disgust	0.422	khopisa
tarnish	disgust	0.422	senya
idiotic	disgust	0.422	sethoto
badness	disgust	0.422	bobe
delinquent	disgust	0.422	mofokoli
swarm	disgust	0.422	mokgoahlapi
hypertrophy	disgust	0.422	hypertrophy
gush	disgust	0.422	qhoma
tasteless	disgust	0.422	e hlokang tatso
bovine	disgust	0.422	phoofolo ea likhomo
slush	disgust	0.422	slush
litigious	disgust	0.414	qoso
dishonesty	disgust	0.414	ho se tšepahale
vegetative	disgust	0.414	limela
unfavorable	disgust	0.414	sa rateheng
displacency	disgust	0.414	displacency
illegitimate	disgust	0.414	e seng molaong
sour	disgust	0.414	bolila
socialism	disgust	0.414	socialism
disobey	disgust	0.414	ho se mamele
drivel	disgust	0.414	drivel
vampire	disgust	0.414	vampire
neglected	disgust	0.414	hlokomolohiloe
murky	disgust	0.414	bohlasoa
ignorant	disgust	0.406	hlokang tsebo
disgruntled	disgust	0.406	nyahamehile
discontinuity	disgust	0.406	ho kgaotsa
dislike	disgust	0.406	ho se rate
unlawful	disgust	0.406	e seng molaong
wrongdoing	disgust	0.406	phoso
shoplifting	disgust	0.406	bosholu ba mabenkeleng
recidivism	disgust	0.406	recidivism
outcast	disgust	0.406	lahletsoe
bogus	disgust	0.406	boikaketsi
displeasure	disgust	0.406	ho se thabele
repel	disgust	0.406	tebela
falsify	disgust	0.406	thetsa
ungrateful	disgust	0.406	ya hlokang teboho
unkind	disgust	0.406	e hlokang mosa
phony	disgust	0.406	phony
prosecution	disgust	0.406	qoso
woe	disgust	0.398	bomalimabe
averse	disgust	0.398	khoahlapisitse
loon	disgust	0.398	loone
worsening	disgust	0.398	ho mpefala
paucity	disgust	0.398	bohloki
unnatural	disgust	0.398	e seng tlhaho
amphetamines	disgust	0.398	li-amphetamine
senseless	disgust	0.398	ya hlokang kelello
rigor	disgust	0.398	ka thata
subvert	disgust	0.398	heletsa
failure	disgust	0.398	ho hloleha
lick	disgust	0.398	nyeka
unruly	disgust	0.398	sa laoleheng
woefully	disgust	0.398	ka bomalimabe
stingy	disgust	0.398	hlabang
crushing	disgust	0.398	ho thuba
disdain	disgust	0.398	nyeliso
insult	disgust	0.393	nyefolo
averseness	disgust	0.391	ho hlonama
disrelish	disgust	0.391	disrelish
punished	disgust	0.391	kotloetsoe
critter	disgust	0.391	mohlahlobisisi
damage	disgust	0.391	tshenyo
scorpion	disgust	0.391	phepheng
diatribe	disgust	0.391	diatribe
muff	disgust	0.391	mofu
farcical	disgust	0.391	sekgoahlapi
antisocial	disgust	0.391	kgahlanong le setjhaba
hardened	disgust	0.391	thatafatsoa
punishment	disgust	0.391	kotlo
bad	disgust	0.391	mpe
expel	disgust	0.391	tebela
surly	disgust	0.383	surly
lament	disgust	0.383	lla
illiterate	disgust	0.383	ya sa rutehang
divorce	disgust	0.383	tlhalo
teeming	disgust	0.383	e tletseng
plagiarism	disgust	0.383	bosholu
eviction	disgust	0.383	ho lelekoa
orc	disgust	0.383	kapa
disappoint	disgust	0.383	soabisa
shabby	disgust	0.383	bohlasoa
presumptuous	disgust	0.383	boikgodiso
anaconda	disgust	0.383	anaconda
discord	disgust	0.383	pherekano
guilt	disgust	0.383	molato
fugitive	disgust	0.383	mophaphathehi
irrational	disgust	0.383	e hlokang kelello
adder	disgust	0.383	adder
fulsome	disgust	0.383	fulsome
sacrifices	disgust	0.383	mahlabelo
hypocritical	disgust	0.383	boikaketsi
shock	disgust	0.375	tshoso
alienation	disgust	0.375	bojaki
scoff	disgust	0.375	soma
plight	disgust	0.375	tsietsi
irritation	disgust	0.375	ho teneha
unworthy	disgust	0.375	sa tšoanelehe
misconduct	disgust	0.375	boitšoaro bo bobe
defective	disgust	0.375	e nang le sekodi
blame	disgust	0.375	molato
depressing	disgust	0.375	nyahamisa
dislocated	disgust	0.375	qhaqhoa
irritating	disgust	0.375	hlabang pelo
vainly	disgust	0.367	lefeela
toad	disgust	0.367	lekhoele
powerless	disgust	0.367	hloka matla
coerce	disgust	0.367	qobella
shuddering	disgust	0.367	thothomela
stripped	disgust	0.367	hlobolisoa
revoke	disgust	0.367	hlakola
wimpy	disgust	0.367	wimpy
unhealthy	disgust	0.367	e sa pheleng hantle
exclusion	disgust	0.367	ho behella ka thoko
disillusionment	disgust	0.367	ho nyahama
blatant	disgust	0.367	pepenene
hurtful	disgust	0.367	e utloisang bohloko
hoax	disgust	0.367	leqheka
wimp	disgust	0.367	hlapa
cad	disgust	0.367	kad
pitfall	disgust	0.367	leraba
squelch	disgust	0.367	qhitsa
deserted	disgust	0.359	deserted
damn	disgust	0.359	Yerrrrrrr
incompatible	disgust	0.359	sa dumellaneng
dispose	disgust	0.359	lahla
oddity	disgust	0.359	ntho e makatsang
rebellion	disgust	0.359	borabele
ineptitude	disgust	0.359	ho hloka tsebo
bug	disgust	0.359	kokoanyana
disobedience	disgust	0.359	ho se mamele
inept	disgust	0.352	inept/
litigate	disgust	0.352	tsekisana
dismissal	disgust	0.352	ho tebela
cutting	disgust	0.352	ho poma
untoward	disgust	0.352	ho isa
displeased	disgust	0.352	nyatseha
censor	disgust	0.352	censor/
ridiculous	disgust	0.352	bohlanya
compost	disgust	0.352	manyolo
frustrate	disgust	0.352	nyahamisa
misbehavior	disgust	0.352	boitsoaro bo bobe
lawyer	disgust	0.352	ramolao
crushed	disgust	0.352	petetsoe
flesh	disgust	0.352	nama
uncertain	disgust	0.352	sa tsitsang
obi	disgust	0.352	obi
flinch	disgust	0.352	fahla
fierce	disgust	0.352	bohale
wrongful	disgust	0.352	e fosahetseng
depreciate	disgust	0.344	theola boleng
disapprove	disgust	0.344	hanela
tearful	disgust	0.344	mello
grumble	disgust	0.336	korotla
unsettled	disgust	0.336	sa tsitsa
annoy	disgust	0.336	tena
exigent	disgust	0.336	exigent
heartsick	disgust	0.336	pelo e bohloko
lawsuit	disgust	0.336	qoso
discoloration	disgust	0.336	phetoho mmala
lumpy	disgust	0.336	hlapa
daft	disgust	0.336	daft
blunder	disgust	0.336	phoketso
discontent	disgust	0.336	ho se kgotsofale
bickering	disgust	0.336	qabang
thoughtless	disgust	0.336	e hlokang kelello
disliked	disgust	0.336	sa ratehe
disinclination	disgust	0.336	ho kgeloha
distrust	disgust	0.336	ho se tshepe
disallowed	disgust	0.336	hanoa
instability	disgust	0.328	ho hloka botsitso
hydrophobia	disgust	0.328	hydrophobia
whine	disgust	0.328	bokolla
inhibit	disgust	0.328	thibela
excluded	disgust	0.328	kgethile
provoking	disgust	0.328	qholotsa
grievance	disgust	0.328	tletlebo
unmanageable	disgust	0.328	sa laoleheng
sly	disgust	0.328	hlanya
exasperation	disgust	0.328	khalefo
cacophony	disgust	0.328	cacophony
unsatisfactory	disgust	0.328	e sa kgotsofatseng
disappointed	disgust	0.328	soetsehile
materialist	disgust	0.328	motho ea ratang lintho tse bonahalang
misleading	disgust	0.321	kgelosa
mishap	disgust	0.320	tsietsi
soot	disgust	0.320	soot
humbug	disgust	0.320	humbug
disclaim	disgust	0.320	nyenyefatsa
annoyance	disgust	0.320	teneha
disapproving	disgust	0.320	ho hana
disservice	disgust	0.320	ho hloka thuso
reproach	disgust	0.320	nyatso
confined	disgust	0.320	koaletsoe
unequal	disgust	0.320	sa lekana
rags	disgust	0.320	masela
groan	disgust	0.320	bobola
soil	disgust	0.312	mobu
inappropriate	disgust	0.312	e sa lokelang
criticize	disgust	0.312	nyatsa
disincline	disgust	0.312	disinline
theism	disgust	0.312	theism
depreciated	disgust	0.312	depreciated
inconsiderate	disgust	0.312	sa nahanele
overpriced	disgust	0.312	theko e feteletseng
stomach	disgust	0.312	mala
burke	disgust	0.312	burke
sneeze	disgust	0.312	thimola
gall	disgust	0.305	nyooko
bang	disgust	0.305	bang
inadmissible	disgust	0.305	e sa amoheleheng
unfriendly	disgust	0.305	hlokang botsoalle
unaccountable	disgust	0.305	e hlokang boikarabelo
disparity	disgust	0.305	ho se lekane
latent	disgust	0.305	patisitse
disliking	disgust	0.305	ho se rate
shack	disgust	0.305	mokhukhu
grumpy	disgust	0.305	hlonamehile
coop	disgust	0.304	khoho
disappointment	disgust	0.297	soabisoa
scold	disgust	0.297	khalemela
delay	disgust	0.297	lieha
congress	disgust	0.297	congress
growling	disgust	0.297	ho rora
backwards	disgust	0.297	kamorao
soreness	disgust	0.297	ho hlonama
disregarded	disgust	0.297	hlokomolohiloe
rogue	disgust	0.297	molotsana
lonely	disgust	0.297	bodutu
notoriety	disgust	0.289	botumo bo botle
catechism	disgust	0.289	katekisima
flop	disgust	0.289	phafa
infamous	disgust	0.289	e sa tumang
janitor	disgust	0.289	mohlokomedi
nettle	disgust	0.289	nettle
saturated	disgust	0.281	khorisitsoe
prohibited	disgust	0.281	thibetsoe
gaby	disgust	0.281	gaby
wince	disgust	0.281	fetsa
desist	disgust	0.281	tsitlella
unfair	disgust	0.281	e hlokang toka
aftermath	disgust	0.281	kamorao
remiss	disgust	0.281	remis
tribunal	disgust	0.273	lekhotla
discolored	disgust	0.273	tshokolohile
wrangling	disgust	0.273	qabanya
uneasy	disgust	0.273	tsielehile
huff	disgust	0.273	huff
weird	disgust	0.266	makatsa
impolite	disgust	0.266	hlokang tlhompho
swig	disgust	0.266	swig
crawl	disgust	0.266	khasa
unsatisfied	disgust	0.266	sa kgotsofala
inefficiency	disgust	0.266	ho se sebetse hantle
frantic	disgust	0.266	hlanya
bureaucrat	disgust	0.266	ofisiri
politic	disgust	0.266	lipolotiki
coldness	disgust	0.266	serame
gruff	disgust	0.258	bohlasoa
octopus	disgust	0.258	octophase
chagrin	disgust	0.258	soabisa
barrow	disgust	0.258	barrow
copycat	disgust	0.258	copycat
incase	disgust	0.258	mohlomong
rascal	disgust	0.258	rascal
sarcasm	disgust	0.258	tshotlo
instinctive	disgust	0.258	tlhaho
misconception	disgust	0.250	maikutlo a fosahetseng
disinclined	disgust	0.250	disinclined
john	disgust	0.250	john
hulk	disgust	0.250	hulk
baboon	disgust	0.250	tshwene
shanghai	disgust	0.250	Shanghai
cupping	disgust	0.250	ho kopela
lose	disgust	0.250	lahleheloa
rook	disgust	0.242	rook
entangled	disgust	0.242	qakeletsoa
gratuitous	disgust	0.242	mahalapo
scrub	disgust	0.242	hlapa
opponent	disgust	0.242	mohanyetsi
tariff	disgust	0.242	tefiso
questionable	disgust	0.234	belaetsang
prolong	disgust	0.234	lelefatsa
reluctance	disgust	0.234	lesisitheho
lagging	disgust	0.234	lagging
misstatement	disgust	0.234	phoso
resign	disgust	0.234	itokolla mosebetsing
unlucky	disgust	0.234	lehlohonolo
backwardness	disgust	0.234	ho kgutlela morao
ineffectual	disgust	0.227	e sa sebetseng
disqualified	disgust	0.227	nyatsehang
subsidy	disgust	0.227	thuso
reversal	disgust	0.227	phetoho
default	disgust	0.227	ya kamehla
fussy	disgust	0.227	pherekano
unpopular	disgust	0.227	e sa rateheng
petroleum	disgust	0.219	petroleum
intense	disgust	0.219	e matla
evade	disgust	0.219	qoba
frowning	disgust	0.219	ho sosobanya sefahleho
weight	disgust	0.219	boima
dame	disgust	0.219	ntate
donkey	disgust	0.211	esele
actionable	disgust	0.211	ka sebetsa
tawny	disgust	0.211	tawny
unhappy	disgust	0.211	sa thabang
dandy	disgust	0.203	monate
birch	disgust	0.203	birch
speck	disgust	0.203	letheba
hood	disgust	0.203	sekoahelo
owing	disgust	0.203	molato
desert	disgust	0.203	lehoatata
indifference	disgust	0.203	ho se tsotelle
awkwardness	disgust	0.203	bohlasoa
rave	disgust	0.203	rorisa
gnome	disgust	0.203	gnome
inconvenient	disgust	0.203	bososa
howl	disgust	0.195	bokolla
dabbling	disgust	0.195	tjantjello
morals	disgust	0.195	boitšoaro
misguided	disgust	0.195	khelohile
airs	disgust	0.195	moea
gelatin	disgust	0.195	gelatin
fleece	disgust	0.195	boea bo boea
monochrome	disgust	0.195	monochrome
lush	disgust	0.188	tlokomang
celebrity	disgust	0.188	motho ea tummeng
avoid	disgust	0.188	qoba
gent	disgust	0.188	gent/
stalemate	disgust	0.188	stalemate
lesser	disgust	0.188	e nyane
sunk	disgust	0.180	tebile
nose	disgust	0.180	nko
laughable	disgust	0.180	tshehang
claimant	disgust	0.180	moqosi
possession	disgust	0.180	leruo
larger	disgust	0.164	kholoanyane
pregnancy	disgust	0.164	boimana
thrift	disgust	0.164	tjantjello
undoubted	disgust	0.164	ntle le pelaelo
mouthful	disgust	0.164	molomo
hoot	disgust	0.164	hoot
sentence	disgust	0.156	polelo
misplace	disgust	0.156	sebaka se fosahetseng
clamor	disgust	0.156	lerata
parrot	disgust	0.156	parrot
obliging	disgust	0.156	tlamehile
nameless	disgust	0.148	e se nang lebitso
bummer	disgust	0.148	bummer
elf	disgust	0.141	elf
feeling	disgust	0.141	maikutlo
excellence	disgust	0.141	bokgabane
gray	disgust	0.133	bohlooho
asymmetry	disgust	0.133	asymmetry
turn	disgust	0.133	reteleha
clumsy	disgust	0.133	bohlasoa
stall	disgust	0.133	sekisetsa
bran	disgust	0.125	bran
finally	disgust	0.125	qetellong
lord	disgust	0.125	morena
nurture	disgust	0.117	hodisa
savor	disgust	0.117	monko
cove	disgust	0.117	koebetsa
winning	disgust	0.109	ho hlola
lemon	disgust	0.109	sirilamunu
powerful	disgust	0.102	e matla
glitter	disgust	0.094	benyang
interior	disgust	0.086	hare-hare
