English Word	Emotion	Emotion-Intensity-Score	Tajik Word
wilderness	anticipation	0.508	биёбон
horizon	anticipation	0.508	уфуқ
sneaking	anticipation	0.500	пинҳон кардан
uphill	anticipation	0.500	боло
puppy	anticipation	0.500	сагбача
blindfold	anticipation	0.500	чашмбандӣ
unbridled	anticipation	0.500	беандоза
horoscope	anticipation	0.500	гороскопи
airport	anticipation	0.500	фурудгоҳ
reconciliation	anticipation	0.500	оштишавй
advocacy	anticipation	0.500	таргибот
litigate	anticipation	0.500	даъво кардан
sunny	anticipation	0.500	офтобй
intuitively	anticipation	0.500	ба таври интуитивй
hero	anticipation	0.500	қаҳрамон
ardent	anticipation	0.500	оташин
commemorate	anticipation	0.500	ёд кардан
romantic	anticipation	0.500	романтик
doomsday	anticipation	0.500	киёмат
ready	anticipation	0.500	тайёр
nascent	anticipation	0.500	навзод
invocation	anticipation	0.500	даъват
depart	anticipation	0.500	рафтан
undisclosed	anticipation	0.500	ошкорнашуда
attendance	anticipation	0.500	иштирок
peril	anticipation	0.500	хатар
income	anticipation	0.500	даромад
calculation	anticipation	0.500	ҳисоб кардан
zeal	anticipation	0.500	гайрат
eventuality	anticipation	0.500	эҳтимолият
favorable	anticipation	0.500	мусоид
utopian	anticipation	0.500	утопия
swim	anticipation	0.500	шино кардан
proceeding	anticipation	0.492	идома дорад
eventual	anticipation	0.492	нихоят
heyday	anticipation	0.492	айём
undertaking	anticipation	0.492	ӯҳдадорӣ
improvise	anticipation	0.492	импровизация
inauguration	anticipation	0.492	ифтитоҳ
consequent	anticipation	0.492	оқибат
perspective	anticipation	0.492	перспектива
defense	anticipation	0.492	мудофиа
repay	anticipation	0.492	пардохт
gaping	anticipation	0.492	кафидан
youth	anticipation	0.492	чавонон
parole	anticipation	0.492	шартан озод кардан
worry	anticipation	0.492	хавотир
bless	anticipation	0.492	муборак
restorative	anticipation	0.492	барқароркунанда
court	anticipation	0.492	суд
highest	anticipation	0.491	баландтарин
shortly	anticipation	0.484	ба зудӣ
auspicious	anticipation	0.484	муборак
princely	anticipation	0.484	шоҳзода
correspondence	anticipation	0.484	мукотиба
generosity	anticipation	0.484	саховатмандӣ
sparkle	anticipation	0.484	дурахш
voluptuous	anticipation	0.484	дилчасп
happen	anticipation	0.484	рӯй медиҳад
tremor	anticipation	0.484	ларзиш
letter	anticipation	0.484	мактуб
vow	anticipation	0.484	қасам
sharpen	anticipation	0.484	тез кардан
duel	anticipation	0.484	дуэл
conjure	anticipation	0.484	тасаввур кардан
threaten	anticipation	0.484	таҳдид мекунанд
god	anticipation	0.484	худо
engulf	anticipation	0.484	фурӯ бурдан
unexplained	anticipation	0.484	нофаҳмо
contagion	anticipation	0.484	сироят
glorify	anticipation	0.477	ҷалол додан
submit	anticipation	0.477	пешниҳод
enroll	anticipation	0.477	номнавис кунед
unification	anticipation	0.477	муттаҳидшавӣ
gravitate	anticipation	0.477	вазнин кардан
glide	anticipation	0.477	паридан
accompaniment	anticipation	0.477	ҳамроҳӣ
cherish	anticipation	0.477	азиз
adore	anticipation	0.477	мепарастед
powerful	anticipation	0.477	тавоно
clue	anticipation	0.477	ишора
medal	anticipation	0.477	медал
contemplate	anticipation	0.477	андеша кардан
perilous	anticipation	0.477	хатарнок
determinate	anticipation	0.477	муайян кардан
arbitration	anticipation	0.477	арбитраж
recipient	anticipation	0.477	гиранда
onset	anticipation	0.477	оғоз
predispose	anticipation	0.477	майл кардан
score	anticipation	0.477	Ҳисоб
torture	anticipation	0.477	шиканҷа
glow	anticipation	0.477	дурахшанда
praiseworthy	anticipation	0.473	шоёни таъриф
football	anticipation	0.469	футбол
scare	anticipation	0.469	тарсондан
elite	anticipation	0.469	элита
unknown	anticipation	0.469	номаълум
precursor	anticipation	0.469	пешгузашта
pry	anticipation	0.469	пинхон
providing	anticipation	0.469	таъмин
sweets	anticipation	0.469	шириниҳо
cautious	anticipation	0.469	эҳтиёткор
opera	anticipation	0.469	опера
motion	anticipation	0.469	ҳаракат
cash	anticipation	0.469	пули нақд
creeping	anticipation	0.469	хазанда
invoke	anticipation	0.469	даъват кардан
star	anticipation	0.469	ситора
shaky	anticipation	0.469	ларзон
production	anticipation	0.469	истехсолот
successful	anticipation	0.469	муваффакиятнок
immediately	anticipation	0.469	фавран
dawn	anticipation	0.469	субҳ
starry	anticipation	0.469	ситорадор
unsurpassed	anticipation	0.469	бемисл
completion	anticipation	0.469	тамом кардан
hire	anticipation	0.469	киро кардан
fete	anticipation	0.469	ид
commemorative	anticipation	0.461	хотиравӣ
shining	anticipation	0.461	дурахшон
testament	anticipation	0.461	васиятнома
pay	anticipation	0.461	пардохт
alive	anticipation	0.461	зинда
plight	anticipation	0.461	бадбахтӣ
preliminary	anticipation	0.461	пешакӣ
overture	anticipation	0.461	увертюра
sanctuary	anticipation	0.461	паноҳгоҳ
regatta	anticipation	0.461	регата
draft	anticipation	0.461	лоиҳа
synchronize	anticipation	0.461	ҳамоҳанг созед
soundness	anticipation	0.461	солим
extricate	anticipation	0.461	баровардан
excel	anticipation	0.461	аъло
punt	anticipation	0.461	пункт
untold	anticipation	0.461	бегуфтугу
brilliant	anticipation	0.461	олиҷаноб
cheerfulness	anticipation	0.461	хушҳолӣ
jeopardy	anticipation	0.461	хатар
friendly	anticipation	0.461	дустона
mail	anticipation	0.461	почта
unexpected	anticipation	0.453	ғайричашмдошт
basketball	anticipation	0.453	баскетбол
inaugural	anticipation	0.453	кушодашавй
supremacy	anticipation	0.453	волоият
rehabilitation	anticipation	0.453	барқарорсозӣ
intimately	anticipation	0.453	самимона
career	anticipation	0.453	касб
prevention	anticipation	0.453	пешгирӣ
renovate	anticipation	0.453	таъмир кардан
compliment	anticipation	0.453	таъриф
prologue	anticipation	0.453	пролог
elegance	anticipation	0.453	зебоӣ
complement	anticipation	0.453	мукаммалкунанда
flinch	anticipation	0.453	паридан
infinity	anticipation	0.453	беохир
perpetuity	anticipation	0.453	абадӣ
sunset	anticipation	0.453	ғуруби офтоб
improve	anticipation	0.453	такмил додан
fitting	anticipation	0.445	мувофиқ
confidence	anticipation	0.445	боварй
concealment	anticipation	0.445	пинхон доштан
sweet	anticipation	0.445	ширин
perfect	anticipation	0.445	комил
epidemic	anticipation	0.445	эпидемия
fain	anticipation	0.445	фаин
volunteer	anticipation	0.445	ихтиёрй
share	anticipation	0.445	мубодила
surround	anticipation	0.445	иҳота кардан
conjecture	anticipation	0.445	тахмин
sun	anticipation	0.445	офтоб
veracity	anticipation	0.445	дурустӣ
serial	anticipation	0.438	серия
angel	anticipation	0.438	фаришта
aloha	anticipation	0.438	алайкум
saint	anticipation	0.438	муқаддас
tickle	anticipation	0.438	хичак кардан
superstitious	anticipation	0.438	хурофотпараст
ferment	anticipation	0.438	фермент кардан
conservation	anticipation	0.438	ҳифз
devout	anticipation	0.438	диндор
respect	anticipation	0.438	эҳтиром
reconstruction	anticipation	0.438	азнавсозй
goodness	anticipation	0.438	некӣ
reconstruct	anticipation	0.438	аз нав сохтан
faith	anticipation	0.438	имон
recombination	anticipation	0.438	рекомбинация
prepared	anticipation	0.438	тайёр карда шудааст
rabid	anticipation	0.438	хашмгин
plea	anticipation	0.438	илтимос
medical	anticipation	0.438	тиббй
passenger	anticipation	0.438	мусофир
charitable	anticipation	0.430	хайрхоҳ
tabulate	anticipation	0.430	ҷадвалбандӣ кунед
peace	anticipation	0.430	сулх
install	anticipation	0.430	насб кунед
serenity	anticipation	0.430	оромӣ
venerable	anticipation	0.430	мухтарам
spa	anticipation	0.430	курорт
labyrinth	anticipation	0.430	лабиринт
luscious	anticipation	0.430	болаззат
perpetuate	anticipation	0.430	абадӣ кардан
strategist	anticipation	0.430	стратег
unverified	anticipation	0.430	тасдиқнашуда
tribunal	anticipation	0.430	трибунал
clap	anticipation	0.430	чапак задан
peaceful	anticipation	0.422	осоишта
patience	anticipation	0.422	сабр
unresolved	anticipation	0.422	ҳалнашуда
worship	anticipation	0.422	ибодат кардан
edification	anticipation	0.422	тарбия
oasis	anticipation	0.422	воҳа
grin	anticipation	0.422	табассум
revere	anticipation	0.422	эҳтиром
candid	anticipation	0.422	ошкоро
vista	anticipation	0.422	манзара
conspirator	anticipation	0.422	фитнагар
adrift	anticipation	0.422	дарафтод
recognizable	anticipation	0.422	шинохташаванда
volatility	anticipation	0.422	ноустуворӣ
forestall	anticipation	0.422	пешгирй кардан
laughter	anticipation	0.422	ханда
continue	anticipation	0.414	давом додан
ongoing	anticipation	0.414	давом дорад
astrologer	anticipation	0.414	ситорашинос
mediate	anticipation	0.414	миёнарав
punctual	anticipation	0.414	саривақтӣ
grant	anticipation	0.414	грант
morn	anticipation	0.414	субҳ
pretty	anticipation	0.414	зебо
withstand	anticipation	0.414	тоб овардан
frisky	anticipation	0.414	шустушӯй
thought	anticipation	0.414	фикр кард
probation	anticipation	0.414	озмоиш
ordination	anticipation	0.414	таъинот
calls	anticipation	0.414	занг мезанад
detainee	anticipation	0.414	боздоштшуда
craps	anticipation	0.414	craps
weigh	anticipation	0.414	вазн кардан
proficiency	anticipation	0.414	махорат
sing	anticipation	0.411	суруд хонед
continuation	anticipation	0.406	идома
university	anticipation	0.406	университет
chicane	anticipation	0.406	шикан
nurture	anticipation	0.406	тарбия кардан
mother	anticipation	0.406	модар
punished	anticipation	0.406	чазо дода
twinkle	anticipation	0.406	дурахшид
confession	anticipation	0.406	икрор шудан
outdo	anticipation	0.406	берун рафтан
prophylactic	anticipation	0.406	профилактикй
proud	anticipation	0.406	ифтихор
midwife	anticipation	0.406	акушерка
wizard	anticipation	0.406	ҷодугар
headlight	anticipation	0.406	чароги пеш
long	anticipation	0.406	дароз
banquet	anticipation	0.406	зиёфат
comfort	anticipation	0.406	роҳат
navigable	anticipation	0.406	киштиронӣ
subscribe	anticipation	0.406	обуна шавед
opponent	anticipation	0.406	рақиб
debenture	anticipation	0.406	қарздор
deal	anticipation	0.402	муомила
symphony	anticipation	0.398	симфония
saintly	anticipation	0.398	муқаддасона
judiciary	anticipation	0.398	суд
lettered	anticipation	0.398	мактуб навишта шудааст
vigil	anticipation	0.398	ҳушёр
reliance	anticipation	0.398	такя кардан
distracting	anticipation	0.398	парешон
mortification	anticipation	0.398	хашмгин шудан
balm	anticipation	0.398	бальзам
simmer	anticipation	0.398	пазед
top	anticipation	0.398	боло
obliging	anticipation	0.398	ӯҳдадор
efficient	anticipation	0.398	самаранок
guillotine	anticipation	0.398	гильотина
representing	anticipation	0.398	намояндагӣ мекунанд
death	anticipation	0.398	марг
assurance	anticipation	0.391	кафолат
familiarity	anticipation	0.391	ошноӣ
depraved	anticipation	0.391	фосид
condemnation	anticipation	0.391	маҳкумият
undoubted	anticipation	0.391	бешубха
sanctify	anticipation	0.391	муқаддас кардан
diplomacy	anticipation	0.391	дипломатия
antidote	anticipation	0.391	зидди дору
trust	anticipation	0.391	эътимод
linger	anticipation	0.391	мондан
objective	anticipation	0.391	максаднок
chuckle	anticipation	0.391	хандидан
poke	anticipation	0.391	задан
abeyance	anticipation	0.391	беистӣ
maternal	anticipation	0.391	модарона
art	anticipation	0.391	мод
unfulfilled	anticipation	0.391	иҷронашуда
inoculation	anticipation	0.384	эмкунӣ
simplify	anticipation	0.383	содда кардан
depend	anticipation	0.383	вобаста аст
chant	anticipation	0.383	суруд
ram	anticipation	0.383	RAM
banger	anticipation	0.383	бангер
playground	anticipation	0.383	майдончаи бозӣ
labor	anticipation	0.383	мехнат
scientist	anticipation	0.383	олим
good	anticipation	0.383	хуб
humanitarian	anticipation	0.383	башардӯстона
failing	anticipation	0.383	ноком
hap	anticipation	0.383	хап
dutiful	anticipation	0.383	бодиққат
hymn	anticipation	0.383	гимн
ship	anticipation	0.383	киштй
discretion	anticipation	0.383	ихтиёр
undecided	anticipation	0.383	тасмим нагирифтааст
gradual	anticipation	0.375	тадричан
navigator	anticipation	0.375	навигатор
track	anticipation	0.375	пайгирӣ
cradle	anticipation	0.375	гахвора
sterling	anticipation	0.375	стерлинг
interim	anticipation	0.375	муваққатӣ
clock	anticipation	0.375	соат
mountain	anticipation	0.375	кӯҳ
interminable	anticipation	0.375	беохир
public	anticipation	0.375	оммавй
recurrent	anticipation	0.375	такроршаванда
savor	anticipation	0.375	лаззат баред
abide	anticipation	0.367	бимонад
concealed	anticipation	0.367	пинҳон
spear	anticipation	0.367	найза
lesson	anticipation	0.367	дарс
instructions	anticipation	0.367	дастурҳо
sonar	anticipation	0.367	сонар
biennial	anticipation	0.367	дусола
convince	anticipation	0.367	бовар кунонд
whim	anticipation	0.367	ҳавас
shiver	anticipation	0.367	ларзон
towering	anticipation	0.367	баланд
musical	anticipation	0.367	мусиқӣ
offset	anticipation	0.359	офсет
theory	anticipation	0.359	назария
theology	anticipation	0.359	теология
undying	anticipation	0.359	ҷовидона
timidity	anticipation	0.359	тарсончакӣ
plump	anticipation	0.359	пурбор
atone	anticipation	0.359	кафорат кунад
audience	anticipation	0.357	тамошобинон
dietary	anticipation	0.352	парҳезӣ
consecration	anticipation	0.352	тақдис
localize	anticipation	0.352	маҳаллисозӣ
paragon	anticipation	0.352	парагон
store	anticipation	0.352	мағоза
farm	anticipation	0.352	ферма
daily	anticipation	0.352	ҳар рӯз
cramp	anticipation	0.352	судорга
nobility	anticipation	0.352	ашроф
closure	anticipation	0.352	баста шудан
edition	anticipation	0.352	нашр
kindred	anticipation	0.352	хешу табор
stripped	anticipation	0.344	кашида
errand	anticipation	0.344	супориш
archaeology	anticipation	0.344	археология
mutable	anticipation	0.344	тағйирёбанда
wireless	anticipation	0.344	бесим
meditate	anticipation	0.344	мулоҳиза кунед
mobile	anticipation	0.344	мобилӣ
germ	anticipation	0.336	микроб
brotherly	anticipation	0.336	бародарона
lessen	anticipation	0.336	кам кардан
unbeaten	anticipation	0.336	маглубнашуда
pare	anticipation	0.336	паре
buddy	anticipation	0.336	дустам
unaccountable	anticipation	0.336	бемасъулият
dove	anticipation	0.328	кабӯтар
patient	anticipation	0.328	сабр
secular	anticipation	0.328	дунявӣ
digress	anticipation	0.328	дур кардан
chastity	anticipation	0.328	покдоманӣ
council	anticipation	0.328	шӯро
olfactory	anticipation	0.328	хушбӯй
ribbon	anticipation	0.328	лента
possess	anticipation	0.328	доштан
disposed	anticipation	0.320	партофташуда
scrutinize	anticipation	0.320	тафтиш кардан
immature	anticipation	0.320	ба камолот нарасидааст
mediator	anticipation	0.320	миёнарав
regularity	anticipation	0.320	мунтазам
cove	anticipation	0.320	кох
infanticide	anticipation	0.320	кӯдаккушӣ
paddle	anticipation	0.320	белак
heft	anticipation	0.320	гарон
fancy	anticipation	0.320	афсонавӣ
preservative	anticipation	0.320	консервант
unpublished	anticipation	0.312	нашрнашуда
church	anticipation	0.312	калисо
bugle	anticipation	0.312	буғ
grim	anticipation	0.312	даҳшатнок
denying	anticipation	0.312	инкор кардан
analyst	anticipation	0.312	таҳлилгар
judicial	anticipation	0.305	судй
priesthood	anticipation	0.305	коҳиният
broadside	anticipation	0.305	фарох
mill	anticipation	0.305	осиёб
dismay	anticipation	0.297	ваҳшат
cap	anticipation	0.297	cap
thermocouple	anticipation	0.297	термопар
tributary	anticipation	0.297	шохоб
instructor	anticipation	0.297	инструктор
exhaustion	anticipation	0.297	хастагӣ
saliva	anticipation	0.297	обила
cataract	anticipation	0.289	катаракта
network	anticipation	0.289	шабака
visor	anticipation	0.289	визор
shackle	anticipation	0.289	занҷир
wont	anticipation	0.289	намеояд
addresses	anticipation	0.289	суроғаҳо
discreet	anticipation	0.289	доно
noncompliance	anticipation	0.289	риоя накардан
bruise	anticipation	0.289	кӯфта
homeless	anticipation	0.289	бехонумон
astronomer	anticipation	0.281	астроном
skewed	anticipation	0.281	каҷ
neighbor	anticipation	0.281	хамсоя
holiness	anticipation	0.273	муқаддасӣ
devil	anticipation	0.273	шайтон
picket	anticipation	0.273	пикет
sentence	anticipation	0.273	ҳукм
latent	anticipation	0.273	нихонй
cream	anticipation	0.273	крем
immaturity	anticipation	0.273	ба камолот нарасидан
habitual	anticipation	0.266	одат
morals	anticipation	0.266	ахлок
neighborhood	anticipation	0.266	Гузар
lull	anticipation	0.266	сукут
bye	anticipation	0.258	хайр
weight	anticipation	0.258	вазн
organ	anticipation	0.250	орган
clown	anticipation	0.250	масхарабоз
forearm	anticipation	0.250	бозу
commonplace	anticipation	0.242	маъмулӣ
quote	anticipation	0.242	иқтибос
rail	anticipation	0.234	рохи охан
dictatorship	anticipation	0.234	диктатура
treadmill	anticipation	0.234	пайроҳа
board	anticipation	0.234	тахта
tree	anticipation	0.227	дарахт
sundial	anticipation	0.227	соати офтобӣ
paralysis	anticipation	0.211	фалаҷ
cement	anticipation	0.203	цемент
worm	anticipation	0.203	кирм
organization	anticipation	0.203	ташкилот
lagging	anticipation	0.180	кафомонда
neutral	anticipation	0.148	бетараф
cannibalism	disgust	0.953	каннибализм
mutilation	disgust	0.930	вайрон кардан
molestation	disgust	0.914	таҷовуз
incest	disgust	0.914	никоҳи хешутаборӣ
rape	disgust	0.906	таҷовуз
gonorrhea	disgust	0.906	гонорея
cannibal	disgust	0.898	одамхӯр
rot	disgust	0.891	пӯсида
corpse	disgust	0.883	ҷасад
massacre	disgust	0.883	қатли ом
excrement	disgust	0.883	наҷосат
barf	disgust	0.875	барф
slaughter	disgust	0.875	куштан
slaughterhouse	disgust	0.867	кушхона
incestuous	disgust	0.859	хешутаборӣ
sewerage	disgust	0.859	канализация
filth	disgust	0.859	чиркин
bigot	disgust	0.859	бузургпараст
rancid	disgust	0.859	хашмгин
infestation	disgust	0.852	сироятшавӣ
plague	disgust	0.852	вабо
holocaust	disgust	0.852	Холокост
bloodthirsty	disgust	0.852	хунхор
rotting	disgust	0.844	пӯсида
fecal	disgust	0.844	наҷосат
maggot	disgust	0.844	курт
feces	disgust	0.844	наҷосат
murder	disgust	0.839	куштор
asshole	disgust	0.836	Аҳмақ
homicide	disgust	0.836	одамкушй
enslaved	disgust	0.836	ғулом карда шудааст
infanticide	disgust	0.836	кӯдаккушӣ
perverted	disgust	0.828	вайроншуда
excretion	disgust	0.828	ихроҷ
gore	disgust	0.828	гор
slaughtering	disgust	0.828	куштан
torture	disgust	0.828	шиканҷа
contaminate	disgust	0.821	олуда кардан
revolting	disgust	0.820	саркаш
gory	disgust	0.820	горй
shit	disgust	0.820	лаънат
terrorist	disgust	0.820	террорист
murderer	disgust	0.820	қотил
repugnant	disgust	0.820	нафратовар
manure	disgust	0.820	пору
pervert	disgust	0.820	фосид
diarrhoea	disgust	0.820	дарунравї
grotesque	disgust	0.820	гротескӣ
desecration	disgust	0.820	таҳқир кардан
faeces	disgust	0.812	наҷосат
slavery	disgust	0.812	ғуломӣ
sewer	disgust	0.812	канализация
cadaver	disgust	0.812	ҷасад
manslaughter	disgust	0.812	одамкушй
dismemberment	disgust	0.812	пора кардан
vomit	disgust	0.812	қай кардан
perverse	disgust	0.805	каҷ
repulsive	disgust	0.805	нафратовар
hemorrhage	disgust	0.805	хунравӣ
sewage	disgust	0.797	канализация
filthy	disgust	0.797	чиркин
diseased	disgust	0.797	бемор
depravity	disgust	0.797	бадбахтӣ
carcass	disgust	0.795	лошае
decompose	disgust	0.789	пора кардан
gruesome	disgust	0.789	даҳшатовар
mutilated	disgust	0.789	вайроншуда
puke	disgust	0.789	кабуд
herpes	disgust	0.789	герпес
decayed	disgust	0.789	пусида
dung	disgust	0.789	пору
vermin	disgust	0.789	ҳашарот
murderous	disgust	0.789	қотил
parasite	disgust	0.789	паразит
horrific	disgust	0.789	даҳшатнок
carnage	disgust	0.781	куштор
malaria	disgust	0.781	вараҷа
slime	disgust	0.781	лой
flatulence	disgust	0.781	меъморӣ
pestilence	disgust	0.781	вабо
crap	disgust	0.781	каҷ
monstrosity	disgust	0.781	даҳшатнокӣ
loathsome	disgust	0.773	нафратовар
toxic	disgust	0.773	заҳролуд
morgue	disgust	0.773	мурдахона
pus	disgust	0.773	чирк
herpesvirus	disgust	0.773	герпесвирус
leprosy	disgust	0.773	махав
insidious	disgust	0.773	маккорона
cruel	disgust	0.766	бераҳм
regurgitation	disgust	0.766	регургитация
anthrax	disgust	0.766	сӯхтанӣ
xenophobia	disgust	0.766	ксенофобия
repugnance	disgust	0.766	нафрат
lynch	disgust	0.766	линч
revulsion	disgust	0.766	нафрат
whore	disgust	0.766	фоҳиша
dissection	disgust	0.759	тақсим кардан
mucous	disgust	0.758	луобпарда
canker	disgust	0.758	саратон
slum	disgust	0.758	камбағалон
infectious	disgust	0.758	сирояткунанда
evil	disgust	0.758	бад
phlegm	disgust	0.758	балғам
cruelty	disgust	0.758	бераҳмӣ
perversion	disgust	0.758	каҷравӣ
sinister	disgust	0.750	бадбахт
leeches	disgust	0.750	пиёзҳо
corrupting	disgust	0.750	вайронкунанда
decomposition	disgust	0.750	таҷзия
abomination	disgust	0.742	нафратовар
stinking	disgust	0.742	бадбӯй
bile	disgust	0.742	сафро
demonic	disgust	0.742	девона
deranged	disgust	0.742	асабонӣ
abhorrence	disgust	0.742	нафрат
soiled	disgust	0.742	чиркин
mucus	disgust	0.742	луоб
septic	disgust	0.742	септикӣ
sickening	disgust	0.742	дарднок
demon	disgust	0.742	дев
cancer	disgust	0.734	саратон
obese	disgust	0.734	фарбењї
degeneracy	disgust	0.734	таназзул
despicable	disgust	0.734	нафратовар
atrocity	disgust	0.734	ваҳшӣ
foul	disgust	0.734	фоҳиша
sicken	disgust	0.734	бемор
crucifixion	disgust	0.734	маслуб кардан
terrorism	disgust	0.734	терроризм
repulsion	disgust	0.727	дафн кардан
morbidity	disgust	0.727	бемори
dysentery	disgust	0.727	дизентерия
enema	disgust	0.727	клизма
bacterium	disgust	0.727	бактерия
dirty	disgust	0.727	ифлос
adultery	disgust	0.727	зино
contamination	disgust	0.727	ифлосшавӣ
grisly	disgust	0.727	даҳшатнок
diabolical	disgust	0.727	шайтонӣ
autopsy	disgust	0.719	ташхис
barbaric	disgust	0.719	ваҳшиёна
vulgar	disgust	0.719	беодоб
entrails	disgust	0.719	рӯдаҳо
disgust	disgust	0.719	нафрат
lewd	disgust	0.719	зино
muck	disgust	0.719	луқма
bowels	disgust	0.719	рӯдаҳо
garbage	disgust	0.719	ахлот
deterioration	disgust	0.719	бад шудан
contagion	disgust	0.719	сироят
vicious	disgust	0.719	бадхоҳ
disfigured	disgust	0.719	вайроншуда
pungent	disgust	0.719	тунд
gross	disgust	0.719	дагал
bloodshed	disgust	0.714	хунрезй
gag	disgust	0.711	гаг
pollute	disgust	0.711	олуда кардан
nausea	disgust	0.711	дилбењузурї
tyrant	disgust	0.711	золим
wretched	disgust	0.711	бадбахт
mortification	disgust	0.711	хашмгин шудан
violent	disgust	0.711	зуровар
poisoned	disgust	0.711	заҳролуд шудааст
nauseate	disgust	0.703	дилбењузурї
slimy	disgust	0.703	лалмӣ
grope	disgust	0.703	даст кашидан
slut	disgust	0.703	фоҳиша
nasty	disgust	0.703	бадбахт
disgusting	disgust	0.703	нафратовар
depraved	disgust	0.703	фосид
porn	disgust	0.703	порно
hateful	disgust	0.703	нафратовар
vulgarity	disgust	0.703	дағалӣ
noxious	disgust	0.703	зараровар
grime	disgust	0.703	чиркин
constipation	disgust	0.703	қабзият
secretion	disgust	0.703	секреция
poisoning	disgust	0.703	заҳролудшавӣ
despotism	disgust	0.703	деспотизм
measles	disgust	0.696	сурхак
contagious	disgust	0.695	гузаранда
obesity	disgust	0.695	фарбеҳӣ
wart	disgust	0.695	чанг
hate	disgust	0.695	нафрат
hellish	disgust	0.695	ҷаҳаннам
scum	disgust	0.695	палак
suicidal	disgust	0.695	худкушӣ
wretch	disgust	0.695	бадбахт
abuse	disgust	0.695	сӯиистифода
waste	disgust	0.695	партов
intestinal	disgust	0.695	рӯда
heartworm	disgust	0.688	кирми дил
ooze	disgust	0.688	обхезӣ
treason	disgust	0.688	хиёнат
contaminated	disgust	0.688	олудашуда
smut	disgust	0.688	шӯх
disease	disgust	0.688	беморӣ
rabid	disgust	0.688	хашмгин
deformed	disgust	0.680	деформатсияшуда
hell	disgust	0.680	ҷаҳаннам
soulless	disgust	0.680	беҷон
cholera	disgust	0.680	вабо
bestial	disgust	0.680	хайвон
antichrist	disgust	0.680	зиддимасеҳ
freakish	disgust	0.680	аҷиб
germ	disgust	0.680	микроб
detest	disgust	0.680	нафрат
pollution	disgust	0.680	ифлосшавӣ
grimy	disgust	0.680	чиркин
abhorrent	disgust	0.680	нафратовар
hatred	disgust	0.680	нафрат
abominate	disgust	0.680	нафратовар
sickness	disgust	0.680	беморӣ
hideous	disgust	0.672	зишт
dictatorship	disgust	0.672	диктатура
loathful	disgust	0.672	нафратовар
greasy	disgust	0.672	равганнок
dilapidated	disgust	0.672	фарсуда
inhuman	disgust	0.672	ғайриинсонӣ
loathing	disgust	0.672	нафратовар
obscene	disgust	0.672	зишт
cess	disgust	0.670	cess
devil	disgust	0.664	шайтон
deformity	disgust	0.664	деформатсия
nauseous	disgust	0.664	дилбењузурї
deadly	disgust	0.664	марговар
swine	disgust	0.664	хук
discrimination	disgust	0.664	табъиз
abominable	disgust	0.664	нафратовар
masochism	disgust	0.664	мазохизм
heretic	disgust	0.664	бидъат
latrines	disgust	0.656	ҳоҷатхонаҳо
corruption	disgust	0.656	фасод
poisonous	disgust	0.656	заҳрнок
horror	disgust	0.656	даҳшат
nefarious	disgust	0.656	зишт
bacteria	disgust	0.656	бактерияҳо
horrible	disgust	0.656	даҳшатнок
trash	disgust	0.656	партов
abortion	disgust	0.656	исқоти ҳамл
death	disgust	0.656	марг
prejudiced	disgust	0.656	муфтхурона
poison	disgust	0.656	заҳр
oppression	disgust	0.656	зулм
goo	disgust	0.656	гуё
victimized	disgust	0.656	қурбон гардид
mange	disgust	0.656	манг
sludge	disgust	0.648	лой
trashy	disgust	0.648	партов
vindictive	disgust	0.648	интиқомгиранда
horrid	disgust	0.648	даҳшатнок
ugly	disgust	0.648	зишт
immoral	disgust	0.648	бадахлоқона
bitch	disgust	0.648	харом
outhouse	disgust	0.648	берун аз хона
detestation	disgust	0.648	нафрат
horrifying	disgust	0.641	даҳшатовар
laxative	disgust	0.641	исҳоловар
unsightly	disgust	0.641	нонамоён
derogatory	disgust	0.641	таҳқиромез
slop	disgust	0.641	суст
malfeasance	disgust	0.641	бадрафторӣ
spew	disgust	0.641	пошидан
pimple	disgust	0.641	пилла
criminality	disgust	0.641	ҷинояткорӣ
indecency	disgust	0.641	беадабӣ
cystic	disgust	0.641	киставӣ
villainous	disgust	0.641	бадкирдор
queasy	disgust	0.633	дарднок
mildew	disgust	0.633	қолаб
oppressive	disgust	0.633	золим
prostitution	disgust	0.633	танфурӯшӣ
secrete	disgust	0.633	махфӣ кардан
ulcer	disgust	0.633	захм
rat	disgust	0.633	каламуш
bigoted	disgust	0.633	мутаассир
perpetrator	disgust	0.633	чинояткор
doomsday	disgust	0.633	киёмат
sinful	disgust	0.633	гунаҳкор
degrading	disgust	0.625	пасткунанда
ghastly	disgust	0.625	даҳшатовар
suffering	disgust	0.625	азоб кашидан
obscenity	disgust	0.625	фаҳш
devilish	disgust	0.625	шайтонӣ
disgraceful	disgust	0.625	нангин
persecution	disgust	0.625	таъқиб
contemptible	disgust	0.625	нафратовар
cuckold	disgust	0.625	кудак
stools	disgust	0.625	тахтаҳо
dastardly	disgust	0.625	далерона
sin	disgust	0.625	гуноҳ
gluttony	disgust	0.625	пурхӯрӣ
bloated	disgust	0.625	дабдабанок
fungus	disgust	0.625	занбӯруғ
aghast	disgust	0.625	хашмгин
diaper	disgust	0.617	памперс
malicious	disgust	0.617	бадхоҳ
polygamy	disgust	0.617	бисёрзанӣ
dying	disgust	0.617	мурдан
termite	disgust	0.617	термит
fat	disgust	0.617	фарбех
deceit	disgust	0.617	фиреб
