English Word	Emotion	Emotion-Intensity-Score	Polish Word
stripped	anticipation	0.344	obnażony
errand	anticipation	0.344	zadanie
archaeology	anticipation	0.344	archeologia
mutable	anticipation	0.344	zmienny
wireless	anticipation	0.344	bezprzewodowy
meditate	anticipation	0.344	medytować
mobile	anticipation	0.344	mobilny
germ	anticipation	0.336	zalążek
brotherly	anticipation	0.336	braterski
lessen	anticipation	0.336	zmniejszać
unbeaten	anticipation	0.336	nie pobity
pare	anticipation	0.336	obciąć
buddy	anticipation	0.336	kumpel
unaccountable	anticipation	0.336	niezrozumiały
dove	anticipation	0.328	gołąb
patient	anticipation	0.328	pacjent
secular	anticipation	0.328	świecki
digress	anticipation	0.328	błądzić
chastity	anticipation	0.328	czystość
council	anticipation	0.328	rada
olfactory	anticipation	0.328	węchowy
ribbon	anticipation	0.328	wstążka
possess	anticipation	0.328	posiadać
disposed	anticipation	0.320	pozbyć się
scrutinize	anticipation	0.320	lustrować
immature	anticipation	0.320	niedojrzały
mediator	anticipation	0.320	mediator
regularity	anticipation	0.320	prawidłowość
cove	anticipation	0.320	zatoczka
infanticide	anticipation	0.320	dzieciobójca
paddle	anticipation	0.320	wiosłować
heft	anticipation	0.320	waga
fancy	anticipation	0.320	wymyślny
preservative	anticipation	0.320	konserwant
unpublished	anticipation	0.312	nieopublikowane
church	anticipation	0.312	kościół
bugle	anticipation	0.312	dąbrówka
grim	anticipation	0.312	ponury
denying	anticipation	0.312	zaprzeczając
analyst	anticipation	0.312	analityk
judicial	anticipation	0.305	sądowy
priesthood	anticipation	0.305	kapłaństwo
broadside	anticipation	0.305	burta
mill	anticipation	0.305	młyn
dismay	anticipation	0.297	przerażenie
cap	anticipation	0.297	czapka
thermocouple	anticipation	0.297	termoelement
tributary	anticipation	0.297	dopływ
instructor	anticipation	0.297	instruktor
exhaustion	anticipation	0.297	wyczerpanie
saliva	anticipation	0.297	ślina
cataract	anticipation	0.289	zaćma
network	anticipation	0.289	sieć
visor	anticipation	0.289	przyłbica
shackle	anticipation	0.289	jarzmo
wont	anticipation	0.289	przyzwyczajenie
addresses	anticipation	0.289	adresy
discreet	anticipation	0.289	dyskretny
noncompliance	anticipation	0.289	niezgodność
bruise	anticipation	0.289	siniak
homeless	anticipation	0.289	bezdomny
astronomer	anticipation	0.281	astronom
skewed	anticipation	0.281	przechylony
neighbor	anticipation	0.281	sąsiad
holiness	anticipation	0.273	świętość
devil	anticipation	0.273	diabeł
picket	anticipation	0.273	szpica
sentence	anticipation	0.273	wyrok
latent	anticipation	0.273	utajony
cream	anticipation	0.273	krem
immaturity	anticipation	0.273	niedojrzałość
habitual	anticipation	0.266	zwykły
morals	anticipation	0.266	moralność
neighborhood	anticipation	0.266	sąsiedztwo
lull	anticipation	0.266	zastój
bye	anticipation	0.258	PA
weight	anticipation	0.258	waga
organ	anticipation	0.250	organ
clown	anticipation	0.250	błazen
forearm	anticipation	0.250	przedramię
commonplace	anticipation	0.242	komunał
quote	anticipation	0.242	cytat
rail	anticipation	0.234	szyna
dictatorship	anticipation	0.234	dyktatura
treadmill	anticipation	0.234	bieżnia
board	anticipation	0.234	tablica
tree	anticipation	0.227	drzewo
sundial	anticipation	0.227	zegar słoneczny
paralysis	anticipation	0.211	paraliż
cement	anticipation	0.203	cement
worm	anticipation	0.203	robak
organization	anticipation	0.203	organizacja
lagging	anticipation	0.180	otulina
neutral	anticipation	0.148	neutralny
cannibalism	disgust	0.953	kanibalizm
mutilation	disgust	0.930	okaleczenie
molestation	disgust	0.914	molestowanie
incest	disgust	0.914	kazirodztwo
rape	disgust	0.906	rzepak
gonorrhea	disgust	0.906	rzeżączka
cannibal	disgust	0.898	kanibal
rot	disgust	0.891	gnić
corpse	disgust	0.883	zwłoki
massacre	disgust	0.883	masakra
excrement	disgust	0.883	odchody
barf	disgust	0.875	barf
slaughter	disgust	0.875	ubój
slaughterhouse	disgust	0.867	rzeźnia
incestuous	disgust	0.859	kazirodczy
sewerage	disgust	0.859	kanalizacja
filth	disgust	0.859	brud
bigot	disgust	0.859	bigot
rancid	disgust	0.859	zjełczały
infestation	disgust	0.852	plaga
plague	disgust	0.852	plaga
holocaust	disgust	0.852	całopalenie
bloodthirsty	disgust	0.852	krwiożerczy
rotting	disgust	0.844	gnijący
fecal	disgust	0.844	kał
maggot	disgust	0.844	czerw
feces	disgust	0.844	kał
murder	disgust	0.839	morderstwo
asshole	disgust	0.836	dupek
homicide	disgust	0.836	zabójstwo
enslaved	disgust	0.836	zniewolony
infanticide	disgust	0.836	dzieciobójca
perverted	disgust	0.828	zdemoralizowany
excretion	disgust	0.828	wydalanie
gore	disgust	0.828	przelew krwi
slaughtering	disgust	0.828	ubój
torture	disgust	0.828	torturować
contaminate	disgust	0.821	zanieczyścić
revolting	disgust	0.820	oburzający
gory	disgust	0.820	krwawy
shit	disgust	0.820	gówno
terrorist	disgust	0.820	terrorysta
murderer	disgust	0.820	morderca
repugnant	disgust	0.820	odrażający
manure	disgust	0.820	nawóz
pervert	disgust	0.820	zboczeniec
diarrhoea	disgust	0.820	biegunka
grotesque	disgust	0.820	groteskowy
desecration	disgust	0.820	profanacja
faeces	disgust	0.812	kał
slavery	disgust	0.812	niewolnictwo
sewer	disgust	0.812	kanał ściekowy
cadaver	disgust	0.812	zwłoki
manslaughter	disgust	0.812	zabójstwo
dismemberment	disgust	0.812	amputacja
vomit	disgust	0.812	wymiociny
perverse	disgust	0.805	przewrotny
repulsive	disgust	0.805	odpychający
hemorrhage	disgust	0.805	krwotok
sewage	disgust	0.797	ścieki
filthy	disgust	0.797	brudny
diseased	disgust	0.797	chory
depravity	disgust	0.797	deprawacja
carcass	disgust	0.795	tusza
decompose	disgust	0.789	rozkładać się
gruesome	disgust	0.789	makabryczny
mutilated	disgust	0.789	okaleczony
puke	disgust	0.789	rzygać
herpes	disgust	0.789	opryszczka
decayed	disgust	0.789	zepsuty
dung	disgust	0.789	łajno
vermin	disgust	0.789	robactwo
murderous	disgust	0.789	morderczy
parasite	disgust	0.789	pasożyt
horrific	disgust	0.789	przerażający
carnage	disgust	0.781	rzeź
malaria	disgust	0.781	malaria
slime	disgust	0.781	szlam
flatulence	disgust	0.781	bębnica
pestilence	disgust	0.781	zaraza
crap	disgust	0.781	bzdury
monstrosity	disgust	0.781	potworność
loathsome	disgust	0.773	odrażający
toxic	disgust	0.773	toksyczny
morgue	disgust	0.773	kostnica
pus	disgust	0.773	ropa
herpesvirus	disgust	0.773	herpeswirus
leprosy	disgust	0.773	trąd
insidious	disgust	0.773	podstępny
cruel	disgust	0.766	okrutny
regurgitation	disgust	0.766	regurgitacja
anthrax	disgust	0.766	wąglik
xenophobia	disgust	0.766	ksenofobia
repugnance	disgust	0.766	wstręt
lynch	disgust	0.766	zlinczować
revulsion	disgust	0.766	wstręt
whore	disgust	0.766	kurwa
dissection	disgust	0.759	sekcja
mucous	disgust	0.758	śluzowaty
canker	disgust	0.758	rak
slum	disgust	0.758	slums
infectious	disgust	0.758	zakaźny
evil	disgust	0.758	zło
phlegm	disgust	0.758	flegma
cruelty	disgust	0.758	okrucieństwo
perversion	disgust	0.758	perwersja
sinister	disgust	0.750	złowrogi
leeches	disgust	0.750	pijawki
corrupting	disgust	0.750	korumpujący
decomposition	disgust	0.750	rozkład
abomination	disgust	0.742	wstręt
stinking	disgust	0.742	śmierdzący
bile	disgust	0.742	żółć
demonic	disgust	0.742	demoniczny
deranged	disgust	0.742	obłąkany
abhorrence	disgust	0.742	wstręt
soiled	disgust	0.742	zabrudzone
mucus	disgust	0.742	śluz
septic	disgust	0.742	septyczny
sickening	disgust	0.742	obrzydliwy
demon	disgust	0.742	Demon
cancer	disgust	0.734	nowotwór
obese	disgust	0.734	otyły
degeneracy	disgust	0.734	degeneracja
despicable	disgust	0.734	podły
atrocity	disgust	0.734	okrucieństwo
foul	disgust	0.734	faul
sicken	disgust	0.734	oburzać
crucifixion	disgust	0.734	ukrzyżowanie
terrorism	disgust	0.734	terroryzm
repulsion	disgust	0.727	odpychanie
morbidity	disgust	0.727	zachorowalność
dysentery	disgust	0.727	czerwonka
enema	disgust	0.727	lewatywa
bacterium	disgust	0.727	bakteria
dirty	disgust	0.727	brudny
adultery	disgust	0.727	cudzołóstwo
contamination	disgust	0.727	zanieczyszczenie
grisly	disgust	0.727	przerażający
diabolical	disgust	0.727	diaboliczny
autopsy	disgust	0.719	autopsja
barbaric	disgust	0.719	barbarzyński
vulgar	disgust	0.719	wulgarny
entrails	disgust	0.719	wnętrzności
disgust	disgust	0.719	niesmak
lewd	disgust	0.719	sprośny
muck	disgust	0.719	błoto
bowels	disgust	0.719	wnętrzności
garbage	disgust	0.719	Śmieci
deterioration	disgust	0.719	pogorszenie
contagion	disgust	0.719	zakażenie
vicious	disgust	0.719	podstępny
disfigured	disgust	0.719	oszpecony
pungent	disgust	0.719	ostry
gross	disgust	0.719	obrzydliwy
bloodshed	disgust	0.714	rozlew krwi
gag	disgust	0.711	knebel
pollute	disgust	0.711	zanieczyszczać
nausea	disgust	0.711	mdłości
tyrant	disgust	0.711	tyran
wretched	disgust	0.711	nędzny
mortification	disgust	0.711	umartwienie
violent	disgust	0.711	brutalny
poisoned	disgust	0.711	zatruty
nauseate	disgust	0.703	dostawać mdłości
slimy	disgust	0.703	śluzowaty
grope	disgust	0.703	iść po omacku
slut	disgust	0.703	chlapa
nasty	disgust	0.703	paskudny
disgusting	disgust	0.703	obrzydliwy
depraved	disgust	0.703	zdeprawowany
porn	disgust	0.703	porno
hateful	disgust	0.703	nienawistny
vulgarity	disgust	0.703	wulgarność
noxious	disgust	0.703	szkodliwy
grime	disgust	0.703	brud
constipation	disgust	0.703	zaparcie
secretion	disgust	0.703	wydzielanie
poisoning	disgust	0.703	zatrucie
despotism	disgust	0.703	despotyzm
measles	disgust	0.696	odra
contagious	disgust	0.695	zaraźliwy
obesity	disgust	0.695	otyłość
wart	disgust	0.695	brodawka
hate	disgust	0.695	nienawidzić
hellish	disgust	0.695	piekielny
scum	disgust	0.695	szumowiny
suicidal	disgust	0.695	samobójczy
wretch	disgust	0.695	nieszczęśnik
abuse	disgust	0.695	nadużywać
waste	disgust	0.695	marnotrawstwo
intestinal	disgust	0.695	jelitowy
heartworm	disgust	0.688	heartworm
ooze	disgust	0.688	muł
treason	disgust	0.688	zdrada
contaminated	disgust	0.688	zanieczyszczone
smut	disgust	0.688	świństwa
disease	disgust	0.688	choroba
rabid	disgust	0.688	wściekły
deformed	disgust	0.680	zdeformowany
hell	disgust	0.680	piekło
soulless	disgust	0.680	bezduszny
cholera	disgust	0.680	cholera
bestial	disgust	0.680	bestialski
antichrist	disgust	0.680	antychryst
freakish	disgust	0.680	kapryśny
germ	disgust	0.680	zalążek
detest	disgust	0.680	brzydzić
pollution	disgust	0.680	zanieczyszczenie
grimy	disgust	0.680	umorusany
abhorrent	disgust	0.680	odrażający
hatred	disgust	0.680	nienawiść
abominate	disgust	0.680	nienawidzić
sickness	disgust	0.680	choroba
hideous	disgust	0.672	ohydny
dictatorship	disgust	0.672	dyktatura
loathful	disgust	0.672	wstrętny
greasy	disgust	0.672	tłusty
dilapidated	disgust	0.672	zniszczony
inhuman	disgust	0.672	nieludzki
loathing	disgust	0.672	odraza
obscene	disgust	0.672	nieprzyzwoity
cess	disgust	0.670	c.o
devil	disgust	0.664	diabeł
deformity	disgust	0.664	zniekształcenie
nauseous	disgust	0.664	nudny
deadly	disgust	0.664	śmiertelnie
swine	disgust	0.664	wieprz
discrimination	disgust	0.664	dyskryminacja
abominable	disgust	0.664	wstrętny
masochism	disgust	0.664	masochizm
heretic	disgust	0.664	heretyk
latrines	disgust	0.656	latryny
corruption	disgust	0.656	korupcja
poisonous	disgust	0.656	trujący
horror	disgust	0.656	przerażenie
nefarious	disgust	0.656	nikczemny
bacteria	disgust	0.656	bakteria
horrible	disgust	0.656	okropny
trash	disgust	0.656	śmieci
abortion	disgust	0.656	poronienie
death	disgust	0.656	śmierć
prejudiced	disgust	0.656	uprzedzony
poison	disgust	0.656	zatruć
oppression	disgust	0.656	ucisk
goo	disgust	0.656	maź
victimized	disgust	0.656	represjonowany
mange	disgust	0.656	świerzb
sludge	disgust	0.648	osad
trashy	disgust	0.648	kiczowaty
vindictive	disgust	0.648	mściwy
horrid	disgust	0.648	okropny
ugly	disgust	0.648	brzydki
immoral	disgust	0.648	niemoralny
bitch	disgust	0.648	suka
outhouse	disgust	0.648	przybudówka
detestation	disgust	0.648	wstręt
horrifying	disgust	0.641	przerażające
laxative	disgust	0.641	przeczyszczający
unsightly	disgust	0.641	brzydki
derogatory	disgust	0.641	uwłaczający
slop	disgust	0.641	pomyje
malfeasance	disgust	0.641	nadużycie
spew	disgust	0.641	rzygać
pimple	disgust	0.641	pryszcz
criminality	disgust	0.641	przestępczość
indecency	disgust	0.641	nieprzyzwoitość
cystic	disgust	0.641	torbielowaty
villainous	disgust	0.641	nikczemny
queasy	disgust	0.633	delikatny
mildew	disgust	0.633	pleśń
oppressive	disgust	0.633	uciążliwy
prostitution	disgust	0.633	prostytucja
secrete	disgust	0.633	wydzielać
ulcer	disgust	0.633	wrzód
rat	disgust	0.633	szczur
bigoted	disgust	0.633	zajadły
perpetrator	disgust	0.633	sprawca
doomsday	disgust	0.633	Dzień Sądu Ostatecznego
sinful	disgust	0.633	grzeszny
degrading	disgust	0.625	poniżający
ghastly	disgust	0.625	upiorny
suffering	disgust	0.625	cierpienie
obscenity	disgust	0.625	nieprzyzwoitość
devilish	disgust	0.625	diabelski
disgraceful	disgust	0.625	haniebny
persecution	disgust	0.625	prześladowanie
contemptible	disgust	0.625	podły
cuckold	disgust	0.625	rogacz
stools	disgust	0.625	stołki
dastardly	disgust	0.625	podły
sin	disgust	0.625	grzech
gluttony	disgust	0.625	obżarstwo
bloated	disgust	0.625	nadęty
fungus	disgust	0.625	grzyb
aghast	disgust	0.625	przerażony
diaper	disgust	0.617	pielucha
malicious	disgust	0.617	złośliwy
polygamy	disgust	0.617	poligamia
dying	disgust	0.617	umierający
termite	disgust	0.617	bielec
fat	disgust	0.617	tłuszcz
deceit	disgust	0.617	oszustwo
atrocious	disgust	0.617	okrutny
guillotine	disgust	0.617	gilotyna
tetanus	disgust	0.617	tężec
spoil	disgust	0.617	zepsuć
crusty	disgust	0.617	skorupiasty
sickly	disgust	0.617	chorowity
louse	disgust	0.617	wesz
strangle	disgust	0.617	udusić
betrayal	disgust	0.617	zdrada
loathe	disgust	0.617	brzydzić
wench	disgust	0.617	dziewucha
infect	disgust	0.617	infekować
violently	disgust	0.609	gwałtownie
brothel	disgust	0.609	burdel
drool	disgust	0.609	bzdurzyć
bleeding	disgust	0.609	krwawienie
deform	disgust	0.609	deformować
ghetto	disgust	0.609	getto
sabotage	disgust	0.609	sabotaż
venomous	disgust	0.609	jadowity
abhor	disgust	0.609	czuć wstręt
slander	disgust	0.609	oszczerstwo
hostile	disgust	0.609	wrogi
musty	disgust	0.602	stęchły
illicit	disgust	0.602	nielegalny
ugliness	disgust	0.602	brzydota
unwashed	disgust	0.602	niemyty
swampy	disgust	0.602	bagienny
deprivation	disgust	0.602	pozbawienie
poaching	disgust	0.602	kłusownictwo
hag	disgust	0.602	wiedźma
infidel	disgust	0.602	niewierny
imprisonment	disgust	0.602	uwięzienie
traitor	disgust	0.602	zdrajca
lunacy	disgust	0.602	obłęd
queasiness	disgust	0.594	mdłości
hostility	disgust	0.594	wrogość
repelling	disgust	0.594	odpychający
intoxicated	disgust	0.594	odurzony
thug	disgust	0.594	bandyta
catastrophe	disgust	0.594	katastrofa
lunatic	disgust	0.594	wariat
misery	disgust	0.594	nieszczęście
venom	disgust	0.594	jad
butcher	disgust	0.594	rzeźnik
toilet	disgust	0.594	toaleta
blister	disgust	0.594	pęcherz
lurid	disgust	0.594	ponury
slug	disgust	0.594	ślimak
gut	disgust	0.594	jelito
sinner	disgust	0.594	grzesznik
deceitful	disgust	0.594	podstępny
epidemic	disgust	0.594	epidemia
deteriorated	disgust	0.586	pogorszył się
lavatory	disgust	0.586	toaleta
unclean	disgust	0.586	nieczysty
prostitute	disgust	0.586	prostytutka
incubus	disgust	0.586	zmora
appalling	disgust	0.586	przerażający
dreadful	disgust	0.586	straszny
pornography	disgust	0.586	pornografia
harass	disgust	0.586	nękać
squeamish	disgust	0.578	wrażliwy
expulsion	disgust	0.578	wydalenie
unfaithful	disgust	0.578	niewierny
offensive	disgust	0.578	ofensywa
hypocrite	disgust	0.578	hipokryta
humiliating	disgust	0.578	poniżający
larceny	disgust	0.578	kradzież
ruinous	disgust	0.578	rujnujący
retard	disgust	0.578	opóźniać
rash	disgust	0.578	wysypka
flea	disgust	0.578	pchła
debauchery	disgust	0.578	rozpusta
fiend	disgust	0.578	diabeł
quagmire	disgust	0.578	bagno
conspirator	disgust	0.578	spiskowiec
sick	disgust	0.578	chory
mangle	disgust	0.578	magiel
dogsick	disgust	0.570	psia gorączka
egregious	disgust	0.570	skandaliczny
flog	disgust	0.570	biczować
despise	disgust	0.570	pogardzać
treacherous	disgust	0.570	zdradziecki
oppress	disgust	0.570	uciskać
swamp	disgust	0.570	bagno
messy	disgust	0.570	niechlujny
spit	disgust	0.570	pluć
dank	disgust	0.570	wilgotny
bastard	disgust	0.570	bękart
devastating	disgust	0.570	niszczycielski
serpent	disgust	0.570	wąż
loo	disgust	0.562	toaleta
indecent	disgust	0.562	nieprzyzwoity
insanity	disgust	0.562	niepoczytalność
stealing	disgust	0.562	kradzież
terrible	disgust	0.562	straszny
tyrannical	disgust	0.562	despotyczny
humiliation	disgust	0.562	upokorzenie
snake	disgust	0.562	wąż
sloppy	disgust	0.562	niechlujny
sinning	disgust	0.562	grzesząc
harmful	disgust	0.562	szkodliwy
harlot	disgust	0.562	nierządnica
sordid	disgust	0.562	brudny
enemy	disgust	0.562	wróg
alcoholism	disgust	0.562	alkoholizm
awful	disgust	0.562	okropny
ruthless	disgust	0.562	bezwzględny
scoundrel	disgust	0.562	łajdak
bloody	disgust	0.555	krwawy
flabby	disgust	0.555	wiotki
odious	disgust	0.555	wstrętny
beastly	disgust	0.555	nieludzki
collusion	disgust	0.555	zmowa
ridicule	disgust	0.555	kpiny
discriminating	disgust	0.555	dyskryminacyjny
unattractive	disgust	0.555	nieładny
insufferable	disgust	0.555	nieznośny
segregate	disgust	0.555	segregować
arsenic	disgust	0.555	arsen
threatening	disgust	0.555	groźny
atrophy	disgust	0.555	zanik
varicella	disgust	0.555	ospa wietrzna
slayer	disgust	0.555	pogromca
distaste	disgust	0.555	niechęć
coward	disgust	0.555	tchórz
robbery	disgust	0.555	rozbój
wickedness	disgust	0.555	niegodziwość
anathema	disgust	0.547	anatema
malevolent	disgust	0.547	wrogi
sty	disgust	0.547	chlew
pillage	disgust	0.547	plądrowanie
thief	disgust	0.547	złodziej
suffocating	disgust	0.547	duszący się
condemnation	disgust	0.547	potępienie
deleterious	disgust	0.547	szkodliwy
slur	disgust	0.547	łuk
purgatory	disgust	0.547	czyściec
attacking	disgust	0.547	napadający
burglar	disgust	0.547	włamywacz
ogre	disgust	0.547	ogr
coercion	disgust	0.547	przymus
vesicular	disgust	0.547	pęcherzykowy
miserable	disgust	0.547	nieszczęśliwy
bitterly	disgust	0.547	gorzko
sneer	disgust	0.539	szydzić
greedy	disgust	0.539	chciwy
gob	disgust	0.539	gęba
repellant	disgust	0.539	odpychający
jealous	disgust	0.539	zazdrosny
drunken	disgust	0.539	pijany
shame	disgust	0.539	wstyd
thrash	disgust	0.539	prać
fatty	disgust	0.539	tłuszczowy
liar	disgust	0.539	kłamca
imprisoned	disgust	0.539	uwięziony
sloth	disgust	0.539	Leniwiec
repudiation	disgust	0.539	odrzucenie
disgrace	disgust	0.539	hańba
infidelity	disgust	0.539	niewierność
pig	disgust	0.539	świnia
lethal	disgust	0.536	śmiertelny
burnt	disgust	0.531	spalony
brawl	disgust	0.531	bijatyka
withered	disgust	0.531	zwiędły
blemish	disgust	0.531	skaza
hydrocephalus	disgust	0.531	wodogłowie
aberration	disgust	0.531	aberracja
smuggler	disgust	0.531	przemytnik
painful	disgust	0.531	bolesny
condescension	disgust	0.531	łaskawość
intolerant	disgust	0.531	nietolerancyjny
blasphemous	disgust	0.531	bluźnierczy
lying	disgust	0.531	kłamliwy
hanging	disgust	0.531	wiszące
travesty	disgust	0.531	parodia
ruined	disgust	0.531	zrujnowany
intrusive	disgust	0.531	natrętny
disintegrate	disgust	0.531	rozpadać się
destructive	disgust	0.531	destrukcyjny
neurotic	disgust	0.531	nerwicowy
disparaging	disgust	0.523	ubliżający
blighted	disgust	0.523	zatruty
intolerance	disgust	0.523	nietolerancja
mistress	disgust	0.523	kochanka
avarice	disgust	0.523	chciwość
disgraced	disgust	0.523	zhańbiony
derogation	disgust	0.523	derogacja
rubbish	disgust	0.523	śmieci
accusation	disgust	0.523	oskarżenie
incarceration	disgust	0.523	uwięzienie
tortious	disgust	0.516	dręczycielski
dishonor	disgust	0.516	hańba
stink	disgust	0.516	smród
grim	disgust	0.516	ponury
rob	disgust	0.516	obrabować
defraud	disgust	0.516	oszukać
sump	disgust	0.516	miska olejowa
cringe	disgust	0.516	wzdrygać się
vulture	disgust	0.516	sęp
deplorable	disgust	0.516	opłakany
mite	disgust	0.516	grosz
eradication	disgust	0.516	likwidacja
degrade	disgust	0.516	degradować
gutter	disgust	0.516	rynna
convict	disgust	0.516	skazać
remains	disgust	0.516	pozostaje
betray	disgust	0.516	zdradzać
daemon	disgust	0.516	demon
sham	disgust	0.509	pozorny
distasteful	disgust	0.508	niesmaczne
prisoner	disgust	0.508	więzień
dreadfully	disgust	0.508	piekielnie
worthless	disgust	0.508	Bezwartościowy
crude	disgust	0.508	surowy
delirium	disgust	0.508	delirium
incurable	disgust	0.508	nieuleczalny
smelling	disgust	0.508	pachnący
idiocy	disgust	0.508	idiotyzm
resentment	disgust	0.508	gniew
bombed	disgust	0.508	zbombardowany
blob	disgust	0.508	kropelka
cheat	disgust	0.508	oszukać
schizophrenia	disgust	0.508	schizofrenia
rejection	disgust	0.508	odmowa
belittle	disgust	0.508	bagatelizować
glut	disgust	0.508	nadmiar
disaster	disgust	0.508	katastrofa
distress	disgust	0.508	rozpacz
pest	disgust	0.508	szkodnik
endemic	disgust	0.508	endemiczny
theft	disgust	0.500	kradzież
banish	disgust	0.500	wygnać
mire	disgust	0.500	błoto
flagrant	disgust	0.500	rażący
derision	disgust	0.500	drwina
dirt	disgust	0.500	brud
screaming	disgust	0.500	krzyczeć
offense	disgust	0.500	wykroczenie
jealousy	disgust	0.500	zazdrość
bribery	disgust	0.500	łapówkarstwo
polemic	disgust	0.500	polemiczny
blight	disgust	0.500	zwarzyć
impeach	disgust	0.500	zakwestionować
bitterness	disgust	0.500	gorycz
taboo	disgust	0.500	tabu
duress	disgust	0.500	przymus
goblin	disgust	0.500	chochlik
shackle	disgust	0.500	jarzmo
idolatry	disgust	0.500	bałwochwalstwo
greed	disgust	0.500	chciwość
impurity	disgust	0.500	zanieczyszczenie
tirade	disgust	0.500	tyrada
idiot	disgust	0.492	idiota
boil	disgust	0.492	gotować
unconscionable	disgust	0.492	horrendalny
disreputable	disgust	0.492	haniebny
robber	disgust	0.492	bandyta
malign	disgust	0.492	złośliwy
wreck	disgust	0.492	wrak
recession	disgust	0.492	recesja
gorge	disgust	0.492	wąwóz
leer	disgust	0.492	chytre spojrzenie
ill	disgust	0.492	chory
squirm	disgust	0.492	skręcać się
raging	disgust	0.484	wściekły
servile	disgust	0.484	służalczy
mess	disgust	0.484	bałagan
nappy	disgust	0.484	pieluszka
possessed	disgust	0.484	opętany
unbearable	disgust	0.484	nie do zniesienia
occult	disgust	0.484	okultystyczny
contraband	disgust	0.484	kontrabanda
snarl	disgust	0.484	warczenie
mutiny	disgust	0.484	bunt
mad	disgust	0.484	szalony
affliction	disgust	0.484	cierpienie
stain	disgust	0.484	plama
animosity	disgust	0.484	animozja
contempt	disgust	0.484	pogarda
tramp	disgust	0.484	Tramp
nepotism	disgust	0.484	nepotyzm
disrespectful	disgust	0.484	lekceważący
defamation	disgust	0.484	zniesławienie
inexcusable	disgust	0.484	niewybaczalny
aversation	disgust	0.484	niechęć
wasteful	disgust	0.484	rozrzutny
offender	disgust	0.484	przestępca
subjugation	disgust	0.484	ujarzmienie
illegality	disgust	0.477	nielegalność
dismal	disgust	0.477	ponury
criminal	disgust	0.477	kryminalista
unpleasant	disgust	0.477	nieprzyjemny
palsy	disgust	0.477	porażenie
antagonistic	disgust	0.477	antagonistyczny
pathetic	disgust	0.477	żałosne
uncaring	disgust	0.477	niedbały
suppression	disgust	0.477	tłumienie
immorality	disgust	0.477	niemoralność
mockery	disgust	0.477	kpina
outrage	disgust	0.469	skandal
mocking	disgust	0.469	szyderstwo
wallow	disgust	0.469	tarzać się
cough	disgust	0.469	kaszel
arrogant	disgust	0.469	arogancki
angry	disgust	0.469	zły
poverty	disgust	0.469	ubóstwo
grating	disgust	0.469	krata
livid	disgust	0.469	wściekły
aggravation	disgust	0.469	pogorszenie
repellent	disgust	0.469	odpychający
perspiration	disgust	0.469	pot
banishment	disgust	0.469	wygnanie
furious	disgust	0.469	wściekły
shoddy	disgust	0.469	buble
banshee	disgust	0.469	banshee
deceive	disgust	0.461	zwodzić
fool	disgust	0.461	głupiec
quack	disgust	0.461	Kwak
distorted	disgust	0.461	zniekształcony
spider	disgust	0.461	pająk
unjustifiable	disgust	0.461	nieuzasadniony
deplore	disgust	0.461	ubolewać
spurious	disgust	0.461	fałszywy
perdition	disgust	0.461	zatracenie
muddy	disgust	0.461	zmącić
fraudulent	disgust	0.461	oszukańczy
scar	disgust	0.461	blizna
prick	disgust	0.461	ukłucie
insulting	disgust	0.461	obraźliwy
plunder	disgust	0.461	grabież
recklessness	disgust	0.461	lekkomyślność
stigma	disgust	0.453	piętno
disparage	disgust	0.453	deprecjonować
unthinkable	disgust	0.453	nie do pomyślenia
disingenuous	disgust	0.453	obłudny
bane	disgust	0.453	zmora
dishonest	disgust	0.453	nieuczciwy
aphid	disgust	0.453	mszyca
elimination	disgust	0.453	eliminacja
cur	disgust	0.453	kundel
selfish	disgust	0.453	samolubny
eschew	disgust	0.453	unikać
dire	disgust	0.453	straszny
indignation	disgust	0.453	oburzenie
antipathy	disgust	0.453	niechęć
alienate	disgust	0.453	zrazić
mosquito	disgust	0.445	komar
piles	disgust	0.445	hemoroidy
pious	disgust	0.445	pobożny
lie	disgust	0.445	kłamstwo
opium	disgust	0.445	opium
smell	disgust	0.445	zapach
iniquity	disgust	0.445	niesprawiedliwość
caries	disgust	0.445	próchnica
despair	disgust	0.445	rozpacz
recalcitrant	disgust	0.445	oporny
egotistical	disgust	0.445	egoistyczny
wasted	disgust	0.445	zmarnowany
vacuous	disgust	0.445	bezproblemowy
bankruptcy	disgust	0.445	bankructwo
garish	disgust	0.445	krzykliwy
obnoxious	disgust	0.438	obrzydliwy
ashamed	disgust	0.438	zawstydzony
abject	disgust	0.438	nikczemny
sticky	disgust	0.438	lepki
scream	disgust	0.438	krzyk
hopelessness	disgust	0.438	beznadziejność
homeless	disgust	0.438	bezdomny
shun	disgust	0.438	unikać
inmate	disgust	0.438	więzień
alien	disgust	0.438	obcy
hog	disgust	0.438	wieprz
aversion	disgust	0.438	niechęć
abnormal	disgust	0.438	nieprawidłowy
cursing	disgust	0.430	przeklinanie
undesirable	disgust	0.430	niepożądany
denounce	disgust	0.430	potępiać
witch	disgust	0.430	czarownica
creature	disgust	0.430	kreatura
lusty	disgust	0.430	krzepki
illegal	disgust	0.430	nielegalny
debris	disgust	0.430	gruz
callous	disgust	0.430	stwardniały
reflux	disgust	0.430	odpływ
adverse	disgust	0.430	niekorzystny
shameless	disgust	0.430	bezwstydny
