English Word	Emotion	Emotion-Intensity-Score	Latvian Word
succeed	anticipation	0.633	izdodas
passionate	anticipation	0.633	kaislīgs
birthday	anticipation	0.633	dzimšanas diena
passion	anticipation	0.633	aizraušanās
ominous	anticipation	0.633	draudīgs
captivate	anticipation	0.633	valdzināt
vision	anticipation	0.633	redze
delight	anticipation	0.633	prieks
curious	anticipation	0.633	ziņkārīgs
firstborn	anticipation	0.633	pirmdzimtais
await	anticipation	0.633	gaidīt
triumphant	anticipation	0.625	triumfējošs
escape	anticipation	0.625	bēgt
optimism	anticipation	0.625	optimisms
retirement	anticipation	0.625	pensionēšanās
foresee	anticipation	0.625	paredzēt
inspiration	anticipation	0.625	iedvesma
ripen	anticipation	0.625	nogatavojas
gift	anticipation	0.625	dāvana
revival	anticipation	0.625	atdzīvināšana
lust	anticipation	0.625	iekāre
risky	anticipation	0.617	riskanti
foreboding	anticipation	0.617	priekšnojauta
bloom	anticipation	0.617	ziedēt
verge	anticipation	0.617	robeža
embrace	anticipation	0.617	apskauj
destined	anticipation	0.617	lemts
surprisingly	anticipation	0.617	pārsteidzoši
ambition	anticipation	0.617	ambīcijas
simmering	anticipation	0.617	vārot uz lēnas uguns
enchanting	anticipation	0.617	apburošs
foresight	anticipation	0.617	tālredzība
lookout	anticipation	0.609	uzmanies
anxiety	anticipation	0.609	trauksme
forecast	anticipation	0.609	prognoze
seductive	anticipation	0.609	pavedinošs
bonus	anticipation	0.609	bonuss
succeeding	anticipation	0.609	izdodas
matrimony	anticipation	0.609	laulība
magical	anticipation	0.609	maģisks
alerts	anticipation	0.609	brīdinājumus
winner	anticipation	0.602	uzvarētājs
applicant	anticipation	0.602	pretendents
fulfillment	anticipation	0.602	izpildi
deserve	anticipation	0.602	pelnījuši
inspire	anticipation	0.602	iedvesmot
foreseen	anticipation	0.602	paredzēts
intended	anticipation	0.602	paredzēts
boomerang	anticipation	0.602	bumerangs
picnic	anticipation	0.602	pikniks
longing	anticipation	0.602	ilgas
revenge	anticipation	0.602	atriebība
success	anticipation	0.602	panākumus
diagnosis	anticipation	0.602	diagnoze
visionary	anticipation	0.602	vizionārs
prophetic	anticipation	0.602	pravietisks
entertaining	anticipation	0.602	izklaidējošs
nervous	anticipation	0.602	nervozs
illuminate	anticipation	0.594	apgaismot
accelerate	anticipation	0.594	paātrināt
advent	anticipation	0.594	advente
romance	anticipation	0.594	romantika
result	anticipation	0.594	rezultāts
arrive	anticipation	0.594	ierasties
momentum	anticipation	0.594	impulss
buzz	anticipation	0.594	baumas
rekindle	anticipation	0.594	atdzīvināt
preparedness	anticipation	0.594	sagatavotība
acquiring	anticipation	0.594	iegūstot
luck	anticipation	0.594	veiksme
marry	anticipation	0.594	precēties
predict	anticipation	0.589	prognozēt
money	anticipation	0.586	naudu
auspices	anticipation	0.586	aizbildniecībā
uplift	anticipation	0.586	pacēlums
fiesta	anticipation	0.586	fiesta
enjoying	anticipation	0.586	bauda
preparation	anticipation	0.586	sagatavošana
raffle	anticipation	0.586	izloze
investigation	anticipation	0.586	izmeklēšana
progression	anticipation	0.586	progresēšanu
overdue	anticipation	0.586	nokavēts
crave	anticipation	0.586	alkst
impatient	anticipation	0.586	nepacietīgs
enthusiast	anticipation	0.586	entuziasts
flirt	anticipation	0.586	flirtēt
seek	anticipation	0.586	meklēt
sequel	anticipation	0.586	turpinājums
presumption	anticipation	0.586	pieņēmums
delightful	anticipation	0.586	apburošs
gambling	anticipation	0.586	azartspēles
immerse	anticipation	0.586	iegremdēt
endeavor	anticipation	0.586	centieni
experiment	anticipation	0.580	eksperiments
enjoy	anticipation	0.578	Izbaudi
completing	anticipation	0.578	pabeigšana
clamor	anticipation	0.578	klaigas
angling	anticipation	0.578	makšķerēšana
majestic	anticipation	0.578	majestātisks
divination	anticipation	0.578	zīlēšana
transcendence	anticipation	0.578	transcendence
thriving	anticipation	0.578	plaukstošs
excavation	anticipation	0.578	rakšana
thirst	anticipation	0.578	slāpes
remedy	anticipation	0.578	līdzeklis
harvest	anticipation	0.578	ražu
risk	anticipation	0.578	risks
healing	anticipation	0.578	dziedināšana
heavenly	anticipation	0.578	debesu
inviting	anticipation	0.578	aicinošs
precarious	anticipation	0.578	nedrošs
attainable	anticipation	0.578	sasniedzams
blessing	anticipation	0.578	svētība
prosper	anticipation	0.578	plaukt
tease	anticipation	0.570	ķircināt
plan	anticipation	0.570	plāns
sweetheart	anticipation	0.570	mīļā
zest	anticipation	0.570	kaisle
magnificence	anticipation	0.570	krāšņums
ultimate	anticipation	0.570	galīgais
emancipation	anticipation	0.570	emancipācija
restlessness	anticipation	0.570	nemiers
finally	anticipation	0.570	beidzot
intimate	anticipation	0.570	intīms
omen	anticipation	0.570	zīme
matchmaker	anticipation	0.570	savedējs
gambler	anticipation	0.570	spēlmanis
prospectively	anticipation	0.570	perspektīvi
dare	anticipation	0.570	uzdrīkstēties
warned	anticipation	0.570	brīdināja
invite	anticipation	0.570	uzaicināt
mysterious	anticipation	0.562	noslēpumaini
accolade	anticipation	0.562	atzinība
lover	anticipation	0.562	mīļākais
expose	anticipation	0.562	atmaskot
enchant	anticipation	0.562	apburt
attempt	anticipation	0.562	mēģinājums
festival	anticipation	0.562	festivāls
exalt	anticipation	0.562	paaugstināt
rejoice	anticipation	0.562	priecājies
independence	anticipation	0.562	neatkarība
expected	anticipation	0.562	gaidāms
fanfare	anticipation	0.562	fanfaras
immortality	anticipation	0.562	nemirstība
quicken	anticipation	0.562	paātrināt
parade	anticipation	0.562	parāde
fun	anticipation	0.562	jautri
predilection	anticipation	0.562	tieksme
champion	anticipation	0.562	čempions
forewarned	anticipation	0.562	iepriekš brīdināts
hypothesis	anticipation	0.562	hipotēze
trophy	anticipation	0.562	trofeju
shopping	anticipation	0.555	iepirkšanās
salvation	anticipation	0.555	pestīšanu
feeling	anticipation	0.555	sajūta
speculative	anticipation	0.555	spekulatīvs
oracle	anticipation	0.555	orākuls
heroism	anticipation	0.555	varonība
boisterous	anticipation	0.555	trakulīgs
grasping	anticipation	0.555	satverot
uneasiness	anticipation	0.555	nemierīgums
curiosity	anticipation	0.555	zinātkāre
happy	anticipation	0.555	laimīgs
rejoicing	anticipation	0.555	priecājoties
fate	anticipation	0.555	liktenis
liberty	anticipation	0.555	brīvība
unfold	anticipation	0.555	izvērsties
amour	anticipation	0.555	mīlestība
lovely	anticipation	0.555	jauki
splendor	anticipation	0.555	krāšņums
grow	anticipation	0.555	augt
glimmer	anticipation	0.547	mirdzums
incite	anticipation	0.547	mudināt
abundance	anticipation	0.547	pārpilnība
resultant	anticipation	0.547	rezultātā
probability	anticipation	0.547	varbūtību
recreational	anticipation	0.547	atpūtas
glory	anticipation	0.547	slava
agape	anticipation	0.547	agape
delighted	anticipation	0.547	sajūsmā
changeable	anticipation	0.547	maināms
convergence	anticipation	0.547	konverģence
bountiful	anticipation	0.547	bagātīgs
warn	anticipation	0.547	brīdināt
monetary	anticipation	0.547	naudas
sorcery	anticipation	0.547	burvestība
morrow	anticipation	0.547	rīt
apprehensive	anticipation	0.547	bažīgs
hungry	anticipation	0.547	izsalcis
vote	anticipation	0.547	balsot
suspicious	anticipation	0.547	aizdomīgs
pray	anticipation	0.547	lūgties
leisure	anticipation	0.547	atpūta
hunting	anticipation	0.539	medības
sensual	anticipation	0.539	juteklisks
tempest	anticipation	0.539	vētra
auction	anticipation	0.539	izsole
ballot	anticipation	0.539	vēlēšanu zīme
grandchildren	anticipation	0.539	mazbērni
hankering	anticipation	0.539	alkas
entertainment	anticipation	0.539	izklaide
merge	anticipation	0.539	sapludināt
exceed	anticipation	0.539	pārsniegt
vindication	anticipation	0.539	attaisnošana
blessings	anticipation	0.539	svētības
inquiry	anticipation	0.539	izmeklēšanu
bounty	anticipation	0.539	veltes
worrying	anticipation	0.539	satraucoši
contingent	anticipation	0.539	kontingents
glad	anticipation	0.536	priecīgs
harbinger	anticipation	0.531	vēstnesis
magnificent	anticipation	0.531	lielisks
virginity	anticipation	0.531	jaunavība
stealthy	anticipation	0.531	zaglīgs
appeal	anticipation	0.531	pārsūdzēt
forming	anticipation	0.531	Formēšana
celestial	anticipation	0.531	debesu
raving	anticipation	0.531	trakojošs
deliverance	anticipation	0.531	atbrīvošana
feat	anticipation	0.531	varoņdarbs
cheer	anticipation	0.531	uzmundrināt
responsive	anticipation	0.531	atsaucīgi
hurried	anticipation	0.531	steidzās
betrothed	anticipation	0.531	saderināts
overthrow	anticipation	0.531	gāzt
spirits	anticipation	0.531	stiprie alkoholiskie dzērieni
dread	anticipation	0.531	bailes
visitor	anticipation	0.531	apmeklētājs
wait	anticipation	0.523	pagaidi
revive	anticipation	0.523	atdzīvināt
watch	anticipation	0.523	skatīties
hunter	anticipation	0.523	mednieks
radiance	anticipation	0.523	spožums
planning	anticipation	0.523	plānošana
germination	anticipation	0.523	dīgtspēja
competition	anticipation	0.523	konkurenci
preparatory	anticipation	0.523	sagatavošanās
prognostic	anticipation	0.523	prognostisks
beaming	anticipation	0.523	starojošs
cheery	anticipation	0.523	jautrs
prevail	anticipation	0.523	dominēt
importance	anticipation	0.523	nozīmi
notification	anticipation	0.523	paziņojumu
explosive	anticipation	0.523	sprādzienbīstams
pleasant	anticipation	0.523	patīkami
ultimately	anticipation	0.523	galu galā
child	anticipation	0.523	bērns
haste	anticipation	0.523	steigā
prophet	anticipation	0.523	pravietis
recreation	anticipation	0.516	atpūta
present	anticipation	0.516	klāt
time	anticipation	0.516	laiks
sensuality	anticipation	0.516	jutekliskums
owing	anticipation	0.516	parādā
loom	anticipation	0.516	stelles
begun	anticipation	0.516	sākās
salary	anticipation	0.516	algu
celebrity	anticipation	0.516	slavenība
treat	anticipation	0.516	ārstēt
chocolate	anticipation	0.516	šokolāde
caution	anticipation	0.516	piesardzību
fermentation	anticipation	0.516	fermentācija
uncontrollable	anticipation	0.516	nekontrolējams
precious	anticipation	0.516	vērtīgs
compensate	anticipation	0.516	kompensēt
endanger	anticipation	0.516	apdraudēt
renovation	anticipation	0.516	atjaunošana
signify	anticipation	0.508	apzīmēt
vigilance	anticipation	0.508	modrība
prerequisite	anticipation	0.508	priekšnoteikums
perfection	anticipation	0.508	pilnība
cultivate	anticipation	0.508	kultivēt
develop	anticipation	0.508	attīstīties
cue	anticipation	0.508	bižele
exigent	anticipation	0.508	prasīgs
transitional	anticipation	0.508	pārejas
commemoration	anticipation	0.508	piemiņai
intermission	anticipation	0.508	pārtraukums
elevation	anticipation	0.508	pacēlums
infant	anticipation	0.508	zīdainis
practise	anticipation	0.508	prakse
contemplation	anticipation	0.508	kontemplācija
dreadful	anticipation	0.508	drausmīgi
wilderness	anticipation	0.508	tuksnesī
horizon	anticipation	0.508	horizonts
sneaking	anticipation	0.500	ložņājot
uphill	anticipation	0.500	kalnup
puppy	anticipation	0.500	kucēns
blindfold	anticipation	0.500	aizsietām acīm
unbridled	anticipation	0.500	nesavaldīgs
horoscope	anticipation	0.500	horoskops
airport	anticipation	0.500	lidosta
reconciliation	anticipation	0.500	samierināšanās
advocacy	anticipation	0.500	aizstāvība
litigate	anticipation	0.500	tiesāties
sunny	anticipation	0.500	saulains
intuitively	anticipation	0.500	intuitīvi
hero	anticipation	0.500	varonis
ardent	anticipation	0.500	dedzīgs
commemorate	anticipation	0.500	pieminēt
romantic	anticipation	0.500	romantisks
doomsday	anticipation	0.500	pastardiena
ready	anticipation	0.500	gatavs
nascent	anticipation	0.500	topošais
invocation	anticipation	0.500	piesaukšana
depart	anticipation	0.500	aizbraukt
undisclosed	anticipation	0.500	neatklāts
attendance	anticipation	0.500	apmeklējums
peril	anticipation	0.500	briesmas
income	anticipation	0.500	ienākumiem
calculation	anticipation	0.500	aprēķins
zeal	anticipation	0.500	dedzība
eventuality	anticipation	0.500	iespējamība
favorable	anticipation	0.500	labvēlīgs
utopian	anticipation	0.500	utopisks
swim	anticipation	0.500	peldēt
proceeding	anticipation	0.492	process
eventual	anticipation	0.492	iespējams
heyday	anticipation	0.492	ziedu laiki
undertaking	anticipation	0.492	uzņēmums
improvise	anticipation	0.492	improvizēt
inauguration	anticipation	0.492	inaugurācija
consequent	anticipation	0.492	izrietoši
perspective	anticipation	0.492	perspektīva
defense	anticipation	0.492	aizsardzība
repay	anticipation	0.492	atmaksāt
gaping	anticipation	0.492	aplaimot
youth	anticipation	0.492	jaunība
parole	anticipation	0.492	pirmstermiņa atbrīvošana
worry	anticipation	0.492	jāuztraucas
bless	anticipation	0.492	svētīt
restorative	anticipation	0.492	atjaunojošs
court	anticipation	0.492	tiesa
highest	anticipation	0.491	augstākais
shortly	anticipation	0.484	drīzumā
auspicious	anticipation	0.484	labvēlīgs
princely	anticipation	0.484	princis
correspondence	anticipation	0.484	sarakste
generosity	anticipation	0.484	augstsirdība
sparkle	anticipation	0.484	dzirksti
voluptuous	anticipation	0.484	juteklīgs
happen	anticipation	0.484	notikt
tremor	anticipation	0.484	trīce
letter	anticipation	0.484	vēstule
vow	anticipation	0.484	zvērests
sharpen	anticipation	0.484	asināt
duel	anticipation	0.484	duelis
conjure	anticipation	0.484	uzburt
threaten	anticipation	0.484	draudēt
god	anticipation	0.484	dievs
engulf	anticipation	0.484	aprīt
unexplained	anticipation	0.484	neizskaidrojams
contagion	anticipation	0.484	inficēšanās
glorify	anticipation	0.477	slavināt
submit	anticipation	0.477	Iesniegt
enroll	anticipation	0.477	reģistrēties
unification	anticipation	0.477	apvienošana
gravitate	anticipation	0.477	gravitēt
glide	anticipation	0.477	slīdēt
accompaniment	anticipation	0.477	pavadījumā
cherish	anticipation	0.477	lolot
adore	anticipation	0.477	dievinu
powerful	anticipation	0.477	spēcīgs
clue	anticipation	0.477	pavediens
medal	anticipation	0.477	medaļa
contemplate	anticipation	0.477	pārdomāt
perilous	anticipation	0.477	bīstami
determinate	anticipation	0.477	apņēmīgs
arbitration	anticipation	0.477	šķīrējtiesa
recipient	anticipation	0.477	saņēmējs
onset	anticipation	0.477	sākums
predispose	anticipation	0.477	predisponēt
score	anticipation	0.477	rezultāts
torture	anticipation	0.477	spīdzināšanu
glow	anticipation	0.477	spīdēt
praiseworthy	anticipation	0.473	slavējams
football	anticipation	0.469	futbols
scare	anticipation	0.469	biedēt
elite	anticipation	0.469	elite
unknown	anticipation	0.469	nezināms
precursor	anticipation	0.469	prekursors
pry	anticipation	0.469	izklaidēties
providing	anticipation	0.469	nodrošinot
sweets	anticipation	0.469	saldumi
cautious	anticipation	0.469	piesardzīgs
opera	anticipation	0.469	opera
motion	anticipation	0.469	kustība
cash	anticipation	0.469	skaidrā naudā
creeping	anticipation	0.469	ložņu
invoke	anticipation	0.469	piesaukt
star	anticipation	0.469	zvaigzne
shaky	anticipation	0.469	drebošs
production	anticipation	0.469	ražošanu
successful	anticipation	0.469	veiksmīgs
immediately	anticipation	0.469	nekavējoties
dawn	anticipation	0.469	rītausma
starry	anticipation	0.469	zvaigžņots
unsurpassed	anticipation	0.469	nepārspējams
completion	anticipation	0.469	pabeigšana
hire	anticipation	0.469	nolīgt
fete	anticipation	0.469	svētki
commemorative	anticipation	0.461	piemiņas
shining	anticipation	0.461	spīdēšana
testament	anticipation	0.461	testaments
pay	anticipation	0.461	maksāt
alive	anticipation	0.461	dzīvs
plight	anticipation	0.461	nožēlojamo stāvokli
preliminary	anticipation	0.461	provizorisks
overture	anticipation	0.461	uvertīra
sanctuary	anticipation	0.461	svētnīca
regatta	anticipation	0.461	regate
draft	anticipation	0.461	melnraksts
synchronize	anticipation	0.461	sinhronizēt
soundness	anticipation	0.461	saprātīgums
extricate	anticipation	0.461	izvilkt
excel	anticipation	0.461	Excel
punt	anticipation	0.461	punt
untold	anticipation	0.461	neizsakāms
brilliant	anticipation	0.461	izcili
cheerfulness	anticipation	0.461	dzīvespriecīgums
jeopardy	anticipation	0.461	apdraudējums
friendly	anticipation	0.461	draudzīgs
mail	anticipation	0.461	pastu
unexpected	anticipation	0.453	negaidīti
basketball	anticipation	0.453	basketbols
inaugural	anticipation	0.453	atklāšanas
supremacy	anticipation	0.453	pārākums
rehabilitation	anticipation	0.453	rehabilitācija
intimately	anticipation	0.453	cieši
career	anticipation	0.453	karjeru
prevention	anticipation	0.453	profilakse
renovate	anticipation	0.453	atjaunot
compliment	anticipation	0.453	komplimentu
prologue	anticipation	0.453	prologs
elegance	anticipation	0.453	elegance
complement	anticipation	0.453	papildināt
flinch	anticipation	0.453	raustīties
infinity	anticipation	0.453	bezgalība
perpetuity	anticipation	0.453	uz mūžību
sunset	anticipation	0.453	saulriets
improve	anticipation	0.453	uzlabot
fitting	anticipation	0.445	montāža
confidence	anticipation	0.445	pārliecība
concealment	anticipation	0.445	slēpšana
sweet	anticipation	0.445	salds
perfect	anticipation	0.445	ideāls
epidemic	anticipation	0.445	epidēmija
fain	anticipation	0.445	fain
volunteer	anticipation	0.445	brīvprātīgais
share	anticipation	0.445	dalīties
surround	anticipation	0.445	ieskauj
conjecture	anticipation	0.445	minējums
sun	anticipation	0.445	saule
veracity	anticipation	0.445	patiesumu
serial	anticipation	0.438	seriāls
angel	anticipation	0.438	eņģelis
aloha	anticipation	0.438	aloha
saint	anticipation	0.438	svētais
tickle	anticipation	0.438	kutināt
superstitious	anticipation	0.438	māņticīgs
ferment	anticipation	0.438	raudzēt
conservation	anticipation	0.438	saglabāšanu
devout	anticipation	0.438	dievbijīgs
respect	anticipation	0.438	cieņu
reconstruction	anticipation	0.438	rekonstrukcija
goodness	anticipation	0.438	labestība
reconstruct	anticipation	0.438	rekonstruēt
faith	anticipation	0.438	ticība
recombination	anticipation	0.438	rekombinācija
prepared	anticipation	0.438	sagatavots
rabid	anticipation	0.438	nikns
plea	anticipation	0.438	lūgums
medical	anticipation	0.438	medicīnas
passenger	anticipation	0.438	pasažieris
charitable	anticipation	0.430	labdarības
tabulate	anticipation	0.430	tabulēt
peace	anticipation	0.430	miers
install	anticipation	0.430	uzstādīt
serenity	anticipation	0.430	mierīgums
venerable	anticipation	0.430	godājams
spa	anticipation	0.430	spa
labyrinth	anticipation	0.430	labirints
luscious	anticipation	0.430	sulīgs
perpetuate	anticipation	0.430	iemūžināt
strategist	anticipation	0.430	stratēģis
unverified	anticipation	0.430	nepārbaudīts
tribunal	anticipation	0.430	tribunāls
clap	anticipation	0.430	aplaudēt
peaceful	anticipation	0.422	mierīga
patience	anticipation	0.422	pacietību
unresolved	anticipation	0.422	neatrisināts
worship	anticipation	0.422	pielūgsme
edification	anticipation	0.422	audzināšana
oasis	anticipation	0.422	oāze
grin	anticipation	0.422	pasmīn
revere	anticipation	0.422	cienīt
candid	anticipation	0.422	vaļsirdīgs
vista	anticipation	0.422	vista
conspirator	anticipation	0.422	sazvērnieks
adrift	anticipation	0.422	dreifēt
recognizable	anticipation	0.422	atpazīstams
volatility	anticipation	0.422	nepastāvība
forestall	anticipation	0.422	novērst
laughter	anticipation	0.422	smiekli
continue	anticipation	0.414	Turpināt
ongoing	anticipation	0.414	notiek
astrologer	anticipation	0.414	astrologs
mediate	anticipation	0.414	starpnieks
punctual	anticipation	0.414	punktuāls
grant	anticipation	0.414	dotācija
morn	anticipation	0.414	rīts
pretty	anticipation	0.414	smuki
withstand	anticipation	0.414	izturēt
frisky	anticipation	0.414	jautrs
thought	anticipation	0.414	domāja
probation	anticipation	0.414	pārbaudes laiks
ordination	anticipation	0.414	ordinācija
calls	anticipation	0.414	zvani
detainee	anticipation	0.414	aizturētais
craps	anticipation	0.414	craps
weigh	anticipation	0.414	svars
proficiency	anticipation	0.414	prasme
sing	anticipation	0.411	dziedāt
continuation	anticipation	0.406	turpinājums
university	anticipation	0.406	universitāte
chicane	anticipation	0.406	šikāns
nurture	anticipation	0.406	audzināt
mother	anticipation	0.406	māte
punished	anticipation	0.406	sodīts
twinkle	anticipation	0.406	mirgot
confession	anticipation	0.406	grēksūdze
outdo	anticipation	0.406	pārspēt
prophylactic	anticipation	0.406	profilaktiski
proud	anticipation	0.406	lepns
midwife	anticipation	0.406	vecmāte
wizard	anticipation	0.406	vednis
headlight	anticipation	0.406	priekšējais lukturis
long	anticipation	0.406	garš
banquet	anticipation	0.406	bankets
comfort	anticipation	0.406	komfortu
navigable	anticipation	0.406	kuģojams
subscribe	anticipation	0.406	abonēt
opponent	anticipation	0.406	pretinieks
debenture	anticipation	0.406	obligācijas
deal	anticipation	0.402	darījums
symphony	anticipation	0.398	simfonija
saintly	anticipation	0.398	svēts
judiciary	anticipation	0.398	tiesu sistēma
lettered	anticipation	0.398	ar burtiem
vigil	anticipation	0.398	nomodā
reliance	anticipation	0.398	paļaušanās
distracting	anticipation	0.398	novērš uzmanību
mortification	anticipation	0.398	mortifikāciju
balm	anticipation	0.398	balzams
simmer	anticipation	0.398	vāra uz lēnas uguns
top	anticipation	0.398	tops
obliging	anticipation	0.398	uzliek par pienākumu
efficient	anticipation	0.398	efektīvs
guillotine	anticipation	0.398	giljotīna
representing	anticipation	0.398	pārstāvot
death	anticipation	0.398	nāvi
assurance	anticipation	0.391	pārliecību
familiarity	anticipation	0.391	iepazīšanās
depraved	anticipation	0.391	samaitāts
condemnation	anticipation	0.391	nosodījumu
undoubted	anticipation	0.391	neapšaubāmi
sanctify	anticipation	0.391	svētīt
diplomacy	anticipation	0.391	diplomātiju
antidote	anticipation	0.391	pretlīdzeklis
trust	anticipation	0.391	uzticēties
linger	anticipation	0.391	pakavēties
objective	anticipation	0.391	objektīvs
chuckle	anticipation	0.391	smieties
poke	anticipation	0.391	bakstīt
abeyance	anticipation	0.391	aizkavēšanās
maternal	anticipation	0.391	mātes
art	anticipation	0.391	art
unfulfilled	anticipation	0.391	nepiepildīts
inoculation	anticipation	0.384	inokulācija
simplify	anticipation	0.383	vienkāršot
depend	anticipation	0.383	atkarīgs
chant	anticipation	0.383	piedziedājums
ram	anticipation	0.383	auns
banger	anticipation	0.383	blāķis
playground	anticipation	0.383	rotaļu laukums
labor	anticipation	0.383	darbs
scientist	anticipation	0.383	zinātnieks
good	anticipation	0.383	labi
humanitarian	anticipation	0.383	humanitārais
failing	anticipation	0.383	neizdodas
hap	anticipation	0.383	hap
dutiful	anticipation	0.383	apzinīgs
hymn	anticipation	0.383	himna
ship	anticipation	0.383	kuģis
discretion	anticipation	0.383	rīcības brīvība
undecided	anticipation	0.383	nav izlemts
gradual	anticipation	0.375	pakāpeniski
navigator	anticipation	0.375	navigators
track	anticipation	0.375	trase
cradle	anticipation	0.375	šūpulis
sterling	anticipation	0.375	sterliņu mārciņas
interim	anticipation	0.375	pagaidu
clock	anticipation	0.375	pulkstenis
mountain	anticipation	0.375	kalns
interminable	anticipation	0.375	bezgalīgs
public	anticipation	0.375	publiski
recurrent	anticipation	0.375	atkārtojas
savor	anticipation	0.375	izgaršot
abide	anticipation	0.367	ievērot
concealed	anticipation	0.367	slēpts
spear	anticipation	0.367	šķēps
lesson	anticipation	0.367	nodarbība
instructions	anticipation	0.367	instrukcijas
sonar	anticipation	0.367	sonārs
biennial	anticipation	0.367	biennāle
convince	anticipation	0.367	pārliecināt
whim	anticipation	0.367	kaprīze
shiver	anticipation	0.367	drebuļi
towering	anticipation	0.367	stiprs
musical	anticipation	0.367	muzikāls
offset	anticipation	0.359	kompensēt
theory	anticipation	0.359	teoriju
theology	anticipation	0.359	teoloģija
undying	anticipation	0.359	nemirstīgs
timidity	anticipation	0.359	kautrīgums
plump	anticipation	0.359	briest
atone	anticipation	0.359	izpirkt
audience	anticipation	0.357	auditorija
dietary	anticipation	0.352	diētisks
consecration	anticipation	0.352	iesvētīšana
localize	anticipation	0.352	lokalizēt
paragon	anticipation	0.352	paragons
store	anticipation	0.352	veikals
farm	anticipation	0.352	saimniecība
daily	anticipation	0.352	katru dienu
cramp	anticipation	0.352	krampji
nobility	anticipation	0.352	muižniecība
closure	anticipation	0.352	slēgšana
edition	anticipation	0.352	izdevums
kindred	anticipation	0.352	radniecīgs
stripped	anticipation	0.344	izģērbts
errand	anticipation	0.344	uzdevums
archaeology	anticipation	0.344	arheoloģija
mutable	anticipation	0.344	mainīgs
wireless	anticipation	0.344	bezvadu
meditate	anticipation	0.344	meditēt
mobile	anticipation	0.344	mobilais
germ	anticipation	0.336	dīglis
brotherly	anticipation	0.336	brālīgs
lessen	anticipation	0.336	samazināt
unbeaten	anticipation	0.336	nepārspēts
pare	anticipation	0.336	pare
buddy	anticipation	0.336	draugs
unaccountable	anticipation	0.336	neatskaitāms
dove	anticipation	0.328	balodis
patient	anticipation	0.328	pacients
secular	anticipation	0.328	laicīgais
digress	anticipation	0.328	novirzīties
chastity	anticipation	0.328	šķīstība
council	anticipation	0.328	padome
olfactory	anticipation	0.328	ožas
ribbon	anticipation	0.328	lente
possess	anticipation	0.328	piederēt
disposed	anticipation	0.320	likvidēts
scrutinize	anticipation	0.320	rūpīgi pārbaudīt
immature	anticipation	0.320	nenobriedis
mediator	anticipation	0.320	starpnieks
regularity	anticipation	0.320	regularitāte
cove	anticipation	0.320	līcis
infanticide	anticipation	0.320	zīdaiņu slepkavība
paddle	anticipation	0.320	airis
heft	anticipation	0.320	heft
fancy	anticipation	0.320	iedomātā
preservative	anticipation	0.320	konservants
unpublished	anticipation	0.312	nepublicēts
church	anticipation	0.312	baznīca
bugle	anticipation	0.312	bugle
grim	anticipation	0.312	drūms
denying	anticipation	0.312	noliedzot
analyst	anticipation	0.312	analītiķis
judicial	anticipation	0.305	tiesu
priesthood	anticipation	0.305	priesterība
broadside	anticipation	0.305	platmala
mill	anticipation	0.305	dzirnavas
dismay	anticipation	0.297	izbailes
cap	anticipation	0.297	vāciņš
thermocouple	anticipation	0.297	termopāri
tributary	anticipation	0.297	pieteka
instructor	anticipation	0.297	instruktors
exhaustion	anticipation	0.297	izsīkums
saliva	anticipation	0.297	siekalas
cataract	anticipation	0.289	katarakta
network	anticipation	0.289	tīkls
visor	anticipation	0.289	vizieris
shackle	anticipation	0.289	važas
wont	anticipation	0.289	paradis
addresses	anticipation	0.289	adreses
discreet	anticipation	0.289	diskrēts
noncompliance	anticipation	0.289	neatbilstība
bruise	anticipation	0.289	ievainojums
homeless	anticipation	0.289	bezpajumtnieki
astronomer	anticipation	0.281	astronoms
skewed	anticipation	0.281	šķībs
neighbor	anticipation	0.281	kaimiņš
holiness	anticipation	0.273	svētums
devil	anticipation	0.273	velns
picket	anticipation	0.273	pikets
sentence	anticipation	0.273	teikums
latent	anticipation	0.273	latentais
cream	anticipation	0.273	krēms
immaturity	anticipation	0.273	nenobriedums
habitual	anticipation	0.266	ierasts
morals	anticipation	0.266	morāle
neighborhood	anticipation	0.266	apkārtne
lull	anticipation	0.266	iemidzināt
bye	anticipation	0.258	čau
weight	anticipation	0.258	svars
organ	anticipation	0.250	orgāns
clown	anticipation	0.250	klauns
forearm	anticipation	0.250	apakšdelms
commonplace	anticipation	0.242	ikdiena
quote	anticipation	0.242	citāts
rail	anticipation	0.234	dzelzceļš
dictatorship	anticipation	0.234	diktatūra
treadmill	anticipation	0.234	skrejceļš
board	anticipation	0.234	dēlis
tree	anticipation	0.227	koks
sundial	anticipation	0.227	saules pulkstenis
paralysis	anticipation	0.211	paralīze
cement	anticipation	0.203	cements
worm	anticipation	0.203	tārps
organization	anticipation	0.203	organizācija
lagging	anticipation	0.180	atpaliek
neutral	anticipation	0.148	neitrāla
cannibalism	disgust	0.953	kanibālisms
mutilation	disgust	0.930	sakropļošana
molestation	disgust	0.914	uzmākšanās
incest	disgust	0.914	incests
rape	disgust	0.906	izvarošanu
gonorrhea	disgust	0.906	gonoreja
cannibal	disgust	0.898	kanibāls
rot	disgust	0.891	puve
corpse	disgust	0.883	līķis
massacre	disgust	0.883	slaktiņš
excrement	disgust	0.883	ekskrementi
barf	disgust	0.875	barf
slaughter	disgust	0.875	nokaušana
slaughterhouse	disgust	0.867	kautuve
