English Word	Emotion	Emotion-Intensity-Score	Estonian Word
exciting	anticipation	0.797	põnev
expectant	anticipation	0.789	ootaja
thrilling	anticipation	0.781	haarav
hope	anticipation	0.773	lootust
quest	anticipation	0.766	quest
countdown	anticipation	0.750	tagasiarvestus
start	anticipation	0.750	alustada
anticipatory	anticipation	0.750	ennetav
adventure	anticipation	0.750	seiklus
expectance	anticipation	0.750	ootus
climax	anticipation	0.742	haripunkt
prophecy	anticipation	0.742	ennustus
expect	anticipation	0.742	oodata
excite	anticipation	0.742	erutada
arouse	anticipation	0.742	äratada
eager	anticipation	0.742	innukas
ejaculation	anticipation	0.734	ejakulatsioon
birth	anticipation	0.734	sündi
announcement	anticipation	0.734	teadaanne
expectancy	anticipation	0.727	ootus
expecting	anticipation	0.727	ootan
imminent	anticipation	0.727	peatselt
liberation	anticipation	0.727	vabanemine
urgent	anticipation	0.727	kiireloomuline
trepidation	anticipation	0.719	ehmatus
reunion	anticipation	0.719	taaskohtumine
prospection	anticipation	0.719	geograafilist uurimist
voyage	anticipation	0.719	reis
prospect	anticipation	0.719	väljavaade
aspire	anticipation	0.719	püüdlema
rapture	anticipation	0.711	vaimustus
suspense	anticipation	0.711	põnevus
journey	anticipation	0.711	teekonda
kiss	anticipation	0.711	suudlema
enthusiasm	anticipation	0.711	entusiasmi
yearning	anticipation	0.711	igatsus
ecstasy	anticipation	0.711	ekstaas
mystery	anticipation	0.711	müsteerium
prospective	anticipation	0.703	tulevane
frantic	anticipation	0.703	meeletu
destination	anticipation	0.703	sihtkoht
excitation	anticipation	0.703	erutus
lottery	anticipation	0.703	loterii
hopeful	anticipation	0.703	lootusrikas
thrill	anticipation	0.703	põnevus
progress	anticipation	0.703	edusamme
urgency	anticipation	0.703	kiireloomulisus
tantalizing	anticipation	0.703	ahvatlev
liberate	anticipation	0.695	vabastada
hurry	anticipation	0.695	kiirusta
explore	anticipation	0.695	uurida
advance	anticipation	0.695	ettemaks
vacation	anticipation	0.695	puhkust
sex	anticipation	0.695	seks
achievement	anticipation	0.695	saavutus
readiness	anticipation	0.695	valmisolekut
expectation	anticipation	0.695	ootus
prediction	anticipation	0.695	ennustus
arrival	anticipation	0.695	saabumine
allure	anticipation	0.688	võlu
ecstatic	anticipation	0.688	ekstaatiline
approaching	anticipation	0.688	lähenemas
honeymoon	anticipation	0.680	mesinädalad
roulette	anticipation	0.680	rulett
uprising	anticipation	0.680	ülestõusu
holiday	anticipation	0.672	puhkus
crescendo	anticipation	0.672	crescendo
celebrating	anticipation	0.672	tähistamas
wishful	anticipation	0.672	soovunelm
waiting	anticipation	0.664	ootamas
invitation	anticipation	0.664	kutse
rescue	anticipation	0.664	päästa
impending	anticipation	0.664	eelseisev
winning	anticipation	0.664	võitnud
craving	anticipation	0.664	iha
winnings	anticipation	0.664	võidud
triumph	anticipation	0.664	triumf
orgasm	anticipation	0.664	orgasmi
marriage	anticipation	0.656	abielu
bridal	anticipation	0.656	pruut
victory	anticipation	0.656	võit
courtship	anticipation	0.656	kurameerimine
gain	anticipation	0.656	kasu
aspiring	anticipation	0.656	püüdlev
strive	anticipation	0.656	püüdma
reward	anticipation	0.656	auhind
celebration	anticipation	0.656	tähistamine
jackpot	anticipation	0.656	jackpot
bridegroom	anticipation	0.656	peigmees
fortune	anticipation	0.656	varandus
tomorrow	anticipation	0.648	homme
rising	anticipation	0.648	tõusmas
inheritance	anticipation	0.648	pärand
alertness	anticipation	0.648	erksus
crowning	anticipation	0.648	kroonimine
aspiration	anticipation	0.648	püüdlus
delivery	anticipation	0.648	kohaletoimetamine
opportunity	anticipation	0.648	võimalus
intrigue	anticipation	0.648	intriig
prescient	anticipation	0.648	ettenägelik
treasure	anticipation	0.648	varandus
erotic	anticipation	0.641	erootiline
revolution	anticipation	0.641	revolutsioon
launch	anticipation	0.641	käivitada
reckoning	anticipation	0.641	arvestus
prognosis	anticipation	0.641	prognoos
happiness	anticipation	0.641	õnne
celebrated	anticipation	0.641	tähistati
receiving	anticipation	0.641	saamine
possibility	anticipation	0.641	võimalus
expedition	anticipation	0.641	ekspeditsioon
bride	anticipation	0.641	pruut
engaged	anticipation	0.641	kihlatud
anxious	anticipation	0.641	murelik
hype	anticipation	0.641	hüpe
spectacular	anticipation	0.641	suurejooneline
award	anticipation	0.641	auhind
prepare	anticipation	0.633	valmistada ette
coming	anticipation	0.633	tulemas
graduation	anticipation	0.633	lõpetamine
destiny	anticipation	0.633	saatus
miracle	anticipation	0.633	ime
beware	anticipation	0.633	ettevaatust
succeed	anticipation	0.633	õnnestub
passionate	anticipation	0.633	kirglik
birthday	anticipation	0.633	sünnipäev
passion	anticipation	0.633	kirg
ominous	anticipation	0.633	kurjakuulutav
captivate	anticipation	0.633	köitma
vision	anticipation	0.633	nägemus
delight	anticipation	0.633	nauding
curious	anticipation	0.633	uudishimulik
firstborn	anticipation	0.633	esmasündinu
await	anticipation	0.633	ootama
triumphant	anticipation	0.625	võidukas
escape	anticipation	0.625	põgeneda
optimism	anticipation	0.625	optimism
retirement	anticipation	0.625	pensionile jäämine
foresee	anticipation	0.625	ette näha
inspiration	anticipation	0.625	inspiratsiooni
ripen	anticipation	0.625	valmima
gift	anticipation	0.625	kingitus
revival	anticipation	0.625	taaselustamine
lust	anticipation	0.625	iha
risky	anticipation	0.617	riskantne
foreboding	anticipation	0.617	aimdus
bloom	anticipation	0.617	õitsema
verge	anticipation	0.617	äärel
embrace	anticipation	0.617	embama
destined	anticipation	0.617	määratud
surprisingly	anticipation	0.617	üllatavalt
ambition	anticipation	0.617	ambitsioon
simmering	anticipation	0.617	podisedes
enchanting	anticipation	0.617	lummav
foresight	anticipation	0.617	ettenägelikkus
lookout	anticipation	0.609	Vaata ette
anxiety	anticipation	0.609	ärevus
forecast	anticipation	0.609	prognoos
seductive	anticipation	0.609	võrgutav
bonus	anticipation	0.609	boonus
succeeding	anticipation	0.609	õnnestub
matrimony	anticipation	0.609	abielu
magical	anticipation	0.609	maagiline
alerts	anticipation	0.609	hoiatused
winner	anticipation	0.602	võitja
applicant	anticipation	0.602	taotleja
fulfillment	anticipation	0.602	täitmine
deserve	anticipation	0.602	väärima
inspire	anticipation	0.602	inspireerima
foreseen	anticipation	0.602	ette näha
intended	anticipation	0.602	mõeldud
boomerang	anticipation	0.602	bumerang
picnic	anticipation	0.602	piknik
longing	anticipation	0.602	igatsus
revenge	anticipation	0.602	kättemaks
success	anticipation	0.602	edu
diagnosis	anticipation	0.602	diagnoos
visionary	anticipation	0.602	visionäär
prophetic	anticipation	0.602	prohvetlik
entertaining	anticipation	0.602	meelelahutuslik
nervous	anticipation	0.602	närviline
illuminate	anticipation	0.594	valgustama
accelerate	anticipation	0.594	kiirendada
advent	anticipation	0.594	advent
romance	anticipation	0.594	romantikat
result	anticipation	0.594	tulemus
arrive	anticipation	0.594	saabuma
momentum	anticipation	0.594	hoogu
buzz	anticipation	0.594	sumin
rekindle	anticipation	0.594	uuesti süttima
preparedness	anticipation	0.594	valmisolek
acquiring	anticipation	0.594	omandamine
luck	anticipation	0.594	õnne
marry	anticipation	0.594	abielluda
predict	anticipation	0.589	ennustada
money	anticipation	0.586	raha
auspices	anticipation	0.586	egiidi all
uplift	anticipation	0.586	ülestõus
fiesta	anticipation	0.586	pidu
enjoying	anticipation	0.586	nautides
preparation	anticipation	0.586	ettevalmistus
raffle	anticipation	0.586	loosimine
investigation	anticipation	0.586	uurimine
progression	anticipation	0.586	progresseerumist
overdue	anticipation	0.586	hilinenud
crave	anticipation	0.586	ihkama
impatient	anticipation	0.586	kannatamatu
enthusiast	anticipation	0.586	entusiast
flirt	anticipation	0.586	flirt
seek	anticipation	0.586	otsima
sequel	anticipation	0.586	järg
presumption	anticipation	0.586	eeldus
delightful	anticipation	0.586	veetlev
gambling	anticipation	0.586	hasartmängud
immerse	anticipation	0.586	kastma
endeavor	anticipation	0.586	ettevõtmine
experiment	anticipation	0.580	katse
enjoy	anticipation	0.578	naudi
completing	anticipation	0.578	lõpetamine
clamor	anticipation	0.578	kära
angling	anticipation	0.578	õngitsemine
majestic	anticipation	0.578	majesteetlik
divination	anticipation	0.578	ennustamine
transcendence	anticipation	0.578	transtsendents
thriving	anticipation	0.578	õitsev
excavation	anticipation	0.578	väljakaevamine
thirst	anticipation	0.578	janu
remedy	anticipation	0.578	abinõu
harvest	anticipation	0.578	saagikoristus
risk	anticipation	0.578	risk
healing	anticipation	0.578	paranemine
heavenly	anticipation	0.578	taevalik
inviting	anticipation	0.578	kutsuv
precarious	anticipation	0.578	ebakindel
attainable	anticipation	0.578	saavutatav
blessing	anticipation	0.578	õnnistus
prosper	anticipation	0.578	õitseda
tease	anticipation	0.570	kiusama
plan	anticipation	0.570	plaan
sweetheart	anticipation	0.570	kullake
zest	anticipation	0.570	särtsu
magnificence	anticipation	0.570	suurejoonelisus
ultimate	anticipation	0.570	ülim
emancipation	anticipation	0.570	emantsipatsioon
restlessness	anticipation	0.570	rahutus
finally	anticipation	0.570	lõpuks
intimate	anticipation	0.570	intiimne
omen	anticipation	0.570	enne
matchmaker	anticipation	0.570	kosjasobitaja
gambler	anticipation	0.570	mängur
prospectively	anticipation	0.570	perspektiivselt
dare	anticipation	0.570	julge
warned	anticipation	0.570	hoiatas
invite	anticipation	0.570	kutsuda
mysterious	anticipation	0.562	salapärane
accolade	anticipation	0.562	tunnustus
lover	anticipation	0.562	armastaja
expose	anticipation	0.562	paljastada
enchant	anticipation	0.562	võluma
attempt	anticipation	0.562	katse
festival	anticipation	0.562	festival
exalt	anticipation	0.562	ülendada
rejoice	anticipation	0.562	rõõmustama
independence	anticipation	0.562	iseseisvus
expected	anticipation	0.562	oodatud
fanfare	anticipation	0.562	fanfaar
immortality	anticipation	0.562	surematus
quicken	anticipation	0.562	kiirendada
parade	anticipation	0.562	paraad
fun	anticipation	0.562	lõbus
predilection	anticipation	0.562	eelsoodumus
champion	anticipation	0.562	meister
forewarned	anticipation	0.562	ette hoiatatud
hypothesis	anticipation	0.562	hüpotees
trophy	anticipation	0.562	trofee
shopping	anticipation	0.555	ostlemine
salvation	anticipation	0.555	päästmine
feeling	anticipation	0.555	tunne
speculative	anticipation	0.555	spekulatiivne
oracle	anticipation	0.555	oraakel
heroism	anticipation	0.555	kangelaslikkus
boisterous	anticipation	0.555	kärarikas
grasping	anticipation	0.555	haarates
uneasiness	anticipation	0.555	rahutus
curiosity	anticipation	0.555	uudishimu
happy	anticipation	0.555	õnnelik
rejoicing	anticipation	0.555	rõõmustav
fate	anticipation	0.555	saatus
liberty	anticipation	0.555	vabadus
unfold	anticipation	0.555	lahti rulluma
amour	anticipation	0.555	armastus
lovely	anticipation	0.555	armas
splendor	anticipation	0.555	hiilgus
grow	anticipation	0.555	kasvama
glimmer	anticipation	0.547	särama
incite	anticipation	0.547	õhutama
abundance	anticipation	0.547	küllus
resultant	anticipation	0.547	tulemuseks
probability	anticipation	0.547	tõenäosus
recreational	anticipation	0.547	meelelahutuslik
glory	anticipation	0.547	hiilgus
agape	anticipation	0.547	agape
delighted	anticipation	0.547	rõõmustas
changeable	anticipation	0.547	muutlikud
convergence	anticipation	0.547	lähenemine
bountiful	anticipation	0.547	külluslik
warn	anticipation	0.547	hoiatama
monetary	anticipation	0.547	rahaline
sorcery	anticipation	0.547	nõidus
morrow	anticipation	0.547	homme
apprehensive	anticipation	0.547	kartlik
hungry	anticipation	0.547	näljane
vote	anticipation	0.547	hääletada
suspicious	anticipation	0.547	kahtlane
pray	anticipation	0.547	palvetama
leisure	anticipation	0.547	vaba aeg
hunting	anticipation	0.539	jahipidamine
sensual	anticipation	0.539	sensuaalne
tempest	anticipation	0.539	torm
auction	anticipation	0.539	oksjon
ballot	anticipation	0.539	hääletussedel
grandchildren	anticipation	0.539	lapselapsed
hankering	anticipation	0.539	igatsus
entertainment	anticipation	0.539	meelelahutus
merge	anticipation	0.539	liita
exceed	anticipation	0.539	ületada
vindication	anticipation	0.539	õigustamine
blessings	anticipation	0.539	õnnistusi
inquiry	anticipation	0.539	päring
bounty	anticipation	0.539	halastus
worrying	anticipation	0.539	murettekitav
contingent	anticipation	0.539	kontingent
glad	anticipation	0.536	rõõmus
harbinger	anticipation	0.531	kuulutaja
magnificent	anticipation	0.531	suurepärane
virginity	anticipation	0.531	süütus
stealthy	anticipation	0.531	vargsi
appeal	anticipation	0.531	apellatsioonkaebus
forming	anticipation	0.531	moodustamine
celestial	anticipation	0.531	taevalik
raving	anticipation	0.531	raevutsev
deliverance	anticipation	0.531	vabastamine
feat	anticipation	0.531	feat
cheer	anticipation	0.531	rõõmustama
responsive	anticipation	0.531	vastutulelik
hurried	anticipation	0.531	kiirustas
betrothed	anticipation	0.531	kihlatud
overthrow	anticipation	0.531	kukutada
spirits	anticipation	0.531	vaimud
dread	anticipation	0.531	hirm
visitor	anticipation	0.531	külastaja
wait	anticipation	0.523	oota
revive	anticipation	0.523	elustada
watch	anticipation	0.523	vaata
hunter	anticipation	0.523	jahimees
radiance	anticipation	0.523	sära
planning	anticipation	0.523	planeerimine
germination	anticipation	0.523	idanemine
competition	anticipation	0.523	konkurentsi
preparatory	anticipation	0.523	ettevalmistav
prognostic	anticipation	0.523	prognostiline
beaming	anticipation	0.523	kiirgav
cheery	anticipation	0.523	rõõmsameelne
prevail	anticipation	0.523	valitsevad
importance	anticipation	0.523	tähtsust
notification	anticipation	0.523	teatis
explosive	anticipation	0.523	plahvatusohtlik
pleasant	anticipation	0.523	meeldiv
ultimately	anticipation	0.523	lõpuks
child	anticipation	0.523	laps
haste	anticipation	0.523	kiirustama
prophet	anticipation	0.523	prohvet
recreation	anticipation	0.516	vaba aja veetmine
present	anticipation	0.516	kohal
time	anticipation	0.516	aega
sensuality	anticipation	0.516	sensuaalsus
owing	anticipation	0.516	võlgu
loom	anticipation	0.516	kangasteljed
begun	anticipation	0.516	alanud
salary	anticipation	0.516	palk
celebrity	anticipation	0.516	kuulsus
treat	anticipation	0.516	ravida
chocolate	anticipation	0.516	šokolaadi
caution	anticipation	0.516	ettevaatust
fermentation	anticipation	0.516	kääritamine
uncontrollable	anticipation	0.516	kontrollimatu
precious	anticipation	0.516	kallis
compensate	anticipation	0.516	kompenseerida
endanger	anticipation	0.516	ohustada
renovation	anticipation	0.516	renoveerimine
signify	anticipation	0.508	tähistama
vigilance	anticipation	0.508	valvsust
prerequisite	anticipation	0.508	eelduseks
perfection	anticipation	0.508	täiuslikkus
cultivate	anticipation	0.508	kasvatama
develop	anticipation	0.508	areneda
cue	anticipation	0.508	vihje
exigent	anticipation	0.508	nõudlik
transitional	anticipation	0.508	üleminekuperiood
commemoration	anticipation	0.508	mälestamine
intermission	anticipation	0.508	vaheaeg
elevation	anticipation	0.508	kõrgendus
infant	anticipation	0.508	imik
practise	anticipation	0.508	harjutada
contemplation	anticipation	0.508	mõtisklus
dreadful	anticipation	0.508	kohutav
wilderness	anticipation	0.508	kõrbes
horizon	anticipation	0.508	horisont
sneaking	anticipation	0.500	hiilimine
uphill	anticipation	0.500	ülesmäge
puppy	anticipation	0.500	kutsikas
blindfold	anticipation	0.500	silmside
unbridled	anticipation	0.500	ohjeldamatu
horoscope	anticipation	0.500	horoskoop
airport	anticipation	0.500	lennujaam
reconciliation	anticipation	0.500	leppimine
advocacy	anticipation	0.500	propageerimine
litigate	anticipation	0.500	kaebama
sunny	anticipation	0.500	päikeseline
intuitively	anticipation	0.500	intuitiivselt
hero	anticipation	0.500	kangelane
ardent	anticipation	0.500	tulihingeline
commemorate	anticipation	0.500	mälestama
romantic	anticipation	0.500	romantiline
doomsday	anticipation	0.500	maailmalõpupäev
ready	anticipation	0.500	valmis
nascent	anticipation	0.500	tekkiv
invocation	anticipation	0.500	kutsumine
depart	anticipation	0.500	lahkuma
undisclosed	anticipation	0.500	avalikustamata
attendance	anticipation	0.500	kohalviibimine
peril	anticipation	0.500	oht
income	anticipation	0.500	tulu
calculation	anticipation	0.500	arvutus
zeal	anticipation	0.500	innukus
eventuality	anticipation	0.500	võimalikkus
favorable	anticipation	0.500	soodne
utopian	anticipation	0.500	utoopiline
swim	anticipation	0.500	ujuda
proceeding	anticipation	0.492	menetlemine
eventual	anticipation	0.492	võimalik
heyday	anticipation	0.492	hiilgeaeg
undertaking	anticipation	0.492	ettevõtmine
improvise	anticipation	0.492	improviseerima
inauguration	anticipation	0.492	inauguratsioon
consequent	anticipation	0.492	sellest tulenevalt
perspective	anticipation	0.492	perspektiivi
defense	anticipation	0.492	kaitse
repay	anticipation	0.492	tagasi maksma
gaping	anticipation	0.492	haigutav
youth	anticipation	0.492	noorus
parole	anticipation	0.492	tingimisi vabastamine
worry	anticipation	0.492	muretsema
bless	anticipation	0.492	õnnistama
restorative	anticipation	0.492	taastav
court	anticipation	0.492	kohus
highest	anticipation	0.491	kõrgeim
shortly	anticipation	0.484	varsti
auspicious	anticipation	0.484	soodne
princely	anticipation	0.484	vürstilik
correspondence	anticipation	0.484	kirjavahetus
generosity	anticipation	0.484	suuremeelsus
sparkle	anticipation	0.484	särama
voluptuous	anticipation	0.484	meelas
happen	anticipation	0.484	juhtuma
tremor	anticipation	0.484	värin
letter	anticipation	0.484	kiri
vow	anticipation	0.484	tõotus
sharpen	anticipation	0.484	teritama
duel	anticipation	0.484	duell
conjure	anticipation	0.484	võluma
threaten	anticipation	0.484	ähvardama
god	anticipation	0.484	jumal
engulf	anticipation	0.484	neelama
unexplained	anticipation	0.484	seletamatu
contagion	anticipation	0.484	nakkus
glorify	anticipation	0.477	ülistama
submit	anticipation	0.477	Esita
enroll	anticipation	0.477	registreeruda
unification	anticipation	0.477	ühendamine
gravitate	anticipation	0.477	graviteerida
glide	anticipation	0.477	liuglema
accompaniment	anticipation	0.477	saatel
cherish	anticipation	0.477	kalliks pidama
adore	anticipation	0.477	jumaldan
powerful	anticipation	0.477	võimas
clue	anticipation	0.477	vihje
medal	anticipation	0.477	medal
contemplate	anticipation	0.477	mõtisklema
perilous	anticipation	0.477	ohtlik
determinate	anticipation	0.477	määrav
arbitration	anticipation	0.477	vahekohus
recipient	anticipation	0.477	saaja
onset	anticipation	0.477	algusega
predispose	anticipation	0.477	eelsoodustada
score	anticipation	0.477	skoor
torture	anticipation	0.477	piinamine
glow	anticipation	0.477	sära
praiseworthy	anticipation	0.473	kiiduväärt
football	anticipation	0.469	Jalgpall
scare	anticipation	0.469	hirmutama
elite	anticipation	0.469	eliit
unknown	anticipation	0.469	teadmata
precursor	anticipation	0.469	eelkäija
pry	anticipation	0.469	piiluma
providing	anticipation	0.469	pakkudes
sweets	anticipation	0.469	maiustusi
cautious	anticipation	0.469	ettevaatlik
opera	anticipation	0.469	ooper
motion	anticipation	0.469	liikumine
cash	anticipation	0.469	sularaha
creeping	anticipation	0.469	hiiliv
invoke	anticipation	0.469	kutsuda
star	anticipation	0.469	täht
shaky	anticipation	0.469	raputav
production	anticipation	0.469	tootmine
successful	anticipation	0.469	edukas
immediately	anticipation	0.469	kohe
dawn	anticipation	0.469	koit
starry	anticipation	0.469	tähine
unsurpassed	anticipation	0.469	ületamatu
completion	anticipation	0.469	lõpetamine
hire	anticipation	0.469	palgata
fete	anticipation	0.469	pidu
commemorative	anticipation	0.461	mälestusmärk
shining	anticipation	0.461	särav
testament	anticipation	0.461	testament
pay	anticipation	0.461	maksma
alive	anticipation	0.461	elus
plight	anticipation	0.461	raske olukord
preliminary	anticipation	0.461	esialgne
overture	anticipation	0.461	avamäng
sanctuary	anticipation	0.461	pühakoda
regatta	anticipation	0.461	regatt
draft	anticipation	0.461	mustand
synchronize	anticipation	0.461	sünkroonida
soundness	anticipation	0.461	mõistlikkus
extricate	anticipation	0.461	välja tõmmata
excel	anticipation	0.461	excel
punt	anticipation	0.461	punt
untold	anticipation	0.461	ütlemata
brilliant	anticipation	0.461	geniaalne
cheerfulness	anticipation	0.461	rõõmsameelsus
jeopardy	anticipation	0.461	ohtu
friendly	anticipation	0.461	sõbralik
mail	anticipation	0.461	mail
unexpected	anticipation	0.453	ootamatu
basketball	anticipation	0.453	korvpalli
inaugural	anticipation	0.453	avamine
supremacy	anticipation	0.453	ülemvõimu
rehabilitation	anticipation	0.453	taastusravi
intimately	anticipation	0.453	intiimselt
career	anticipation	0.453	karjääri
prevention	anticipation	0.453	ärahoidmine
renovate	anticipation	0.453	renoveerima
compliment	anticipation	0.453	kompliment
prologue	anticipation	0.453	proloog
elegance	anticipation	0.453	elegants
complement	anticipation	0.453	täiendada
flinch	anticipation	0.453	võpatama
infinity	anticipation	0.453	lõpmatus
perpetuity	anticipation	0.453	igavik
sunset	anticipation	0.453	päikeseloojang
improve	anticipation	0.453	parandada
fitting	anticipation	0.445	sobitamine
confidence	anticipation	0.445	enesekindlus
concealment	anticipation	0.445	varjamine
sweet	anticipation	0.445	magus
perfect	anticipation	0.445	täiuslik
epidemic	anticipation	0.445	epideemia
fain	anticipation	0.445	fain
volunteer	anticipation	0.445	vabatahtlik
share	anticipation	0.445	jagada
surround	anticipation	0.445	ümbritsema
conjecture	anticipation	0.445	oletus
sun	anticipation	0.445	päike
veracity	anticipation	0.445	tõepärasust
serial	anticipation	0.438	sari
angel	anticipation	0.438	ingel
aloha	anticipation	0.438	aloha
saint	anticipation	0.438	pühak
tickle	anticipation	0.438	kõditama
superstitious	anticipation	0.438	ebausklik
ferment	anticipation	0.438	käärima
conservation	anticipation	0.438	konserveerimine
devout	anticipation	0.438	usklik
respect	anticipation	0.438	lugupidamine
reconstruction	anticipation	0.438	rekonstrueerimine
goodness	anticipation	0.438	headus
reconstruct	anticipation	0.438	rekonstrueerida
faith	anticipation	0.438	usk
recombination	anticipation	0.438	rekombinatsioon
prepared	anticipation	0.438	ette valmistatud
rabid	anticipation	0.438	raevukas
plea	anticipation	0.438	väide
medical	anticipation	0.438	meditsiiniline
passenger	anticipation	0.438	reisija
charitable	anticipation	0.430	heategevuslik
tabulate	anticipation	0.430	tabeldada
peace	anticipation	0.430	rahu
install	anticipation	0.430	installida
serenity	anticipation	0.430	rahulikkus
venerable	anticipation	0.430	auväärne
spa	anticipation	0.430	spaa
labyrinth	anticipation	0.430	labürint
luscious	anticipation	0.430	imal
perpetuate	anticipation	0.430	põlistama
strategist	anticipation	0.430	strateeg
unverified	anticipation	0.430	kontrollimata
tribunal	anticipation	0.430	tribunal
clap	anticipation	0.430	plaksutama
peaceful	anticipation	0.422	rahumeelne
patience	anticipation	0.422	kannatust
unresolved	anticipation	0.422	lahendamata
worship	anticipation	0.422	jumalateenistus
edification	anticipation	0.422	ülesehitamine
oasis	anticipation	0.422	oaas
grin	anticipation	0.422	muigama
revere	anticipation	0.422	austama
candid	anticipation	0.422	avameelne
vista	anticipation	0.422	vista
conspirator	anticipation	0.422	vandenõulane
adrift	anticipation	0.422	triivima
recognizable	anticipation	0.422	äratuntav
volatility	anticipation	0.422	volatiilsus
forestall	anticipation	0.422	ennetada
laughter	anticipation	0.422	naer
continue	anticipation	0.414	jätka
ongoing	anticipation	0.414	jätkuv
astrologer	anticipation	0.414	astroloog
mediate	anticipation	0.414	vahendada
punctual	anticipation	0.414	täpne
grant	anticipation	0.414	toetus
morn	anticipation	0.414	hommik
pretty	anticipation	0.414	ilus
withstand	anticipation	0.414	vastu pidama
frisky	anticipation	0.414	särtsakas
thought	anticipation	0.414	arvasin
probation	anticipation	0.414	katseaeg
ordination	anticipation	0.414	ordineerimine
calls	anticipation	0.414	kõned
detainee	anticipation	0.414	kinnipeetav
craps	anticipation	0.414	jamad
weigh	anticipation	0.414	kaaluma
proficiency	anticipation	0.414	oskust
sing	anticipation	0.411	laulma
continuation	anticipation	0.406	jätk
university	anticipation	0.406	ülikool
chicane	anticipation	0.406	šikaan
nurture	anticipation	0.406	kasvatada
mother	anticipation	0.406	ema
punished	anticipation	0.406	karistada
twinkle	anticipation	0.406	särama
confession	anticipation	0.406	ülestunnistus
outdo	anticipation	0.406	ületada
prophylactic	anticipation	0.406	profülaktiline
proud	anticipation	0.406	uhke
midwife	anticipation	0.406	ämmaemand
wizard	anticipation	0.406	viisard
headlight	anticipation	0.406	esituli
long	anticipation	0.406	pikk
banquet	anticipation	0.406	bankett
comfort	anticipation	0.406	mugavus
navigable	anticipation	0.406	laevatatav
subscribe	anticipation	0.406	tellida
opponent	anticipation	0.406	vastane
debenture	anticipation	0.406	võlakiri
deal	anticipation	0.402	tegeleda
symphony	anticipation	0.398	sümfoonia
saintly	anticipation	0.398	pühalik
judiciary	anticipation	0.398	kohtusüsteem
lettered	anticipation	0.398	kirjaga
vigil	anticipation	0.398	valvamine
reliance	anticipation	0.398	sõltuvus
distracting	anticipation	0.398	häiriv
mortification	anticipation	0.398	surm
balm	anticipation	0.398	palsam
simmer	anticipation	0.398	hauta
top	anticipation	0.398	üleval
obliging	anticipation	0.398	kohustav
efficient	anticipation	0.398	tõhus
guillotine	anticipation	0.398	giljotiin
representing	anticipation	0.398	esindavad
death	anticipation	0.398	surma
assurance	anticipation	0.391	tagatis
familiarity	anticipation	0.391	tuttavlikkust
depraved	anticipation	0.391	rikutud
condemnation	anticipation	0.391	hukkamõist
undoubted	anticipation	0.391	kahtlemata
sanctify	anticipation	0.391	pühitsema
diplomacy	anticipation	0.391	diplomaatia
antidote	anticipation	0.391	vastumürk
trust	anticipation	0.391	usaldada
linger	anticipation	0.391	viivitada
objective	anticipation	0.391	objektiivne
chuckle	anticipation	0.391	naerma
poke	anticipation	0.391	torkima
abeyance	anticipation	0.391	ärajäämine
maternal	anticipation	0.391	emalik
art	anticipation	0.391	art
unfulfilled	anticipation	0.391	täitmata
inoculation	anticipation	0.384	nakatamine
simplify	anticipation	0.383	lihtsustama
depend	anticipation	0.383	sõltuvad
chant	anticipation	0.383	laulda
ram	anticipation	0.383	ram
banger	anticipation	0.383	paugutaja
playground	anticipation	0.383	mänguväljak
labor	anticipation	0.383	töö
scientist	anticipation	0.383	teadlane
good	anticipation	0.383	hea
humanitarian	anticipation	0.383	humanitaar
failing	anticipation	0.383	läbi kukkuma
hap	anticipation	0.383	juh
dutiful	anticipation	0.383	kohusetundlik
hymn	anticipation	0.383	hümn
ship	anticipation	0.383	laev
discretion	anticipation	0.383	diskreetsus
undecided	anticipation	0.383	otsustamata
gradual	anticipation	0.375	järkjärguline
navigator	anticipation	0.375	navigaator
track	anticipation	0.375	rada
cradle	anticipation	0.375	häll
sterling	anticipation	0.375	naelsterling
interim	anticipation	0.375	vahepealne
clock	anticipation	0.375	kella
mountain	anticipation	0.375	mägi
interminable	anticipation	0.375	lõputu
public	anticipation	0.375	avalik
recurrent	anticipation	0.375	korduv
savor	anticipation	0.375	maitsta
abide	anticipation	0.367	kinni pidama
concealed	anticipation	0.367	varjatud
spear	anticipation	0.367	oda
lesson	anticipation	0.367	õppetund
instructions	anticipation	0.367	juhiseid
sonar	anticipation	0.367	sonar
biennial	anticipation	0.367	kaheaastane
convince	anticipation	0.367	veenda
whim	anticipation	0.367	kapriis
shiver	anticipation	0.367	värisema
towering	anticipation	0.367	kõrguv
musical	anticipation	0.367	muusikaline
offset	anticipation	0.359	nihe
theory	anticipation	0.359	teooria
theology	anticipation	0.359	teoloogia
undying	anticipation	0.359	surematu
timidity	anticipation	0.359	pelglikkus
plump	anticipation	0.359	lihav
atone	anticipation	0.359	lepitama
audience	anticipation	0.357	publik
dietary	anticipation	0.352	dieedilised
consecration	anticipation	0.352	pühitsemine
localize	anticipation	0.352	lokaliseerida
paragon	anticipation	0.352	eeskujuks
store	anticipation	0.352	poodi
farm	anticipation	0.352	talu
daily	anticipation	0.352	iga päev
cramp	anticipation	0.352	kramp
nobility	anticipation	0.352	aadel
closure	anticipation	0.352	sulgemine
edition	anticipation	0.352	väljaanne
kindred	anticipation	0.352	sugulased
stripped	anticipation	0.344	kooritud
