English Word	Emotion	Emotion-Intensity-Score	Maltese Word
cancer	disgust	0.734	kanċer
obese	disgust	0.734	obeżi
degeneracy	disgust	0.734	deġenerazzjoni
despicable	disgust	0.734	jistmellu
atrocity	disgust	0.734	atroċità
foul	disgust	0.734	ħażin
sicken	disgust	0.734	marid
crucifixion	disgust	0.734	tislib
terrorism	disgust	0.734	terroriżmu
repulsion	disgust	0.727	repulsjoni
morbidity	disgust	0.727	morbożità
dysentery	disgust	0.727	diżinterija
enema	disgust	0.727	enema
bacterium	disgust	0.727	batterju
dirty	disgust	0.727	maħmuġ
adultery	disgust	0.727	adulterju
contamination	disgust	0.727	kontaminazzjoni
grisly	disgust	0.727	griż
diabolical	disgust	0.727	diabolika
autopsy	disgust	0.719	awtopsja
barbaric	disgust	0.719	barbaru
vulgar	disgust	0.719	vulgari
entrails	disgust	0.719	interjuri
disgust	disgust	0.719	stmerrija
lewd	disgust	0.719	lewd
muck	disgust	0.719	muck
bowels	disgust	0.719	imsaren
garbage	disgust	0.719	żibel
deterioration	disgust	0.719	deterjorazzjoni
contagion	disgust	0.719	kontaġju
vicious	disgust	0.719	vizzjuż
disfigured	disgust	0.719	sfigurat
pungent	disgust	0.719	punġenti
gross	disgust	0.719	gross
bloodshed	disgust	0.714	tixrid tad-demm
gag	disgust	0.711	gag
pollute	disgust	0.711	iniġġes
nausea	disgust	0.711	dardir
tyrant	disgust	0.711	tirann
wretched	disgust	0.711	miskin
mortification	disgust	0.711	mortifikazzjoni
violent	disgust	0.711	vjolenti
poisoned	disgust	0.711	ivvelenat
nauseate	disgust	0.703	dardir
slimy	disgust	0.703	immaxxen
grope	disgust	0.703	tgħawweġ
slut	disgust	0.703	slut
nasty	disgust	0.703	diżgustanti
disgusting	disgust	0.703	diżgustanti
depraved	disgust	0.703	depravat
porn	disgust	0.703	porn
hateful	disgust	0.703	mibegħda
vulgarity	disgust	0.703	vulgarità
noxious	disgust	0.703	noċivi
grime	disgust	0.703	grime
constipation	disgust	0.703	stitikezza
secretion	disgust	0.703	sekrezzjoni
poisoning	disgust	0.703	avvelenament
despotism	disgust	0.703	despotiżmu
measles	disgust	0.696	ħosba
contagious	disgust	0.695	li jittieħed
obesity	disgust	0.695	obeżità
wart	disgust	0.695	felul
hate	disgust	0.695	mibegħda
hellish	disgust	0.695	infernali
scum	disgust	0.695	ħmieġ
suicidal	disgust	0.695	suwiċidali
wretch	disgust	0.695	diżgrazzja
abuse	disgust	0.695	abbuż
waste	disgust	0.695	skart
intestinal	disgust	0.695	intestinali
heartworm	disgust	0.688	dudu tal-qalb
ooze	disgust	0.688	nixxef
treason	disgust	0.688	tradiment
contaminated	disgust	0.688	ikkontaminat
smut	disgust	0.688	smut
disease	disgust	0.688	mard
rabid	disgust	0.688	rabid
deformed	disgust	0.680	deformat
hell	disgust	0.680	infern
soulless	disgust	0.680	bla ruħ
cholera	disgust	0.680	kolera
bestial	disgust	0.680	bestjali
antichrist	disgust	0.680	antikrist
freakish	disgust	0.680	freakish
germ	disgust	0.680	raħs
detest	disgust	0.680	iddetesta
pollution	disgust	0.680	tniġġis
grimy	disgust	0.680	maħmuġ
abhorrent	disgust	0.680	mistkerr
hatred	disgust	0.680	mibegħda
abominate	disgust	0.680	abomina
sickness	disgust	0.680	mard
hideous	disgust	0.672	hideous
dictatorship	disgust	0.672	dittatorjat
loathful	disgust	0.672	mimli
greasy	disgust	0.672	żejtni
dilapidated	disgust	0.672	dilapidata
inhuman	disgust	0.672	inuman
loathing	disgust	0.672	debogħda
obscene	disgust	0.672	oxxen
cess	disgust	0.670	ċess
devil	disgust	0.664	xitan
deformity	disgust	0.664	deformità
nauseous	disgust	0.664	dardir
deadly	disgust	0.664	fatali
swine	disgust	0.664	ħnieżer
discrimination	disgust	0.664	diskriminazzjoni
abominable	disgust	0.664	abominabbli
masochism	disgust	0.664	masochism
heretic	disgust	0.664	eretiku
latrines	disgust	0.656	latrini
corruption	disgust	0.656	korruzzjoni
poisonous	disgust	0.656	velenuż
horror	disgust	0.656	orrur
nefarious	disgust	0.656	nefarious
bacteria	disgust	0.656	batterji
horrible	disgust	0.656	orribbli
trash	disgust	0.656	żibel
abortion	disgust	0.656	abort
death	disgust	0.656	mewt
prejudiced	disgust	0.656	preġudikat
poison	disgust	0.656	velenu
oppression	disgust	0.656	oppressjoni
goo	disgust	0.656	goo
victimized	disgust	0.656	vittimizzati
mange	disgust	0.656	mange
sludge	disgust	0.648	ħama
trashy	disgust	0.648	trashy
vindictive	disgust	0.648	vendikattiv
horrid	disgust	0.648	orribbli
ugly	disgust	0.648	ikrah
immoral	disgust	0.648	immorali
bitch	disgust	0.648	kelba
outhouse	disgust	0.648	barranija
detestation	disgust	0.648	detestazzjoni
horrifying	disgust	0.641	tal-biża'
laxative	disgust	0.641	lassattiv
unsightly	disgust	0.641	unsightly
derogatory	disgust	0.641	derogatorju
slop	disgust	0.641	slop
malfeasance	disgust	0.641	abbuż
spew	disgust	0.641	jitfa'
pimple	disgust	0.641	pimple
criminality	disgust	0.641	kriminalità
indecency	disgust	0.641	indeċenza
cystic	disgust	0.641	ċistika
villainous	disgust	0.641	villainous
queasy	disgust	0.633	imqalleb
mildew	disgust	0.633	moffa
oppressive	disgust	0.633	oppressiv
prostitution	disgust	0.633	prostituzzjoni
secrete	disgust	0.633	inixxi
ulcer	disgust	0.633	ulċera
rat	disgust	0.633	far
bigoted	disgust	0.633	bigotti
perpetrator	disgust	0.633	awtur
doomsday	disgust	0.633	doomsday
sinful	disgust	0.633	midneb
degrading	disgust	0.625	degradanti
ghastly	disgust	0.625	ghastly
suffering	disgust	0.625	tbatija
obscenity	disgust	0.625	oxxenità
devilish	disgust	0.625	devilish
disgraceful	disgust	0.625	għajb
persecution	disgust	0.625	persekuzzjoni
contemptible	disgust	0.625	disprezzabbli
cuckold	disgust	0.625	cuckold
stools	disgust	0.625	ippurgar
dastardly	disgust	0.625	mimli
sin	disgust	0.625	dnub
gluttony	disgust	0.625	glotonija
bloated	disgust	0.625	minfuħ
fungus	disgust	0.625	fungus
aghast	disgust	0.625	aghast
diaper	disgust	0.617	ħrieqi
malicious	disgust	0.617	malizzjuż
polygamy	disgust	0.617	poligamija
dying	disgust	0.617	imutu
termite	disgust	0.617	termite
fat	disgust	0.617	xaħam
deceit	disgust	0.617	qerq
atrocious	disgust	0.617	atroċi
guillotine	disgust	0.617	giljottina
tetanus	disgust	0.617	tetnu
spoil	disgust	0.617	jħassru
crusty	disgust	0.617	qoxra
sickly	disgust	0.617	morda
louse	disgust	0.617	qawl
strangle	disgust	0.617	strangle
betrayal	disgust	0.617	tradiment
loathe	disgust	0.617	iddejjaq
wench	disgust	0.617	wench
infect	disgust	0.617	jinfettaw
violently	disgust	0.609	vjolenti
brothel	disgust	0.609	burdell
drool	disgust	0.609	drool
bleeding	disgust	0.609	fsada
deform	disgust	0.609	jiddeforma
ghetto	disgust	0.609	ghetto
sabotage	disgust	0.609	sabotaġġ
venomous	disgust	0.609	velenuż
abhor	disgust	0.609	jistmerr
slander	disgust	0.609	malafama
hostile	disgust	0.609	ostili
musty	disgust	0.602	moffa
illicit	disgust	0.602	illeċitu
ugliness	disgust	0.602	ikrah
unwashed	disgust	0.602	mhux maħsul
swampy	disgust	0.602	swampy
deprivation	disgust	0.602	deprivazzjoni
poaching	disgust	0.602	kaċċa illegali
hag	disgust	0.602	hag
infidel	disgust	0.602	infidel
imprisonment	disgust	0.602	priġunerija
traitor	disgust	0.602	traditur
lunacy	disgust	0.602	lunacy
queasiness	disgust	0.594	tbatija
hostility	disgust	0.594	ostilità
repelling	disgust	0.594	repelling
intoxicated	disgust	0.594	xurbana
thug	disgust	0.594	thug
catastrophe	disgust	0.594	diżastru
lunatic	disgust	0.594	lunatic
misery	disgust	0.594	miżerja
venom	disgust	0.594	velenu
butcher	disgust	0.594	biċċier
toilet	disgust	0.594	toilet
blister	disgust	0.594	folja
lurid	disgust	0.594	lurid
slug	disgust	0.594	bugħarwien
gut	disgust	0.594	imsaren
sinner	disgust	0.594	midneb
deceitful	disgust	0.594	qarrieqa
epidemic	disgust	0.594	epidemija
deteriorated	disgust	0.586	iddeterjorat
lavatory	disgust	0.586	toilet
unclean	disgust	0.586	mhux nadif
prostitute	disgust	0.586	prostituta
incubus	disgust	0.586	inkubu
appalling	disgust	0.586	tal-biża'
dreadful	disgust	0.586	koroh
pornography	disgust	0.586	pornografija
harass	disgust	0.586	fastidju
squeamish	disgust	0.578	squeamish
expulsion	disgust	0.578	tkeċċija
unfaithful	disgust	0.578	infidili
offensive	disgust	0.578	offensiv
hypocrite	disgust	0.578	ipokrita
humiliating	disgust	0.578	umiljanti
larceny	disgust	0.578	serq
ruinous	disgust	0.578	ruinous
retard	disgust	0.578	retard
rash	disgust	0.578	raxx
flea	disgust	0.578	briegħed
debauchery	disgust	0.578	debauchery
fiend	disgust	0.578	fiend
quagmire	disgust	0.578	miċħud
conspirator	disgust	0.578	konspiratur
sick	disgust	0.578	morda
mangle	disgust	0.578	mangle
dogsick	disgust	0.570	klieb
egregious	disgust	0.570	egreġjuż
flog	disgust	0.570	flog
despise	disgust	0.570	tiddisprezza
treacherous	disgust	0.570	traditur
oppress	disgust	0.570	oppress
swamp	disgust	0.570	swamp
messy	disgust	0.570	messy
spit	disgust	0.570	bżiq
dank	disgust	0.570	mxarrba
bastard	disgust	0.570	bagħal
devastating	disgust	0.570	devastanti
serpent	disgust	0.570	serp
loo	disgust	0.562	loo
indecent	disgust	0.562	indiċenti
insanity	disgust	0.562	ġenn
stealing	disgust	0.562	serqet
terrible	disgust	0.562	terribbli
tyrannical	disgust	0.562	tiraniku
humiliation	disgust	0.562	umiljazzjoni
snake	disgust	0.562	serp
sloppy	disgust	0.562	traskurat
sinning	disgust	0.562	sinning
harmful	disgust	0.562	li jagħmel ħsara
harlot	disgust	0.562	prostituta
sordid	disgust	0.562	sordid
enemy	disgust	0.562	ghadu
alcoholism	disgust	0.562	alkoħoliżmu
awful	disgust	0.562	orribbli
ruthless	disgust	0.562	bla ħniena
scoundrel	disgust	0.562	qarn
bloody	disgust	0.555	imdemmi
flabby	disgust	0.555	flabby
odious	disgust	0.555	odjuż
beastly	disgust	0.555	beastly
collusion	disgust	0.555	kollużjoni
ridicule	disgust	0.555	redikolu
discriminating	disgust	0.555	li jiddiskriminaw
unattractive	disgust	0.555	mhux attraenti
insufferable	disgust	0.555	insufrabbli
segregate	disgust	0.555	tissegrega
arsenic	disgust	0.555	arseniku
threatening	disgust	0.555	thedded
atrophy	disgust	0.555	atrofija
varicella	disgust	0.555	varicella
slayer	disgust	0.555	qattiel
distaste	disgust	0.555	disgust
coward	disgust	0.555	kodard
robbery	disgust	0.555	serq
wickedness	disgust	0.555	ħażen
anathema	disgust	0.547	anatema
malevolent	disgust	0.547	malevoli
sty	disgust	0.547	sty
pillage	disgust	0.547	pill
thief	disgust	0.547	ħalliel
suffocating	disgust	0.547	soffokanti
condemnation	disgust	0.547	kundanna
deleterious	disgust	0.547	ta' ħsara
slur	disgust	0.547	slur
purgatory	disgust	0.547	purgatorju
attacking	disgust	0.547	jattakkaw
burglar	disgust	0.547	serq
ogre	disgust	0.547	ogre
coercion	disgust	0.547	sfurzar
vesicular	disgust	0.547	vesikulari
miserable	disgust	0.547	miserable
bitterly	disgust	0.547	bl-imrar
sneer	disgust	0.539	sneer
greedy	disgust	0.539	regħba
gob	disgust	0.539	gob
repellant	disgust	0.539	repellant
jealous	disgust	0.539	jealous
drunken	disgust	0.539	fis-sakra
shame	disgust	0.539	mistħija
thrash	disgust	0.539	thrash
fatty	disgust	0.539	xaħmi
liar	disgust	0.539	giddieb
imprisoned	disgust	0.539	ħabs
sloth	disgust	0.539	nażap
repudiation	disgust	0.539	ċaħda
disgrace	disgust	0.539	għajb
infidelity	disgust	0.539	infedeltà
pig	disgust	0.539	ħanżir
lethal	disgust	0.536	letali
burnt	disgust	0.531	maħruqa
brawl	disgust	0.531	ġlied
withered	disgust	0.531	nixfu
blemish	disgust	0.531	tbajja
hydrocephalus	disgust	0.531	idroċefalu
aberration	disgust	0.531	aberrazzjoni
smuggler	disgust	0.531	kuntrabandista
painful	disgust	0.531	bl-uġigħ
condescension	disgust	0.531	kondexxendenza
intolerant	disgust	0.531	intolleranti
blasphemous	disgust	0.531	blasfemu
lying	disgust	0.531	gideb
hanging	disgust	0.531	mdendlin
travesty	disgust	0.531	travesti
ruined	disgust	0.531	ruined
intrusive	disgust	0.531	intrużiva
disintegrate	disgust	0.531	jiddiżintegraw
destructive	disgust	0.531	distruttiv
neurotic	disgust	0.531	newrotiku
disparaging	disgust	0.523	disprezzanti
blighted	disgust	0.523	blighted
intolerance	disgust	0.523	intolleranza
mistress	disgust	0.523	mistress
avarice	disgust	0.523	avarizzja
disgraced	disgust	0.523	disgraced
derogation	disgust	0.523	deroga
rubbish	disgust	0.523	żibel
accusation	disgust	0.523	akkuża
incarceration	disgust	0.523	ħabs
tortious	disgust	0.516	tortious
dishonor	disgust	0.516	diżunur
stink	disgust	0.516	tinten
grim	disgust	0.516	skura
rob	disgust	0.516	jisraq
defraud	disgust	0.516	frodi
sump	disgust	0.516	sump
cringe	disgust	0.516	tgħawweġ
vulture	disgust	0.516	avultun
deplorable	disgust	0.516	deplorevoli
mite	disgust	0.516	dudu
eradication	disgust	0.516	eradikazzjoni
degrade	disgust	0.516	jiddegradaw
gutter	disgust	0.516	kanal
convict	disgust	0.516	kundanna
remains	disgust	0.516	jibqa’
betray	disgust	0.516	ittradixxi
daemon	disgust	0.516	daemon
sham	disgust	0.509	finta
distasteful	disgust	0.508	disgustat
prisoner	disgust	0.508	priġunier
dreadfully	disgust	0.508	tal-biża’
worthless	disgust	0.508	bla valur
crude	disgust	0.508	mhux raffinat
delirium	disgust	0.508	delirju
incurable	disgust	0.508	inkurabbli
smelling	disgust	0.508	jinxtammu
idiocy	disgust	0.508	idiocy
resentment	disgust	0.508	riżentiment
bombed	disgust	0.508	ibbumbardjat
blob	disgust	0.508	blob
cheat	disgust	0.508	iqarrqu
schizophrenia	disgust	0.508	skizofrenija
rejection	disgust	0.508	rifjut
belittle	disgust	0.508	belittle
glut	disgust	0.508	glut
disaster	disgust	0.508	diżastru
distress	disgust	0.508	dwejjaq
pest	disgust	0.508	pesti
endemic	disgust	0.508	endemiku
theft	disgust	0.500	serq
banish	disgust	0.500	tkeċċi
mire	disgust	0.500	mire
flagrant	disgust	0.500	flagranti
derision	disgust	0.500	deriżjoni
dirt	disgust	0.500	ħmieġ
screaming	disgust	0.500	jgħajjat
offense	disgust	0.500	reat
jealousy	disgust	0.500	għira
bribery	disgust	0.500	tixħim
polemic	disgust	0.500	polemika
blight	disgust	0.500	seħta
impeach	disgust	0.500	impeach
bitterness	disgust	0.500	imrar
taboo	disgust	0.500	tabù
duress	disgust	0.500	tensjoni
goblin	disgust	0.500	goblin
shackle	disgust	0.500	qaxxar
idolatry	disgust	0.500	idolatrija
greed	disgust	0.500	regħba
impurity	disgust	0.500	impurità
tirade	disgust	0.500	tirata
idiot	disgust	0.492	idjota
boil	disgust	0.492	għalli
unconscionable	disgust	0.492	bla sens
disreputable	disgust	0.492	bla reputazzjoni
robber	disgust	0.492	ħalliel
malign	disgust	0.492	malign
wreck	disgust	0.492	relitt
recession	disgust	0.492	riċessjoni
gorge	disgust	0.492	gorge
leer	disgust	0.492	leer
ill	disgust	0.492	marid
squirm	disgust	0.492	squirm
raging	disgust	0.484	raging
servile	disgust	0.484	servili
mess	disgust	0.484	mess
nappy	disgust	0.484	ħrieqi
possessed	disgust	0.484	posseduti
unbearable	disgust	0.484	insopportabbli
occult	disgust	0.484	okkult
contraband	disgust	0.484	kuntrabandu
snarl	disgust	0.484	snarl
mutiny	disgust	0.484	ammutinament
mad	disgust	0.484	ġenn
affliction	disgust	0.484	afflizzjoni
stain	disgust	0.484	tebgħa
animosity	disgust	0.484	animosity
contempt	disgust	0.484	disprezz
tramp	disgust	0.484	tramp
nepotism	disgust	0.484	nepotiżmu
disrespectful	disgust	0.484	bla rispett
defamation	disgust	0.484	malafama
inexcusable	disgust	0.484	bla skuża
aversation	disgust	0.484	avversjoni
wasteful	disgust	0.484	ħela
offender	disgust	0.484	ħati
subjugation	disgust	0.484	subjugation
illegality	disgust	0.477	illegalità
dismal	disgust	0.477	diżastruż
criminal	disgust	0.477	kriminali
unpleasant	disgust	0.477	spjaċevoli
palsy	disgust	0.477	paraliżi
antagonistic	disgust	0.477	antagonistiku
pathetic	disgust	0.477	patetiku
uncaring	disgust	0.477	bla ħsieb
suppression	disgust	0.477	soppressjoni
immorality	disgust	0.477	immoralità
mockery	disgust	0.477	moqrija
outrage	disgust	0.469	għajb
mocking	disgust	0.469	mocking
wallow	disgust	0.469	walllow
cough	disgust	0.469	sogħla
arrogant	disgust	0.469	arroganti
angry	disgust	0.469	rrabjata
poverty	disgust	0.469	faqar
grating	disgust	0.469	ħakk
livid	disgust	0.469	livid
aggravation	disgust	0.469	aggravament
repellent	disgust	0.469	repellent
perspiration	disgust	0.469	għaraq
banishment	disgust	0.469	tkeċċija
furious	disgust	0.469	furjuż
shoddy	disgust	0.469	shoddy
banshee	disgust	0.469	banshee
deceive	disgust	0.461	iqarraq
fool	disgust	0.461	iqarqu
quack	disgust	0.461	quak
distorted	disgust	0.461	mgħawġa
spider	disgust	0.461	brimba
unjustifiable	disgust	0.461	inġustifikabbli
deplore	disgust	0.461	jiddeplora
spurious	disgust	0.461	spurju
perdition	disgust	0.461	perdizzjoni
muddy	disgust	0.461	tajn
fraudulent	disgust	0.461	frawdolenti
scar	disgust	0.461	ċikatriċi
prick	disgust	0.461	prick
insulting	disgust	0.461	insulenti
plunder	disgust	0.461	serq
recklessness	disgust	0.461	imprudenza
stigma	disgust	0.453	stigma
disparage	disgust	0.453	jiddisprezza
unthinkable	disgust	0.453	inkonċepibbli
disingenuous	disgust	0.453	diżingenu
bane	disgust	0.453	bane
dishonest	disgust	0.453	diżonest
aphid	disgust	0.453	afidi
elimination	disgust	0.453	eliminazzjoni
cur	disgust	0.453	cur
selfish	disgust	0.453	egoist
eschew	disgust	0.453	jaħrab
dire	disgust	0.453	dire
indignation	disgust	0.453	indignazzjoni
antipathy	disgust	0.453	antipatija
alienate	disgust	0.453	jaljenaw
mosquito	disgust	0.445	nemus
piles	disgust	0.445	munzelli
pious	disgust	0.445	pious
lie	disgust	0.445	gidba
opium	disgust	0.445	oppju
smell	disgust	0.445	riħa
iniquity	disgust	0.445	l-inkwità
caries	disgust	0.445	karies
despair	disgust	0.445	disprament
recalcitrant	disgust	0.445	recalcitrant
egotistical	disgust	0.445	egotista
wasted	disgust	0.445	moħli
vacuous	disgust	0.445	vakwu
bankruptcy	disgust	0.445	falliment
garish	disgust	0.445	garish
obnoxious	disgust	0.438	diżgustanti
ashamed	disgust	0.438	mistħija
abject	disgust	0.438	abject
sticky	disgust	0.438	twaħħal
scream	disgust	0.438	scream
hopelessness	disgust	0.438	nuqqas ta’ tama
homeless	disgust	0.438	bla dar
shun	disgust	0.438	tevita
inmate	disgust	0.438	priġunier
alien	disgust	0.438	barrani
hog	disgust	0.438	hog
aversion	disgust	0.438	stmerrija
abnormal	disgust	0.438	anormali
cursing	disgust	0.430	saħta
undesirable	disgust	0.430	mhux mixtieqa
denounce	disgust	0.430	jiddenunzja
witch	disgust	0.430	saħħara
creature	disgust	0.430	kreatura
lusty	disgust	0.430	lusty
illegal	disgust	0.430	illegali
debris	disgust	0.430	debris
callous	disgust	0.430	callous
reflux	disgust	0.430	rifluss
adverse	disgust	0.430	avvers
shameless	disgust	0.430	bla mistħija
separatist	disgust	0.430	separatista
trickery	disgust	0.430	qarrieqa
falsity	disgust	0.430	falsità
pall	disgust	0.430	pall
defiance	disgust	0.430	sfida
incredulous	disgust	0.430	inkredibbli
curse	disgust	0.430	saħta
pompous	disgust	0.422	pompuż
socialist	disgust	0.422	soċjalista
mistrust	disgust	0.422	nuqqas ta’ fiduċja
infantile	disgust	0.422	infantili
wasting	disgust	0.422	ħela
hairy	disgust	0.422	bil-pil
nicotine	disgust	0.422	nikotina
denunciation	disgust	0.422	denunzja
collapse	disgust	0.422	kollass
untidy	disgust	0.422	traskurat
ferocious	disgust	0.422	feroċi
ammonia	disgust	0.422	ammonja
carelessness	disgust	0.422	traskuraġni
impure	disgust	0.422	impur
contentious	disgust	0.422	kontenzjuż
bum	disgust	0.422	bum
affront	disgust	0.422	affront
offend	disgust	0.422	joffendi
tarnish	disgust	0.422	ittebba
idiotic	disgust	0.422	idjotiku
badness	disgust	0.422	ħażen
delinquent	disgust	0.422	delinkwenti
swarm	disgust	0.422	għamillu
hypertrophy	disgust	0.422	ipertrofija
gush	disgust	0.422	gush
tasteless	disgust	0.422	bla togħma
bovine	disgust	0.422	bovina
slush	disgust	0.422	slush
litigious	disgust	0.414	litiġjużi
dishonesty	disgust	0.414	diżonestà
vegetative	disgust	0.414	veġetattiv
unfavorable	disgust	0.414	sfavorevoli
displacency	disgust	0.414	spostament
illegitimate	disgust	0.414	illeġittimu
sour	disgust	0.414	qarsa
socialism	disgust	0.414	soċjaliżmu
disobey	disgust	0.414	ma jobdix
drivel	disgust	0.414	xprun
vampire	disgust	0.414	vampire
neglected	disgust	0.414	traskurat
murky	disgust	0.414	imċajpra
ignorant	disgust	0.406	injorant
disgruntled	disgust	0.406	disgruntled
discontinuity	disgust	0.406	diskontinwità
dislike	disgust	0.406	dislike
unlawful	disgust	0.406	illegali
wrongdoing	disgust	0.406	għemil ħażin
shoplifting	disgust	0.406	serq minn ħwienet
recidivism	disgust	0.406	reċediv
outcast	disgust	0.406	imwarrab
bogus	disgust	0.406	falz
displeasure	disgust	0.406	dispjaċir
repel	disgust	0.406	jirripellaw
falsify	disgust	0.406	iffalsifika
ungrateful	disgust	0.406	ingrati
unkind	disgust	0.406	bla qalb tajba
phony	disgust	0.406	falz
prosecution	disgust	0.406	prosekuzzjoni
woe	disgust	0.398	gwaj
averse	disgust	0.398	avversarji
loon	disgust	0.398	loon
worsening	disgust	0.398	tmur għall-agħar
paucity	disgust	0.398	skarsezza
unnatural	disgust	0.398	mhux naturali
amphetamines	disgust	0.398	amfetamini
senseless	disgust	0.398	bla sens
rigor	disgust	0.398	rigorożità
subvert	disgust	0.398	subverti
failure	disgust	0.398	falliment
lick	disgust	0.398	lagħaq
unruly	disgust	0.398	indisciplinat
woefully	disgust	0.398	weefully
stingy	disgust	0.398	stingy
crushing	disgust	0.398	tgħaffiġ
disdain	disgust	0.398	disprezz
insult	disgust	0.393	insult
averseness	disgust	0.391	avversità
disrelish	disgust	0.391	disrelish
punished	disgust	0.391	ikkastigat
critter	disgust	0.391	critter
damage	disgust	0.391	ħsara
scorpion	disgust	0.391	skorpjun
diatribe	disgust	0.391	dijatriba
muff	disgust	0.391	muff
farcical	disgust	0.391	farsiku
antisocial	disgust	0.391	antisoċjali
hardened	disgust	0.391	imwebbes
punishment	disgust	0.391	kastig
bad	disgust	0.391	ħażin
expel	disgust	0.391	tkeċċi
surly	disgust	0.383	surly
lament	disgust	0.383	lament
illiterate	disgust	0.383	illitterat
divorce	disgust	0.383	divorzju
teeming	disgust	0.383	teeming
plagiarism	disgust	0.383	plaġjariżmu
eviction	disgust	0.383	żgumbrament
orc	disgust	0.383	ork
disappoint	disgust	0.383	jiddiżappunta
shabby	disgust	0.383	shabby
presumptuous	disgust	0.383	preżuntuż
anaconda	disgust	0.383	anakonda
discord	disgust	0.383	inkwiet
guilt	disgust	0.383	ħtija
fugitive	disgust	0.383	maħrub
irrational	disgust	0.383	irrazzjonali
adder	disgust	0.383	adder
fulsome	disgust	0.383	fulsome
sacrifices	disgust	0.383	sagrifiċċji
hypocritical	disgust	0.383	ipokrita
shock	disgust	0.375	xokk
alienation	disgust	0.375	aljenazzjoni
scoff	disgust	0.375	jisfaw
plight	disgust	0.375	qagħda mwiegħra
irritation	disgust	0.375	irritazzjoni
unworthy	disgust	0.375	indenja
misconduct	disgust	0.375	imġieba ħażina
defective	disgust	0.375	difettuż
blame	disgust	0.375	tort
depressing	disgust	0.375	deprimenti
dislocated	disgust	0.375	żlokat
irritating	disgust	0.375	irritanti
vainly	disgust	0.367	vainly
toad	disgust	0.367	toad
powerless	disgust	0.367	bla saħħa
coerce	disgust	0.367	sfurzar
shuddering	disgust	0.367	shuddering
stripped	disgust	0.367	imqaxxar
revoke	disgust	0.367	tirrevoka
wimpy	disgust	0.367	wimpy
unhealthy	disgust	0.367	ħżiena għas-saħħa
exclusion	disgust	0.367	esklużjoni
disillusionment	disgust	0.367	diżillużjoni
blatant	disgust	0.367	sfaċċat
hurtful	disgust	0.367	li jweġġgħu
hoax	disgust	0.367	ingann
wimp	disgust	0.367	wimp
cad	disgust	0.367	kad
pitfall	disgust	0.367	nasba
squelch	disgust	0.367	squelch
deserted	disgust	0.359	abbandunat
damn	disgust	0.359	kkritikat
incompatible	disgust	0.359	inkompatibbli
dispose	disgust	0.359	jiddisponi
oddity	disgust	0.359	strambi
rebellion	disgust	0.359	ribelljoni
ineptitude	disgust	0.359	inettitudine
bug	disgust	0.359	bug
disobedience	disgust	0.359	diżubbidjenza
inept	disgust	0.352	inetti
litigate	disgust	0.352	litiga
dismissal	disgust	0.352	tkeċċija
cutting	disgust	0.352	qtugħ
untoward	disgust	0.352	ħażin
displeased	disgust	0.352	dispjaċir
censor	disgust	0.352	jiċċensuraw
ridiculous	disgust	0.352	redikoli
compost	disgust	0.352	kompost
frustrate	disgust	0.352	jiffrustraw
misbehavior	disgust	0.352	imġieba ħażina
lawyer	disgust	0.352	Avukat
crushed	disgust	0.352	imfarrak
flesh	disgust	0.352	laħam
uncertain	disgust	0.352	inċert
obi	disgust	0.352	obi
flinch	disgust	0.352	tfixkel
fierce	disgust	0.352	ħarxa
wrongful	disgust	0.352	inġusta
depreciate	disgust	0.344	jiddeprezzaw
disapprove	disgust	0.344	ma japprovax
tearful	disgust	0.344	bid-dmugħ
grumble	disgust	0.336	igergru
unsettled	disgust	0.336	mhux sod
annoy	disgust	0.336	iddejjaq
exigent	disgust	0.336	esiġenti
heartsick	disgust	0.336	qalbhom
lawsuit	disgust	0.336	kawża
discoloration	disgust	0.336	kulur
lumpy	disgust	0.336	ċapep
daft	disgust	0.336	daft
blunder	disgust	0.336	tfixkil
discontent	disgust	0.336	skuntentizza
bickering	disgust	0.336	battibekki
thoughtless	disgust	0.336	bla ħsieb
disliked	disgust	0.336	ma għoġbitx
disinclination	disgust	0.336	diżinklinazzjoni
distrust	disgust	0.336	nuqqas ta’ fiduċja
disallowed	disgust	0.336	mhux permess
instability	disgust	0.328	instabbiltà
hydrophobia	disgust	0.328	idrofobija
whine	disgust	0.328	whine
inhibit	disgust	0.328	jinibixxi
excluded	disgust	0.328	esklużi
provoking	disgust	0.328	jipprovoka
grievance	disgust	0.328	ilment
unmanageable	disgust	0.328	inmaniġġabbli
sly	disgust	0.328	imqareb
exasperation	disgust	0.328	eżasperazzjoni
cacophony	disgust	0.328	kakofonija
unsatisfactory	disgust	0.328	mhux sodisfaċenti
disappointed	disgust	0.328	diżappuntat
materialist	disgust	0.328	materjalista
misleading	disgust	0.321	qarrieqa
mishap	disgust	0.320	inċident
soot	disgust	0.320	nugrufun
humbug	disgust	0.320	humbug
disclaim	disgust	0.320	jiċħad
annoyance	disgust	0.320	dwejjaq
disapproving	disgust	0.320	ma japprovawx
disservice	disgust	0.320	diżservizz
reproach	disgust	0.320	tmaqdar
confined	disgust	0.320	ristrett
unequal	disgust	0.320	mhux ugwali
rags	disgust	0.320	ċraret
groan	disgust	0.320	tigħajjat
soil	disgust	0.312	ħamrija
inappropriate	disgust	0.312	mhux xieraq
criticize	disgust	0.312	tikkritika
