English Word	Emotion	Emotion-Intensity-Score	French Word
elite	anticipation	0.469	élite
unknown	anticipation	0.469	inconnue
precursor	anticipation	0.469	précurseur
pry	anticipation	0.469	faire levier
providing	anticipation	0.469	fournir
sweets	anticipation	0.469	bonbons
cautious	anticipation	0.469	prudent
opera	anticipation	0.469	opéra
motion	anticipation	0.469	mouvement
cash	anticipation	0.469	en espèces
creeping	anticipation	0.469	rampant
invoke	anticipation	0.469	invoquer
star	anticipation	0.469	étoile
shaky	anticipation	0.469	précaire
production	anticipation	0.469	production
successful	anticipation	0.469	couronné de succès
immediately	anticipation	0.469	immédiatement
dawn	anticipation	0.469	aube
starry	anticipation	0.469	étoilé
unsurpassed	anticipation	0.469	inégalé
completion	anticipation	0.469	achèvement
hire	anticipation	0.469	embaucher
fete	anticipation	0.469	fête
commemorative	anticipation	0.461	commémoratif
shining	anticipation	0.461	brillant
testament	anticipation	0.461	testament
pay	anticipation	0.461	Payer
alive	anticipation	0.461	vivant
plight	anticipation	0.461	situation critique
preliminary	anticipation	0.461	préliminaire
overture	anticipation	0.461	ouverture
sanctuary	anticipation	0.461	sanctuaire
regatta	anticipation	0.461	régate
draft	anticipation	0.461	Brouillon
synchronize	anticipation	0.461	synchroniser
soundness	anticipation	0.461	solidité
extricate	anticipation	0.461	dégager
excel	anticipation	0.461	exceller
punt	anticipation	0.461	coup de volée
untold	anticipation	0.461	indescriptible
brilliant	anticipation	0.461	génial
cheerfulness	anticipation	0.461	gaieté
jeopardy	anticipation	0.461	péril
friendly	anticipation	0.461	amical
mail	anticipation	0.461	courrier
unexpected	anticipation	0.453	inattendu
basketball	anticipation	0.453	basket
inaugural	anticipation	0.453	inaugural
supremacy	anticipation	0.453	suprématie
rehabilitation	anticipation	0.453	réhabilitation
intimately	anticipation	0.453	intimement
career	anticipation	0.453	carrière
prevention	anticipation	0.453	la prévention
renovate	anticipation	0.453	rénover
compliment	anticipation	0.453	compliment
prologue	anticipation	0.453	prologue
elegance	anticipation	0.453	élégance
complement	anticipation	0.453	complément
flinch	anticipation	0.453	reculer
infinity	anticipation	0.453	infini
perpetuity	anticipation	0.453	perpétuité
sunset	anticipation	0.453	le coucher du soleil
improve	anticipation	0.453	améliorer
fitting	anticipation	0.445	raccord
confidence	anticipation	0.445	confiance
concealment	anticipation	0.445	dissimulation
sweet	anticipation	0.445	sucré
perfect	anticipation	0.445	parfait
epidemic	anticipation	0.445	épidémie
fain	anticipation	0.445	évanoui
volunteer	anticipation	0.445	bénévole
share	anticipation	0.445	partager
surround	anticipation	0.445	entourer
conjecture	anticipation	0.445	conjecture
sun	anticipation	0.445	Soleil
veracity	anticipation	0.445	véracité
serial	anticipation	0.438	en série
angel	anticipation	0.438	ange
aloha	anticipation	0.438	aloha
saint	anticipation	0.438	Saint
tickle	anticipation	0.438	chatouiller
superstitious	anticipation	0.438	superstitieux
ferment	anticipation	0.438	fermenter
conservation	anticipation	0.438	conservation
devout	anticipation	0.438	pieux
respect	anticipation	0.438	respect
reconstruction	anticipation	0.438	reconstruction
goodness	anticipation	0.438	bonté
reconstruct	anticipation	0.438	reconstruire
faith	anticipation	0.438	Foi
recombination	anticipation	0.438	recombinaison
prepared	anticipation	0.438	préparé
rabid	anticipation	0.438	enragé
plea	anticipation	0.438	plaidoyer
medical	anticipation	0.438	médical
passenger	anticipation	0.438	passager
charitable	anticipation	0.430	charitable
tabulate	anticipation	0.430	tabuler
peace	anticipation	0.430	paix
install	anticipation	0.430	installer
serenity	anticipation	0.430	sérénité
venerable	anticipation	0.430	vénérable
spa	anticipation	0.430	spa
labyrinth	anticipation	0.430	labyrinthe
luscious	anticipation	0.430	succulent
perpetuate	anticipation	0.430	perpétuer
strategist	anticipation	0.430	stratège
unverified	anticipation	0.430	non vérifié
tribunal	anticipation	0.430	tribunal
clap	anticipation	0.430	taper
peaceful	anticipation	0.422	pacifique
patience	anticipation	0.422	patience
unresolved	anticipation	0.422	non résolu
worship	anticipation	0.422	culte
edification	anticipation	0.422	édification
oasis	anticipation	0.422	oasis
grin	anticipation	0.422	sourire
revere	anticipation	0.422	révérer
candid	anticipation	0.422	Candide
vista	anticipation	0.422	vue
conspirator	anticipation	0.422	conspirateur
adrift	anticipation	0.422	à la dérive
recognizable	anticipation	0.422	reconnaissable
volatility	anticipation	0.422	volatilité
forestall	anticipation	0.422	devancer
laughter	anticipation	0.422	rire
continue	anticipation	0.414	Continuez
ongoing	anticipation	0.414	en cours
astrologer	anticipation	0.414	astrologue
mediate	anticipation	0.414	médiat
punctual	anticipation	0.414	ponctuelle
grant	anticipation	0.414	accorder
morn	anticipation	0.414	matin
pretty	anticipation	0.414	jolie
withstand	anticipation	0.414	résister
frisky	anticipation	0.414	fringant
thought	anticipation	0.414	pensait
probation	anticipation	0.414	probation
ordination	anticipation	0.414	ordination
calls	anticipation	0.414	appels
detainee	anticipation	0.414	détenu
craps	anticipation	0.414	craps
weigh	anticipation	0.414	peser
proficiency	anticipation	0.414	compétence
sing	anticipation	0.411	chanter
continuation	anticipation	0.406	continuation
university	anticipation	0.406	université
chicane	anticipation	0.406	chicane
nurture	anticipation	0.406	nourrir
mother	anticipation	0.406	mère
punished	anticipation	0.406	puni
twinkle	anticipation	0.406	scintillement
confession	anticipation	0.406	confession
outdo	anticipation	0.406	surpasser
prophylactic	anticipation	0.406	prophylactique
proud	anticipation	0.406	fier
midwife	anticipation	0.406	sage-femme
wizard	anticipation	0.406	sorcier
headlight	anticipation	0.406	phare
long	anticipation	0.406	long
banquet	anticipation	0.406	banquet
comfort	anticipation	0.406	confort
navigable	anticipation	0.406	navigable
subscribe	anticipation	0.406	s'abonner
opponent	anticipation	0.406	adversaire
debenture	anticipation	0.406	débenture
deal	anticipation	0.402	accord
symphony	anticipation	0.398	symphonie
saintly	anticipation	0.398	saint
judiciary	anticipation	0.398	judiciaire
lettered	anticipation	0.398	lettré
vigil	anticipation	0.398	veillée
reliance	anticipation	0.398	dépendance
distracting	anticipation	0.398	distrayant
mortification	anticipation	0.398	mortification
balm	anticipation	0.398	baume
simmer	anticipation	0.398	mijoter
top	anticipation	0.398	Haut
obliging	anticipation	0.398	obligeant
efficient	anticipation	0.398	efficace
guillotine	anticipation	0.398	guillotine
representing	anticipation	0.398	représentant
death	anticipation	0.398	décès
assurance	anticipation	0.391	assurance
familiarity	anticipation	0.391	familiarité
depraved	anticipation	0.391	dépravé
condemnation	anticipation	0.391	condamnation
undoubted	anticipation	0.391	indubitable
sanctify	anticipation	0.391	sanctifier
diplomacy	anticipation	0.391	diplomatie
antidote	anticipation	0.391	antidote
trust	anticipation	0.391	confiance
linger	anticipation	0.391	s'attarder
objective	anticipation	0.391	objectif
chuckle	anticipation	0.391	glousser
poke	anticipation	0.391	poussée
abeyance	anticipation	0.391	situation en suspens
maternal	anticipation	0.391	maternel
art	anticipation	0.391	art
unfulfilled	anticipation	0.391	insatisfait
inoculation	anticipation	0.384	inoculation
simplify	anticipation	0.383	simplifier
depend	anticipation	0.383	dépendre
chant	anticipation	0.383	chant
ram	anticipation	0.383	RAM
banger	anticipation	0.383	pétard
playground	anticipation	0.383	terrain de jeux
labor	anticipation	0.383	travail
scientist	anticipation	0.383	scientifique
good	anticipation	0.383	bien
humanitarian	anticipation	0.383	humanitaire
failing	anticipation	0.383	échouer
hap	anticipation	0.383	heureusement
dutiful	anticipation	0.383	respectueux
hymn	anticipation	0.383	hymne
ship	anticipation	0.383	bateau
discretion	anticipation	0.383	discrétion
undecided	anticipation	0.383	indécis
gradual	anticipation	0.375	graduel
navigator	anticipation	0.375	navigateur
track	anticipation	0.375	Piste
cradle	anticipation	0.375	berceau
sterling	anticipation	0.375	sterling
interim	anticipation	0.375	intérimaire
clock	anticipation	0.375	l'horloge
mountain	anticipation	0.375	Montagne
interminable	anticipation	0.375	interminable
public	anticipation	0.375	Publique
recurrent	anticipation	0.375	récurrent
savor	anticipation	0.375	saveur
abide	anticipation	0.367	se conformer
concealed	anticipation	0.367	caché
spear	anticipation	0.367	lance
lesson	anticipation	0.367	leçon
instructions	anticipation	0.367	des instructions
sonar	anticipation	0.367	sonar
biennial	anticipation	0.367	biennal
convince	anticipation	0.367	convaincre
whim	anticipation	0.367	caprice
shiver	anticipation	0.367	frisson
towering	anticipation	0.367	imposant
musical	anticipation	0.367	musical
offset	anticipation	0.359	décalage
theory	anticipation	0.359	la théorie
theology	anticipation	0.359	théologie
undying	anticipation	0.359	éternel
timidity	anticipation	0.359	timidité
plump	anticipation	0.359	dodu
atone	anticipation	0.359	expier
audience	anticipation	0.357	spectateurs
dietary	anticipation	0.352	diététique
consecration	anticipation	0.352	consécration
localize	anticipation	0.352	localiser
paragon	anticipation	0.352	parangon
store	anticipation	0.352	boutique
farm	anticipation	0.352	cultiver
daily	anticipation	0.352	du quotidien
cramp	anticipation	0.352	crampe
nobility	anticipation	0.352	la noblesse
closure	anticipation	0.352	fermeture
edition	anticipation	0.352	édition
kindred	anticipation	0.352	parenté
stripped	anticipation	0.344	dépouillé
errand	anticipation	0.344	course
archaeology	anticipation	0.344	archéologie
mutable	anticipation	0.344	mutable
wireless	anticipation	0.344	sans fil
meditate	anticipation	0.344	méditer
mobile	anticipation	0.344	portable
germ	anticipation	0.336	germe
brotherly	anticipation	0.336	fraternel
lessen	anticipation	0.336	réduire
unbeaten	anticipation	0.336	invaincu
pare	anticipation	0.336	rogner
buddy	anticipation	0.336	copain
unaccountable	anticipation	0.336	inexplicable
dove	anticipation	0.328	Colombe
patient	anticipation	0.328	patient
secular	anticipation	0.328	séculier
digress	anticipation	0.328	digression
chastity	anticipation	0.328	chasteté
council	anticipation	0.328	conseil
olfactory	anticipation	0.328	olfactif
ribbon	anticipation	0.328	ruban
possess	anticipation	0.328	posséder
disposed	anticipation	0.320	disposé
scrutinize	anticipation	0.320	scruter
immature	anticipation	0.320	immature
mediator	anticipation	0.320	médiateur
regularity	anticipation	0.320	régularité
cove	anticipation	0.320	crique
infanticide	anticipation	0.320	infanticide
paddle	anticipation	0.320	pagayer
heft	anticipation	0.320	soupeser
fancy	anticipation	0.320	fantaisie
preservative	anticipation	0.320	conservateur
unpublished	anticipation	0.312	inédit
church	anticipation	0.312	église
bugle	anticipation	0.312	clairon
grim	anticipation	0.312	sombre
denying	anticipation	0.312	nier
analyst	anticipation	0.312	analyste
judicial	anticipation	0.305	judiciaire
priesthood	anticipation	0.305	prêtrise
broadside	anticipation	0.305	bordée
mill	anticipation	0.305	moulin
dismay	anticipation	0.297	consternation
cap	anticipation	0.297	casquette
thermocouple	anticipation	0.297	thermocouple
tributary	anticipation	0.297	affluent
instructor	anticipation	0.297	instructeur
exhaustion	anticipation	0.297	épuisement
saliva	anticipation	0.297	salive
cataract	anticipation	0.289	cataracte
network	anticipation	0.289	réseau
visor	anticipation	0.289	visière
shackle	anticipation	0.289	manille
wont	anticipation	0.289	ne le fera pas
addresses	anticipation	0.289	adresses
discreet	anticipation	0.289	discret
noncompliance	anticipation	0.289	non-conformité
bruise	anticipation	0.289	hématome
homeless	anticipation	0.289	sans-abri
astronomer	anticipation	0.281	astronome
skewed	anticipation	0.281	biaisé
neighbor	anticipation	0.281	voisine
holiness	anticipation	0.273	sainteté
devil	anticipation	0.273	diable
picket	anticipation	0.273	piquet
sentence	anticipation	0.273	phrase
latent	anticipation	0.273	latent
cream	anticipation	0.273	crème
immaturity	anticipation	0.273	immaturité
habitual	anticipation	0.266	habituel
morals	anticipation	0.266	morale
neighborhood	anticipation	0.266	quartier
lull	anticipation	0.266	accalmie
bye	anticipation	0.258	au revoir
weight	anticipation	0.258	lester
organ	anticipation	0.250	organe
clown	anticipation	0.250	clown
forearm	anticipation	0.250	avant bras
commonplace	anticipation	0.242	banal
quote	anticipation	0.242	Devis
rail	anticipation	0.234	rail
dictatorship	anticipation	0.234	dictature
treadmill	anticipation	0.234	tapis roulant
board	anticipation	0.234	planche
tree	anticipation	0.227	arbre
sundial	anticipation	0.227	cadran solaire
paralysis	anticipation	0.211	paralysie
cement	anticipation	0.203	ciment
worm	anticipation	0.203	Ver de terre
organization	anticipation	0.203	organisme
lagging	anticipation	0.180	en retard
neutral	anticipation	0.148	neutre
cannibalism	disgust	0.953	cannibalisme
mutilation	disgust	0.930	mutilation
molestation	disgust	0.914	attentat à la pudeur
incest	disgust	0.914	inceste
rape	disgust	0.906	râpé
gonorrhea	disgust	0.906	blennorragie
cannibal	disgust	0.898	cannibale
rot	disgust	0.891	pourrir
corpse	disgust	0.883	corps
massacre	disgust	0.883	massacre
excrement	disgust	0.883	excrément
barf	disgust	0.875	vomir
slaughter	disgust	0.875	abattage
slaughterhouse	disgust	0.867	abattoir
incestuous	disgust	0.859	incestueux
sewerage	disgust	0.859	égouts
filth	disgust	0.859	saleté
bigot	disgust	0.859	bigot
rancid	disgust	0.859	rance
infestation	disgust	0.852	infestation
plague	disgust	0.852	la peste
holocaust	disgust	0.852	holocauste
bloodthirsty	disgust	0.852	sanguinaire
rotting	disgust	0.844	pourrir
fecal	disgust	0.844	fécal
maggot	disgust	0.844	asticot
feces	disgust	0.844	matières fécales
murder	disgust	0.839	meurtre
asshole	disgust	0.836	Connard
homicide	disgust	0.836	homicide
enslaved	disgust	0.836	esclave
infanticide	disgust	0.836	infanticide
perverted	disgust	0.828	pervers
excretion	disgust	0.828	excrétion
gore	disgust	0.828	sang
slaughtering	disgust	0.828	abattage
torture	disgust	0.828	torture
contaminate	disgust	0.821	contaminer
revolting	disgust	0.820	révoltant
gory	disgust	0.820	sanglant
shit	disgust	0.820	merde
terrorist	disgust	0.820	terroriste
murderer	disgust	0.820	meurtrier
repugnant	disgust	0.820	répugnant
manure	disgust	0.820	fumier
pervert	disgust	0.820	pervers
diarrhoea	disgust	0.820	diarrhée
grotesque	disgust	0.820	grotesque
desecration	disgust	0.820	profanation
faeces	disgust	0.812	fèces
slavery	disgust	0.812	esclavage
sewer	disgust	0.812	égout
cadaver	disgust	0.812	cadavre
manslaughter	disgust	0.812	homicide involontaire
dismemberment	disgust	0.812	démembrement
vomit	disgust	0.812	vomir
perverse	disgust	0.805	pervers
repulsive	disgust	0.805	repoussant
hemorrhage	disgust	0.805	hémorragie
sewage	disgust	0.797	eaux usées
filthy	disgust	0.797	sale
diseased	disgust	0.797	malade
depravity	disgust	0.797	dépravation
carcass	disgust	0.795	carcasse
decompose	disgust	0.789	décomposer
gruesome	disgust	0.789	horrible
mutilated	disgust	0.789	mutilé
puke	disgust	0.789	dégueuler
herpes	disgust	0.789	herpès
decayed	disgust	0.789	pourri
dung	disgust	0.789	bouse
vermin	disgust	0.789	vermine
murderous	disgust	0.789	meurtrier
parasite	disgust	0.789	parasite
horrific	disgust	0.789	horrible
carnage	disgust	0.781	carnage
malaria	disgust	0.781	paludisme
slime	disgust	0.781	vase
flatulence	disgust	0.781	flatulence
pestilence	disgust	0.781	peste
crap	disgust	0.781	et mince
monstrosity	disgust	0.781	monstruosité
loathsome	disgust	0.773	détestable
toxic	disgust	0.773	toxique
morgue	disgust	0.773	morgue
pus	disgust	0.773	pus
herpesvirus	disgust	0.773	virus de l'herpès
leprosy	disgust	0.773	lèpre
insidious	disgust	0.773	insidieux
cruel	disgust	0.766	cruel
regurgitation	disgust	0.766	régurgitation
anthrax	disgust	0.766	anthrax
xenophobia	disgust	0.766	xénophobie
repugnance	disgust	0.766	répugnance
lynch	disgust	0.766	lyncher
revulsion	disgust	0.766	dégoût
whore	disgust	0.766	putain
dissection	disgust	0.759	dissection
mucous	disgust	0.758	muqueux
canker	disgust	0.758	chancre
slum	disgust	0.758	taudis
infectious	disgust	0.758	infectieux
evil	disgust	0.758	mauvais
phlegm	disgust	0.758	flegme
cruelty	disgust	0.758	cruauté
perversion	disgust	0.758	perversion
sinister	disgust	0.750	sinistre
leeches	disgust	0.750	sangsues
corrupting	disgust	0.750	corrompre
decomposition	disgust	0.750	décomposition
abomination	disgust	0.742	abomination
stinking	disgust	0.742	puant
bile	disgust	0.742	bile
demonic	disgust	0.742	démoniaque
deranged	disgust	0.742	dérangé
abhorrence	disgust	0.742	horreur
soiled	disgust	0.742	souillé
mucus	disgust	0.742	mucus
septic	disgust	0.742	septique
sickening	disgust	0.742	écœurant
demon	disgust	0.742	démon
cancer	disgust	0.734	cancer
obese	disgust	0.734	obèse
degeneracy	disgust	0.734	dégénérescence
despicable	disgust	0.734	méprisable
atrocity	disgust	0.734	atrocité
foul	disgust	0.734	faute
sicken	disgust	0.734	rendre malade
crucifixion	disgust	0.734	crucifixion
terrorism	disgust	0.734	terrorisme
repulsion	disgust	0.727	répulsion
morbidity	disgust	0.727	morbidité
dysentery	disgust	0.727	dysenterie
enema	disgust	0.727	lavement
bacterium	disgust	0.727	bactérie
dirty	disgust	0.727	sale
adultery	disgust	0.727	adultère
contamination	disgust	0.727	contamination
grisly	disgust	0.727	macabre
diabolical	disgust	0.727	diabolique
autopsy	disgust	0.719	autopsie
barbaric	disgust	0.719	barbare
vulgar	disgust	0.719	vulgaire
entrails	disgust	0.719	entrailles
disgust	disgust	0.719	dégoûter
lewd	disgust	0.719	obscène
muck	disgust	0.719	boue
bowels	disgust	0.719	intestins
garbage	disgust	0.719	des ordures
deterioration	disgust	0.719	détérioration
contagion	disgust	0.719	contagion
vicious	disgust	0.719	vicieux
disfigured	disgust	0.719	défiguré
pungent	disgust	0.719	âcre
gross	disgust	0.719	brut
bloodshed	disgust	0.714	effusion de sang
gag	disgust	0.711	gag
pollute	disgust	0.711	polluer
nausea	disgust	0.711	nausée
tyrant	disgust	0.711	tyran
wretched	disgust	0.711	misérable
mortification	disgust	0.711	mortification
violent	disgust	0.711	violent
poisoned	disgust	0.711	empoisonné
nauseate	disgust	0.703	écœurer
slimy	disgust	0.703	visqueux
grope	disgust	0.703	tâtonner
slut	disgust	0.703	salope
nasty	disgust	0.703	méchant
disgusting	disgust	0.703	répugnant
depraved	disgust	0.703	dépravé
porn	disgust	0.703	porno
hateful	disgust	0.703	odieux
vulgarity	disgust	0.703	la vulgarité
noxious	disgust	0.703	nuisible
grime	disgust	0.703	crasse
constipation	disgust	0.703	constipation
secretion	disgust	0.703	sécrétion
poisoning	disgust	0.703	empoisonnement
despotism	disgust	0.703	despotisme
measles	disgust	0.696	rougeole
contagious	disgust	0.695	contagieux
obesity	disgust	0.695	obésité
wart	disgust	0.695	verrue
hate	disgust	0.695	détester
hellish	disgust	0.695	atroce
scum	disgust	0.695	écume
suicidal	disgust	0.695	suicidaire
wretch	disgust	0.695	misérable
abuse	disgust	0.695	abuser de
waste	disgust	0.695	déchets
intestinal	disgust	0.695	intestinal
heartworm	disgust	0.688	ver du cœur
ooze	disgust	0.688	suinter
treason	disgust	0.688	trahison
contaminated	disgust	0.688	contaminé
smut	disgust	0.688	cochonneries
disease	disgust	0.688	maladie
rabid	disgust	0.688	enragé
deformed	disgust	0.680	déformé
hell	disgust	0.680	enfer
soulless	disgust	0.680	inhumain
cholera	disgust	0.680	choléra
bestial	disgust	0.680	bestial
antichrist	disgust	0.680	Antéchrist
freakish	disgust	0.680	bizarre
germ	disgust	0.680	germe
detest	disgust	0.680	détester
pollution	disgust	0.680	la pollution
grimy	disgust	0.680	crasseux
abhorrent	disgust	0.680	odieux
hatred	disgust	0.680	haine
abominate	disgust	0.680	abominer
sickness	disgust	0.680	maladie
hideous	disgust	0.672	hideux
dictatorship	disgust	0.672	dictature
loathful	disgust	0.672	détestable
greasy	disgust	0.672	graisseux
dilapidated	disgust	0.672	délabré
inhuman	disgust	0.672	inhumain
loathing	disgust	0.672	répugnance
obscene	disgust	0.672	obscène
cess	disgust	0.670	cession
devil	disgust	0.664	diable
deformity	disgust	0.664	déformation
nauseous	disgust	0.664	nauséeux
deadly	disgust	0.664	mortel
swine	disgust	0.664	porc
discrimination	disgust	0.664	discrimination
abominable	disgust	0.664	abominable
masochism	disgust	0.664	masochisme
heretic	disgust	0.664	hérétique
latrines	disgust	0.656	latrines
corruption	disgust	0.656	la corruption
poisonous	disgust	0.656	toxique
horror	disgust	0.656	horreur
nefarious	disgust	0.656	infâme
bacteria	disgust	0.656	bactéries
horrible	disgust	0.656	horrible
trash	disgust	0.656	déchets
abortion	disgust	0.656	Avortement
death	disgust	0.656	décès
prejudiced	disgust	0.656	partial
poison	disgust	0.656	poison
oppression	disgust	0.656	oppression
goo	disgust	0.656	goo
victimized	disgust	0.656	victime
mange	disgust	0.656	gale
sludge	disgust	0.648	boue
trashy	disgust	0.648	vulgaire
vindictive	disgust	0.648	vindicatif
horrid	disgust	0.648	affreux
ugly	disgust	0.648	moche
immoral	disgust	0.648	immoral
bitch	disgust	0.648	chienne
outhouse	disgust	0.648	appentis
detestation	disgust	0.648	haine
horrifying	disgust	0.641	effroyable
laxative	disgust	0.641	laxatif
unsightly	disgust	0.641	disgracieux
derogatory	disgust	0.641	péjoratif
slop	disgust	0.641	décanter
malfeasance	disgust	0.641	malversation
spew	disgust	0.641	vomir
pimple	disgust	0.641	bouton
criminality	disgust	0.641	criminalité
indecency	disgust	0.641	indécence
cystic	disgust	0.641	cystique
villainous	disgust	0.641	infâme
queasy	disgust	0.633	nauséeux
mildew	disgust	0.633	moisissure
oppressive	disgust	0.633	oppressif
prostitution	disgust	0.633	la prostitution
secrete	disgust	0.633	sécréter
ulcer	disgust	0.633	ulcère
rat	disgust	0.633	rat
bigoted	disgust	0.633	fanatique
perpetrator	disgust	0.633	auteur
doomsday	disgust	0.633	jour du Jugement dernier
sinful	disgust	0.633	coupable
degrading	disgust	0.625	dégradant
ghastly	disgust	0.625	horrible
suffering	disgust	0.625	Souffrance
obscenity	disgust	0.625	obscénité
devilish	disgust	0.625	diabolique
disgraceful	disgust	0.625	honteux
persecution	disgust	0.625	persécution
contemptible	disgust	0.625	méprisable
cuckold	disgust	0.625	cocu
stools	disgust	0.625	selles
dastardly	disgust	0.625	lâche
sin	disgust	0.625	péché
gluttony	disgust	0.625	gourmandise
bloated	disgust	0.625	gonflé
fungus	disgust	0.625	champignon
aghast	disgust	0.625	atterré
diaper	disgust	0.617	couche
malicious	disgust	0.617	mal intentionné
polygamy	disgust	0.617	la polygamie
dying	disgust	0.617	mourant
termite	disgust	0.617	termite
fat	disgust	0.617	gros
deceit	disgust	0.617	tromperie
atrocious	disgust	0.617	atroce
guillotine	disgust	0.617	guillotine
tetanus	disgust	0.617	tétanos
spoil	disgust	0.617	gâcher
crusty	disgust	0.617	croustillant
sickly	disgust	0.617	maladif
louse	disgust	0.617	pou
strangle	disgust	0.617	étrangler
betrayal	disgust	0.617	trahison
loathe	disgust	0.617	détester
wench	disgust	0.617	jeune fille
infect	disgust	0.617	infecter
violently	disgust	0.609	violemment
brothel	disgust	0.609	maison de prostitution
drool	disgust	0.609	baver
bleeding	disgust	0.609	saignement
deform	disgust	0.609	déformer
ghetto	disgust	0.609	ghetto
sabotage	disgust	0.609	sabotage
venomous	disgust	0.609	venimeux
abhor	disgust	0.609	abhorrer
slander	disgust	0.609	calomnie
hostile	disgust	0.609	hostile
musty	disgust	0.602	de moisi
illicit	disgust	0.602	illicite
ugliness	disgust	0.602	la laideur
unwashed	disgust	0.602	non lavé
swampy	disgust	0.602	marécageux
deprivation	disgust	0.602	privation
poaching	disgust	0.602	braconnage
hag	disgust	0.602	vieille sorcière
infidel	disgust	0.602	infidèle
imprisonment	disgust	0.602	emprisonnement
traitor	disgust	0.602	traitre
lunacy	disgust	0.602	folie
queasiness	disgust	0.594	malaise
hostility	disgust	0.594	hostilité
repelling	disgust	0.594	repoussant
intoxicated	disgust	0.594	ivre
thug	disgust	0.594	voyou
catastrophe	disgust	0.594	catastrophe
lunatic	disgust	0.594	fou
misery	disgust	0.594	misère
venom	disgust	0.594	venin
butcher	disgust	0.594	Boucher
toilet	disgust	0.594	toilette
blister	disgust	0.594	cloque
lurid	disgust	0.594	sinistre
slug	disgust	0.594	limace
gut	disgust	0.594	intestin
sinner	disgust	0.594	pécheur
deceitful	disgust	0.594	trompeur
epidemic	disgust	0.594	épidémie
deteriorated	disgust	0.586	détérioré
lavatory	disgust	0.586	toilettes
unclean	disgust	0.586	impur
prostitute	disgust	0.586	prostituée
incubus	disgust	0.586	incube
appalling	disgust	0.586	épouvantable
dreadful	disgust	0.586	horrible
pornography	disgust	0.586	pornographie
harass	disgust	0.586	harceler
squeamish	disgust	0.578	délicat
expulsion	disgust	0.578	expulsion
unfaithful	disgust	0.578	infidèle
offensive	disgust	0.578	attaque
hypocrite	disgust	0.578	hypocrite
humiliating	disgust	0.578	humiliant
larceny	disgust	0.578	vol
ruinous	disgust	0.578	ruineux
retard	disgust	0.578	retard
rash	disgust	0.578	éruption
flea	disgust	0.578	Puce
debauchery	disgust	0.578	débauche
fiend	disgust	0.578	démon
quagmire	disgust	0.578	bourbier
conspirator	disgust	0.578	conspirateur
sick	disgust	0.578	malade
mangle	disgust	0.578	mutiler
dogsick	disgust	0.570	le mal du chien
egregious	disgust	0.570	odieux
flog	disgust	0.570	fouetter
despise	disgust	0.570	mépriser
treacherous	disgust	0.570	perfide
oppress	disgust	0.570	opprimer
swamp	disgust	0.570	marais
messy	disgust	0.570	désordonné
spit	disgust	0.570	cracher
dank	disgust	0.570	humide
bastard	disgust	0.570	bâtard
devastating	disgust	0.570	dévastateur
serpent	disgust	0.570	serpent
loo	disgust	0.562	toilette
indecent	disgust	0.562	indécent
insanity	disgust	0.562	folie
stealing	disgust	0.562	vol
terrible	disgust	0.562	terrible
tyrannical	disgust	0.562	tyrannique
humiliation	disgust	0.562	humiliation
snake	disgust	0.562	serpent
sloppy	disgust	0.562	négligent
sinning	disgust	0.562	pêcher
harmful	disgust	0.562	nuisible
harlot	disgust	0.562	prostituée
sordid	disgust	0.562	sordide
enemy	disgust	0.562	ennemi
alcoholism	disgust	0.562	alcoolisme
awful	disgust	0.562	terrible
ruthless	disgust	0.562	impitoyable
scoundrel	disgust	0.562	scélérat
bloody	disgust	0.555	sanglant
flabby	disgust	0.555	flasque
odious	disgust	0.555	odieux
beastly	disgust	0.555	bestial
collusion	disgust	0.555	connivence
ridicule	disgust	0.555	ridicule
discriminating	disgust	0.555	discriminant
unattractive	disgust	0.555	peu attrayant
insufferable	disgust	0.555	insupportable
segregate	disgust	0.555	séparer
arsenic	disgust	0.555	arsenic
threatening	disgust	0.555	menaçant
atrophy	disgust	0.555	atrophie
varicella	disgust	0.555	varicelle
slayer	disgust	0.555	tueur
distaste	disgust	0.555	dégoût
coward	disgust	0.555	lâche
robbery	disgust	0.555	vol
wickedness	disgust	0.555	la méchanceté
anathema	disgust	0.547	anathème
malevolent	disgust	0.547	malveillant
sty	disgust	0.547	porcherie
pillage	disgust	0.547	pillage
thief	disgust	0.547	voleur
suffocating	disgust	0.547	étouffant
condemnation	disgust	0.547	condamnation
deleterious	disgust	0.547	délétère
slur	disgust	0.547	liaison
purgatory	disgust	0.547	purgatoire
attacking	disgust	0.547	attaquer
burglar	disgust	0.547	cambrioleur
ogre	disgust	0.547	ogre
coercion	disgust	0.547	coercition
vesicular	disgust	0.547	vésiculaire
miserable	disgust	0.547	misérable
bitterly	disgust	0.547	amèrement
sneer	disgust	0.539	ricanement
greedy	disgust	0.539	glouton
gob	disgust	0.539	gueule
repellant	disgust	0.539	répulsif
jealous	disgust	0.539	jaloux
drunken	disgust	0.539	ivre
shame	disgust	0.539	la honte
thrash	disgust	0.539	débattre
fatty	disgust	0.539	gras
liar	disgust	0.539	menteur
imprisoned	disgust	0.539	détenu
sloth	disgust	0.539	la paresse
repudiation	disgust	0.539	répudiation
disgrace	disgust	0.539	disgrâce
infidelity	disgust	0.539	infidélité
pig	disgust	0.539	cochon
lethal	disgust	0.536	mortel
burnt	disgust	0.531	brûlé
brawl	disgust	0.531	bagarre
withered	disgust	0.531	flétri
