English Word	Emotion	Emotion-Intensity-Score	Kannada Word
mountain	anticipation	0.375	ಪರ್ವತ
interminable	anticipation	0.375	ಅಂತ್ಯವಿಲ್ಲದ
public	anticipation	0.375	ಸಾರ್ವಜನಿಕ
recurrent	anticipation	0.375	ಮರುಕಳಿಸುವ
savor	anticipation	0.375	ಸವಿಯಿರಿ
abide	anticipation	0.367	ಬದ್ಧವಾಗಿರಲು
concealed	anticipation	0.367	ಮರೆಮಾಡಲಾಗಿದೆ
spear	anticipation	0.367	ಈಟಿ
lesson	anticipation	0.367	ಪಾಠ
instructions	anticipation	0.367	ಸೂಚನೆಗಳು
sonar	anticipation	0.367	ಸೋನಾರ್
biennial	anticipation	0.367	ದ್ವೈವಾರ್ಷಿಕ
convince	anticipation	0.367	ಮನವರಿಕೆ ಮಾಡಿ
whim	anticipation	0.367	ಹುಚ್ಚಾಟಿಕೆ
shiver	anticipation	0.367	ನಡುಕ
towering	anticipation	0.367	ಎತ್ತರದ
musical	anticipation	0.367	ಸಂಗೀತಮಯ
offset	anticipation	0.359	ಆಫ್ಸೆಟ್
theory	anticipation	0.359	ಸಿದ್ಧಾಂತ
theology	anticipation	0.359	ಧರ್ಮಶಾಸ್ತ್ರ
undying	anticipation	0.359	ಸಾಯುತ್ತಿಲ್ಲ
timidity	anticipation	0.359	ಅಂಜುಬುರುಕತೆ
plump	anticipation	0.359	ಕೊಬ್ಬಿದ
atone	anticipation	0.359	ಪ್ರಾಯಶ್ಚಿತ್ತ
audience	anticipation	0.357	ಪ್ರೇಕ್ಷಕರು
dietary	anticipation	0.352	ಪಥ್ಯದ
consecration	anticipation	0.352	ಪವಿತ್ರೀಕರಣ
localize	anticipation	0.352	ಸ್ಥಳೀಕರಿಸು
paragon	anticipation	0.352	ಪ್ಯಾರಾಗಾನ್
store	anticipation	0.352	ಅಂಗಡಿ
farm	anticipation	0.352	ಕೃಷಿ
daily	anticipation	0.352	ಪ್ರತಿದಿನ
cramp	anticipation	0.352	ಸೆಳೆತ
nobility	anticipation	0.352	ಉದಾತ್ತತೆ
closure	anticipation	0.352	ಮುಚ್ಚಿದ
edition	anticipation	0.352	ಆವೃತ್ತಿ
kindred	anticipation	0.352	ಸಂಬಂಧಿಕರು
stripped	anticipation	0.344	ಹೊರತೆಗೆಯಲಾದ
errand	anticipation	0.344	ಕೆಲಸ
archaeology	anticipation	0.344	ಪುರಾತತ್ತ್ವ ಶಾಸ್ತ್ರ
mutable	anticipation	0.344	ಬದಲಾಗಬಲ್ಲ
wireless	anticipation	0.344	ನಿಸ್ತಂತು
meditate	anticipation	0.344	ಧ್ಯಾನ ಮಾಡು
mobile	anticipation	0.344	ಮೊಬೈಲ್
germ	anticipation	0.336	ಸೂಕ್ಷ್ಮಾಣು
brotherly	anticipation	0.336	ಸಹೋದರತ್ವದ
lessen	anticipation	0.336	ಕಡಿಮೆ
unbeaten	anticipation	0.336	ಅಜೇಯ
pare	anticipation	0.336	ಪಾರೆ
buddy	anticipation	0.336	ಗೆಳೆಯ
unaccountable	anticipation	0.336	ಲೆಕ್ಕಿಸಲಾಗದ
dove	anticipation	0.328	ಪಾರಿವಾಳ
patient	anticipation	0.328	ರೋಗಿಯ
secular	anticipation	0.328	ಜಾತ್ಯತೀತ
digress	anticipation	0.328	ವಿಷಯಾಂತರ
chastity	anticipation	0.328	ಪರಿಶುದ್ಧತೆ
council	anticipation	0.328	ಪರಿಷತ್ತು
olfactory	anticipation	0.328	ಘ್ರಾಣ
ribbon	anticipation	0.328	ರಿಬ್ಬನ್
possess	anticipation	0.328	ಹೊಂದಿರುತ್ತಾರೆ
disposed	anticipation	0.320	ವಿಲೇವಾರಿ ಮಾಡಲಾಗಿದೆ
scrutinize	anticipation	0.320	ಸೂಕ್ಷ್ಮವಾಗಿ ಪರಿಶೀಲಿಸುತ್ತಾರೆ
immature	anticipation	0.320	ಅಪಕ್ವ
mediator	anticipation	0.320	ಮಧ್ಯವರ್ತಿ
regularity	anticipation	0.320	ಕ್ರಮಬದ್ಧತೆ
cove	anticipation	0.320	ಕೋವ್
infanticide	anticipation	0.320	ಶಿಶುಹತ್ಯೆ
paddle	anticipation	0.320	ಹುಟ್ಟು
heft	anticipation	0.320	ಹೆಫ್ಟ್
fancy	anticipation	0.320	ಅಲಂಕಾರಿಕ
preservative	anticipation	0.320	ಸಂರಕ್ಷಕ
unpublished	anticipation	0.312	ಅಪ್ರಕಟಿತ
church	anticipation	0.312	ಚರ್ಚ್
bugle	anticipation	0.312	ಬಗಲ್
grim	anticipation	0.312	ಕಠೋರ
denying	anticipation	0.312	ನಿರಾಕರಿಸುವುದು
analyst	anticipation	0.312	ವಿಶ್ಲೇಷಕ
judicial	anticipation	0.305	ನ್ಯಾಯಾಂಗ
priesthood	anticipation	0.305	ಪುರೋಹಿತಶಾಹಿ
broadside	anticipation	0.305	ವಿಶಾಲವಾದ
mill	anticipation	0.305	ಗಿರಣಿ
dismay	anticipation	0.297	ದಿಗ್ಭ್ರಮೆ
cap	anticipation	0.297	ಕ್ಯಾಪ್
thermocouple	anticipation	0.297	ಉಷ್ಣಯುಗ್ಮ
tributary	anticipation	0.297	ಉಪನದಿ
instructor	anticipation	0.297	ಬೋಧಕ
exhaustion	anticipation	0.297	ಬಳಲಿಕೆ
saliva	anticipation	0.297	ಲಾಲಾರಸ
cataract	anticipation	0.289	ಕಣ್ಣಿನ ಪೊರೆ
network	anticipation	0.289	ಜಾಲಬಂಧ
visor	anticipation	0.289	ಮುಖವಾಡ
shackle	anticipation	0.289	ಸಂಕೋಲೆ
wont	anticipation	0.289	ಆಗುವುದಿಲ್ಲ
addresses	anticipation	0.289	ವಿಳಾಸಗಳು
discreet	anticipation	0.289	ವಿವೇಚನಾಯುಕ್ತ
noncompliance	anticipation	0.289	ಅನುವರ್ತನೆ
bruise	anticipation	0.289	ಮೂಗೇಟು
homeless	anticipation	0.289	ನಿರಾಶ್ರಿತರು
astronomer	anticipation	0.281	ಖಗೋಳಶಾಸ್ತ್ರಜ್ಞ
skewed	anticipation	0.281	ಓರೆಯಾದ
neighbor	anticipation	0.281	ನೆರೆಯ
holiness	anticipation	0.273	ಪವಿತ್ರತೆ
devil	anticipation	0.273	ದೆವ್ವ
picket	anticipation	0.273	ಪಿಕೆಟ್
sentence	anticipation	0.273	ವಾಕ್ಯ
latent	anticipation	0.273	ಸುಪ್ತ
cream	anticipation	0.273	ಕೆನೆ
immaturity	anticipation	0.273	ಅಪಕ್ವತೆ
habitual	anticipation	0.266	ಅಭ್ಯಾಸವಾದ
morals	anticipation	0.266	ನೈತಿಕತೆಗಳು
neighborhood	anticipation	0.266	ನೆರೆಹೊರೆ
lull	anticipation	0.266	ವಿರಾಮ
bye	anticipation	0.258	ವಿದಾಯ
weight	anticipation	0.258	ತೂಕ
organ	anticipation	0.250	ಅಂಗ
clown	anticipation	0.250	ಹಾಸ್ಯಗಾರ
forearm	anticipation	0.250	ಮುಂದೋಳು
commonplace	anticipation	0.242	ಸಾಮಾನ್ಯ
quote	anticipation	0.242	ಉಲ್ಲೇಖ
rail	anticipation	0.234	ರೈಲು
dictatorship	anticipation	0.234	ಸರ್ವಾಧಿಕಾರ
treadmill	anticipation	0.234	ಟ್ರೆಡ್ ಮಿಲ್
board	anticipation	0.234	ಬೋರ್ಡ್
tree	anticipation	0.227	ಮರ
sundial	anticipation	0.227	ಸನ್ಡಿಯಲ್
paralysis	anticipation	0.211	ಪಾರ್ಶ್ವವಾಯು
cement	anticipation	0.203	ಸಿಮೆಂಟ್
worm	anticipation	0.203	ಹುಳು
organization	anticipation	0.203	ಸಂಸ್ಥೆ
lagging	anticipation	0.180	ಹಿಂದುಳಿದಿದೆ
neutral	anticipation	0.148	ತಟಸ್ಥ
cannibalism	disgust	0.953	ನರಭಕ್ಷಕತೆ
mutilation	disgust	0.930	ಅಂಗವಿಕಲತೆ
molestation	disgust	0.914	ಹಿಂಸೆಯ
incest	disgust	0.914	ಸಂಭೋಗ
rape	disgust	0.906	ಅತ್ಯಾಚಾರ
gonorrhea	disgust	0.906	ಗೊನೊರಿಯಾ
cannibal	disgust	0.898	ನರಭಕ್ಷಕ
rot	disgust	0.891	ಕೊಳೆತ
corpse	disgust	0.883	ಶವ
massacre	disgust	0.883	ಹತ್ಯಾಕಾಂಡ
excrement	disgust	0.883	ಮಲವಿಸರ್ಜನೆ
barf	disgust	0.875	ಬಾರ್ಫ್
slaughter	disgust	0.875	ವಧೆ
slaughterhouse	disgust	0.867	ಕಸಾಯಿಖಾನೆ
incestuous	disgust	0.859	ಸಂಭೋಗದ
sewerage	disgust	0.859	ಒಳಚರಂಡಿ
filth	disgust	0.859	ಹೊಲಸು
bigot	disgust	0.859	ಮತಾಂಧ
rancid	disgust	0.859	ಕೊಳೆತ
infestation	disgust	0.852	ಮುತ್ತಿಕೊಳ್ಳುವಿಕೆ
plague	disgust	0.852	ಪ್ಲೇಗ್
holocaust	disgust	0.852	ಹತ್ಯಾಕಾಂಡ
bloodthirsty	disgust	0.852	ರಕ್ತಪಿಪಾಸು
rotting	disgust	0.844	ಕೊಳೆಯುತ್ತಿದೆ
fecal	disgust	0.844	ಮಲ
maggot	disgust	0.844	ಹುಳು
feces	disgust	0.844	ಮಲ
murder	disgust	0.839	ಕೊಲೆ
asshole	disgust	0.836	ಕತ್ತೆ
homicide	disgust	0.836	ನರಹತ್ಯೆ
enslaved	disgust	0.836	ಗುಲಾಮನಾದ
infanticide	disgust	0.836	ಶಿಶುಹತ್ಯೆ
perverted	disgust	0.828	ವಿಕೃತ
excretion	disgust	0.828	ವಿಸರ್ಜನೆ
gore	disgust	0.828	ಗೋರ್
slaughtering	disgust	0.828	ವಧೆ
torture	disgust	0.828	ಚಿತ್ರಹಿಂಸೆ
contaminate	disgust	0.821	ಕಲುಷಿತಗೊಳಿಸು
revolting	disgust	0.820	ದಂಗೆಯೆದ್ದ
gory	disgust	0.820	ಗೋರಿ
shit	disgust	0.820	ಶಿಟ್
terrorist	disgust	0.820	ಭಯೋತ್ಪಾದಕ
murderer	disgust	0.820	ಕೊಲೆಗಾರ
repugnant	disgust	0.820	ಅಸಹ್ಯಕರ
manure	disgust	0.820	ಗೊಬ್ಬರ
pervert	disgust	0.820	ವಿಕೃತ
diarrhoea	disgust	0.820	ಅತಿಸಾರ
grotesque	disgust	0.820	ವಿಡಂಬನಾತ್ಮಕ
desecration	disgust	0.820	ಅಪವಿತ್ರಗೊಳಿಸುವಿಕೆ
faeces	disgust	0.812	ಮಲ
slavery	disgust	0.812	ಗುಲಾಮಗಿರಿ
sewer	disgust	0.812	ಒಳಚರಂಡಿ
cadaver	disgust	0.812	ಶವ
manslaughter	disgust	0.812	ನರಹತ್ಯೆ
dismemberment	disgust	0.812	ಛೇದನ
vomit	disgust	0.812	ವಾಂತಿ
perverse	disgust	0.805	ವಿಕೃತ
repulsive	disgust	0.805	ಹಿಮ್ಮೆಟ್ಟಿಸುವ
hemorrhage	disgust	0.805	ರಕ್ತಸ್ರಾವ
sewage	disgust	0.797	ಕೊಳಚೆ ನೀರು
filthy	disgust	0.797	ಹೊಲಸು
diseased	disgust	0.797	ರೋಗಗ್ರಸ್ತ
depravity	disgust	0.797	ಅಧಃಪತನ
carcass	disgust	0.795	ಮೃತದೇಹ
decompose	disgust	0.789	ಕೊಳೆಯುತ್ತವೆ
gruesome	disgust	0.789	ಭಯಾನಕ
mutilated	disgust	0.789	ಅಂಗವಿಕಲರು
puke	disgust	0.789	ಚುಚ್ಚುವುದು
herpes	disgust	0.789	ಹರ್ಪಿಸ್
decayed	disgust	0.789	ಕೊಳೆಯಿತು
dung	disgust	0.789	ಸಗಣಿ
vermin	disgust	0.789	ಕ್ರಿಮಿಕೀಟಗಳು
murderous	disgust	0.789	ಕೊಲೆಗಾರ
parasite	disgust	0.789	ಪರಾವಲಂಬಿ
horrific	disgust	0.789	ಭಯಾನಕ
carnage	disgust	0.781	ಹತ್ಯಾಕಾಂಡ
malaria	disgust	0.781	ಮಲೇರಿಯಾ
slime	disgust	0.781	ಲೋಳೆ
flatulence	disgust	0.781	ವಾಯು
pestilence	disgust	0.781	ಪಿಡುಗು
crap	disgust	0.781	ಅಮೇಧ್ಯ
monstrosity	disgust	0.781	ದೈತ್ಯಾಕಾರದ
loathsome	disgust	0.773	ಅಸಹ್ಯಕರ
toxic	disgust	0.773	ವಿಷಕಾರಿ
morgue	disgust	0.773	ಶವಾಗಾರ
pus	disgust	0.773	ಕೀವು
herpesvirus	disgust	0.773	ಹರ್ಪಿಸ್ವೈರಸ್
leprosy	disgust	0.773	ಕುಷ್ಠರೋಗ
insidious	disgust	0.773	ಕಪಟ
cruel	disgust	0.766	ಕ್ರೂರ
regurgitation	disgust	0.766	ಪುನರುಜ್ಜೀವನ
anthrax	disgust	0.766	ಆಂಥ್ರಾಕ್ಸ್
xenophobia	disgust	0.766	ಅನ್ಯದ್ವೇಷ
repugnance	disgust	0.766	ಅಸಮ್ಮತಿ
lynch	disgust	0.766	ಲಿಂಚ್
revulsion	disgust	0.766	ನಿರಾಶೆ
whore	disgust	0.766	ವೇಶ್ಯೆ
dissection	disgust	0.759	ಛೇದನ
mucous	disgust	0.758	ಮ್ಯೂಕಸ್
canker	disgust	0.758	ಕ್ಯಾಂಕರ್
slum	disgust	0.758	ಕೊಳೆಗೇರಿ
infectious	disgust	0.758	ಸಾಂಕ್ರಾಮಿಕ
evil	disgust	0.758	ದುಷ್ಟ
phlegm	disgust	0.758	ಕಫ
cruelty	disgust	0.758	ಕ್ರೌರ್ಯ
perversion	disgust	0.758	ವಿಕೃತಿ
sinister	disgust	0.750	ಅಶುಭ
leeches	disgust	0.750	ಜಿಗಣೆಗಳು
corrupting	disgust	0.750	ಭ್ರಷ್ಟಗೊಳಿಸುತ್ತಿದೆ
decomposition	disgust	0.750	ವಿಘಟನೆ
abomination	disgust	0.742	ಅಸಹ್ಯ
stinking	disgust	0.742	ದುರ್ವಾಸನೆ ಬೀರುತ್ತಿದೆ
bile	disgust	0.742	ಪಿತ್ತರಸ
demonic	disgust	0.742	ರಾಕ್ಷಸ
deranged	disgust	0.742	ವಿಚಲಿತನಾದ
abhorrence	disgust	0.742	ಅಸಹ್ಯ
soiled	disgust	0.742	ಮಣ್ಣಾದ
mucus	disgust	0.742	ಲೋಳೆಯ
septic	disgust	0.742	ರೊಚ್ಚು
sickening	disgust	0.742	ಅನಾರೋಗ್ಯಕರ
demon	disgust	0.742	ರಾಕ್ಷಸ
cancer	disgust	0.734	ಕ್ಯಾನ್ಸರ್
obese	disgust	0.734	ಬೊಜ್ಜು
degeneracy	disgust	0.734	ಅವನತಿ
despicable	disgust	0.734	ತುಚ್ಛ
atrocity	disgust	0.734	ದೌರ್ಜನ್ಯ
foul	disgust	0.734	ಫೌಲ್
sicken	disgust	0.734	ಅಸ್ವಸ್ಥ
crucifixion	disgust	0.734	ಶಿಲುಬೆಗೇರಿಸುವಿಕೆ
terrorism	disgust	0.734	ಭಯೋತ್ಪಾದನೆ
repulsion	disgust	0.727	ವಿಕರ್ಷಣೆ
morbidity	disgust	0.727	ಅಸ್ವಸ್ಥತೆ
dysentery	disgust	0.727	ಭೇದಿ
enema	disgust	0.727	ಎನಿಮಾ
bacterium	disgust	0.727	ಬ್ಯಾಕ್ಟೀರಿಯಾ
dirty	disgust	0.727	ಕೊಳಕು
adultery	disgust	0.727	ವ್ಯಭಿಚಾರ
contamination	disgust	0.727	ಮಾಲಿನ್ಯ
grisly	disgust	0.727	ಕಠೋರವಾಗಿ
diabolical	disgust	0.727	ಪೈಶಾಚಿಕ
autopsy	disgust	0.719	ಶವಪರೀಕ್ಷೆ
barbaric	disgust	0.719	ಅನಾಗರಿಕ
vulgar	disgust	0.719	ಅಸಭ್ಯ
entrails	disgust	0.719	ಕರುಳುಗಳು
disgust	disgust	0.719	ಅಸಹ್ಯ
lewd	disgust	0.719	ಅಶ್ಲೀಲ
muck	disgust	0.719	ಕೆಸರು
bowels	disgust	0.719	ಕರುಳುಗಳು
garbage	disgust	0.719	ಕಸ
deterioration	disgust	0.719	ಹಾಳಾದ
contagion	disgust	0.719	ಸಾಂಕ್ರಾಮಿಕ
vicious	disgust	0.719	ಕೆಟ್ಟ
disfigured	disgust	0.719	ವಿಕಾರಗೊಳಿಸಲಾಗಿದೆ
pungent	disgust	0.719	ಕಟುವಾದ
gross	disgust	0.719	ಒಟ್ಟು
bloodshed	disgust	0.714	ರಕ್ತಪಾತ
gag	disgust	0.711	ಬಾಯಿಮುಚ್ಚಿ
pollute	disgust	0.711	ಮಾಲಿನ್ಯಗೊಳಿಸುತ್ತವೆ
nausea	disgust	0.711	ವಾಕರಿಕೆ
tyrant	disgust	0.711	ನಿರಂಕುಶಾಧಿಕಾರಿ
wretched	disgust	0.711	ದರಿದ್ರ
mortification	disgust	0.711	ಮರ್ತ್ಯೀಕರಣ
violent	disgust	0.711	ಹಿಂಸಾತ್ಮಕ
poisoned	disgust	0.711	ವಿಷಪೂರಿತ
nauseate	disgust	0.703	ವಾಕರಿಕೆ
slimy	disgust	0.703	ಲೋಳೆಸರದ
grope	disgust	0.703	ತಡಕಾಡುತ್ತಾರೆ
slut	disgust	0.703	ಸೂಳೆ
nasty	disgust	0.703	ಅಸಹ್ಯ
disgusting	disgust	0.703	ಅಸಹ್ಯಕರ
depraved	disgust	0.703	ಕೆಡಿಸಿದೆ
porn	disgust	0.703	ಅಶ್ಲೀಲ
hateful	disgust	0.703	ದ್ವೇಷಪೂರಿತ
vulgarity	disgust	0.703	ಅಸಭ್ಯತೆ
noxious	disgust	0.703	ಹಾನಿಕಾರಕ
grime	disgust	0.703	ಕೊಳಕು
constipation	disgust	0.703	ಮಲಬದ್ಧತೆ
secretion	disgust	0.703	ಸ್ರವಿಸುವಿಕೆ
poisoning	disgust	0.703	ವಿಷಪೂರಿತ
despotism	disgust	0.703	ನಿರಂಕುಶಾಧಿಕಾರ
measles	disgust	0.696	ದಡಾರ
contagious	disgust	0.695	ಅಂಟುರೋಗ
obesity	disgust	0.695	ಬೊಜ್ಜು
wart	disgust	0.695	ನರಹುಲಿ
hate	disgust	0.695	ದ್ವೇಷಿಸುತ್ತೇನೆ
hellish	disgust	0.695	ನರಕಸದೃಶ
scum	disgust	0.695	ಕಲ್ಮಶ
suicidal	disgust	0.695	ಆತ್ಮಹತ್ಯಾ
wretch	disgust	0.695	ದರಿದ್ರ
abuse	disgust	0.695	ನಿಂದನೆ
waste	disgust	0.695	ತ್ಯಾಜ್ಯ
intestinal	disgust	0.695	ಕರುಳಿನ
heartworm	disgust	0.688	ಹೃದಯ ಹುಳು
ooze	disgust	0.688	ಸ್ರವಿಸು
treason	disgust	0.688	ದೇಶದ್ರೋಹ
contaminated	disgust	0.688	ಕಲುಷಿತ
smut	disgust	0.688	ಸ್ಮಟ್
disease	disgust	0.688	ರೋಗ
rabid	disgust	0.688	ಕ್ರೋಧೋನ್ಮತ್ತ
deformed	disgust	0.680	ವಿರೂಪಗೊಂಡಿದೆ
hell	disgust	0.680	ನರಕ
soulless	disgust	0.680	ಆತ್ಮರಹಿತ
cholera	disgust	0.680	ಕಾಲರಾ
bestial	disgust	0.680	ಮೃಗೀಯ
antichrist	disgust	0.680	ಆಂಟಿಕ್ರೈಸ್ಟ್
freakish	disgust	0.680	ವಿಲಕ್ಷಣ
germ	disgust	0.680	ಸೂಕ್ಷ್ಮಾಣು
detest	disgust	0.680	ದ್ವೇಷಿಸುತ್ತೇನೆ
pollution	disgust	0.680	ಮಾಲಿನ್ಯ
grimy	disgust	0.680	ಕಠೋರ
abhorrent	disgust	0.680	ಅಸಹ್ಯಕರ
hatred	disgust	0.680	ದ್ವೇಷ
abominate	disgust	0.680	ಅಸಹ್ಯಕರ
sickness	disgust	0.680	ಅನಾರೋಗ್ಯ
hideous	disgust	0.672	ಅಸಹ್ಯಕರ
dictatorship	disgust	0.672	ಸರ್ವಾಧಿಕಾರ
loathful	disgust	0.672	ಅಸಹ್ಯಕರ
greasy	disgust	0.672	ಜಿಡ್ಡಿನ
dilapidated	disgust	0.672	ಶಿಥಿಲಗೊಂಡಿದೆ
inhuman	disgust	0.672	ಅಮಾನವೀಯ
loathing	disgust	0.672	ಅಸಹ್ಯಕರ
obscene	disgust	0.672	ಅಶ್ಲೀಲ
cess	disgust	0.670	ಸೆಸ್
devil	disgust	0.664	ದೆವ್ವ
deformity	disgust	0.664	ವಿರೂಪತೆ
nauseous	disgust	0.664	ವಾಕರಿಕೆ
deadly	disgust	0.664	ಮಾರಕ
swine	disgust	0.664	ಹಂದಿ
discrimination	disgust	0.664	ತಾರತಮ್ಯ
abominable	disgust	0.664	ಅಸಹ್ಯಕರ
masochism	disgust	0.664	ಮಾಸೋಕಿಸಂ
heretic	disgust	0.664	ಧರ್ಮದ್ರೋಹಿ
latrines	disgust	0.656	ಶೌಚಾಲಯಗಳು
corruption	disgust	0.656	ಭ್ರಷ್ಟಾಚಾರ
poisonous	disgust	0.656	ವಿಷಕಾರಿ
horror	disgust	0.656	ಭಯಾನಕ
nefarious	disgust	0.656	ನೀಚ
bacteria	disgust	0.656	ಬ್ಯಾಕ್ಟೀರಿಯಾ
horrible	disgust	0.656	ಭಯಾನಕ
trash	disgust	0.656	ಕಸ
abortion	disgust	0.656	ಗರ್ಭಪಾತ
death	disgust	0.656	ಸಾವು
prejudiced	disgust	0.656	ಪೂರ್ವಾಗ್ರಹ ಪೀಡಿತ
poison	disgust	0.656	ವಿಷ
oppression	disgust	0.656	ದಬ್ಬಾಳಿಕೆ
goo	disgust	0.656	ಗೂ
victimized	disgust	0.656	ಬಲಿಪಶು
mange	disgust	0.656	ಮಂಜ್
sludge	disgust	0.648	ಕೆಸರು
trashy	disgust	0.648	ಕಸದ
vindictive	disgust	0.648	ಪ್ರತೀಕಾರದ
horrid	disgust	0.648	ಭಯಾನಕ
ugly	disgust	0.648	ಕೊಳಕು
immoral	disgust	0.648	ಅನೈತಿಕ
bitch	disgust	0.648	ಬಿಚ್
outhouse	disgust	0.648	ಹೊರಮನೆ
detestation	disgust	0.648	ತಿರಸ್ಕಾರ
horrifying	disgust	0.641	ಭಯಾನಕ
laxative	disgust	0.641	ವಿರೇಚಕ
unsightly	disgust	0.641	ಅಸಹ್ಯಕರ
derogatory	disgust	0.641	ಅವಹೇಳನಕಾರಿ
slop	disgust	0.641	ಇಳಿಜಾರು
malfeasance	disgust	0.641	ದುಷ್ಕೃತ್ಯ
spew	disgust	0.641	ಉಗುಳು
pimple	disgust	0.641	ಮೊಡವೆ
criminality	disgust	0.641	ಅಪರಾಧಿತ್ವ
indecency	disgust	0.641	ಅಸಭ್ಯತೆ
cystic	disgust	0.641	ಸಿಸ್ಟಿಕ್
villainous	disgust	0.641	ಖಳನಾಯಕ
queasy	disgust	0.633	ಗೊಂದಲಮಯ
mildew	disgust	0.633	ಶಿಲೀಂಧ್ರ
oppressive	disgust	0.633	ದಬ್ಬಾಳಿಕೆಯ
prostitution	disgust	0.633	ವೇಶ್ಯಾವಾಟಿಕೆ
secrete	disgust	0.633	ಸ್ರವಿಸುತ್ತವೆ
ulcer	disgust	0.633	ಹುಣ್ಣು
rat	disgust	0.633	ಇಲಿ
bigoted	disgust	0.633	ಮತಾಂಧ
perpetrator	disgust	0.633	ಅಪರಾಧಿ
doomsday	disgust	0.633	ಪ್ರಳಯ ದಿನ
sinful	disgust	0.633	ಪಾಪಪೂರ್ಣ
degrading	disgust	0.625	ಅವಮಾನಕರ
ghastly	disgust	0.625	ಘೋರ
suffering	disgust	0.625	ಬಳಲುತ್ತಿರುವ
obscenity	disgust	0.625	ಅಶ್ಲೀಲತೆ
devilish	disgust	0.625	ದೆವ್ವದ
disgraceful	disgust	0.625	ಅವಮಾನಕರ
persecution	disgust	0.625	ಕಿರುಕುಳ
contemptible	disgust	0.625	ಅವಹೇಳನಕಾರಿ
cuckold	disgust	0.625	ಕೋಗಿಲೆ
stools	disgust	0.625	ಮಲ
dastardly	disgust	0.625	ಭಯಂಕರವಾಗಿ
sin	disgust	0.625	ಪಾಪ
gluttony	disgust	0.625	ಹೊಟ್ಟೆಬಾಕತನ
bloated	disgust	0.625	ಉಬ್ಬಿತು
fungus	disgust	0.625	ಶಿಲೀಂಧ್ರ
aghast	disgust	0.625	ಗಾಬರಿಯಾದ
diaper	disgust	0.617	ಡಯಾಪರ್
malicious	disgust	0.617	ದುರುದ್ದೇಶಪೂರಿತ
polygamy	disgust	0.617	ಬಹುಪತ್ನಿತ್ವ
dying	disgust	0.617	ಸಾಯುತ್ತಿದ್ದಾರೆ
termite	disgust	0.617	ಗೆದ್ದಲು
fat	disgust	0.617	ಕೊಬ್ಬು
deceit	disgust	0.617	ವಂಚನೆ
atrocious	disgust	0.617	ಕ್ರೂರ
guillotine	disgust	0.617	ಗಿಲ್ಲೊಟಿನ್
tetanus	disgust	0.617	ಧನುರ್ವಾಯು
spoil	disgust	0.617	ಹಾಳು
crusty	disgust	0.617	ಕ್ರಸ್ಟಿ
sickly	disgust	0.617	ಅನಾರೋಗ್ಯದಿಂದ
louse	disgust	0.617	ಕಾಸು
strangle	disgust	0.617	ಕತ್ತು ಹಿಸುಕು
betrayal	disgust	0.617	ದ್ರೋಹ
loathe	disgust	0.617	ಅಸಹ್ಯಪಡುತ್ತಾರೆ
wench	disgust	0.617	ವೆಂಚ್
infect	disgust	0.617	ಸೋಂಕು
violently	disgust	0.609	ಹಿಂಸಾತ್ಮಕವಾಗಿ
brothel	disgust	0.609	ವೇಶ್ಯಾಗೃಹ
drool	disgust	0.609	ಜೊಲ್ಲು ಸುರಿಸುತ್ತೇನೆ
bleeding	disgust	0.609	ರಕ್ತಸ್ರಾವ
deform	disgust	0.609	ವಿರೂಪಗೊಳಿಸು
ghetto	disgust	0.609	ಘೆಟ್ಟೋ
sabotage	disgust	0.609	ವಿಧ್ವಂಸಕ
venomous	disgust	0.609	ವಿಷಪೂರಿತ
abhor	disgust	0.609	ಅಸಹ್ಯಕರ
slander	disgust	0.609	ನಿಂದೆ
hostile	disgust	0.609	ಪ್ರತಿಕೂಲ
musty	disgust	0.602	ಗಟ್ಟಿಯಾದ
illicit	disgust	0.602	ಅಕ್ರಮ
ugliness	disgust	0.602	ಕೊಳಕು
unwashed	disgust	0.602	ತೊಳೆಯದ
swampy	disgust	0.602	ಜವುಗು
deprivation	disgust	0.602	ಅಭಾವ
poaching	disgust	0.602	ಬೇಟೆಯಾಡುವುದು
hag	disgust	0.602	ಹಾಗ್
infidel	disgust	0.602	ನಾಸ್ತಿಕ
imprisonment	disgust	0.602	ಸೆರೆವಾಸ
traitor	disgust	0.602	ದೇಶದ್ರೋಹಿ
lunacy	disgust	0.602	ಹುಚ್ಚುತನ
queasiness	disgust	0.594	ಅಸ್ಥಿರತೆ
hostility	disgust	0.594	ಹಗೆತನ
repelling	disgust	0.594	ಹಿಮ್ಮೆಟ್ಟಿಸುವುದು
intoxicated	disgust	0.594	ಅಮಲೇರಿದ
thug	disgust	0.594	ಕೊಲೆಗಡುಕ
catastrophe	disgust	0.594	ದುರಂತ
lunatic	disgust	0.594	ಹುಚ್ಚುತನದ
misery	disgust	0.594	ದುಃಸ್ಥಿತಿ
venom	disgust	0.594	ವಿಷ
butcher	disgust	0.594	ಕಟುಕ
toilet	disgust	0.594	ಶೌಚಾಲಯ
blister	disgust	0.594	ಗುಳ್ಳೆ
lurid	disgust	0.594	ಅಸ್ಪಷ್ಟ
slug	disgust	0.594	ಸ್ಲಗ್
gut	disgust	0.594	ಕರುಳು
sinner	disgust	0.594	ಪಾಪಿ
deceitful	disgust	0.594	ವಂಚಕ
epidemic	disgust	0.594	ಸಾಂಕ್ರಾಮಿಕ
